kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,37460,1582,1278,531,1626,3208,140646,96481,"9609,193","0,055","10,040",N
I Q 2023,PLN,53338,7405,7141,5702,1636,9041,152125,102123,"9609,193","0,593","10,628",N
II Q 2023,PLN,45402,4728,4178,3488,1386,6114,156109,105442,"9609,193","0,363","10,973",N
III Q 2023,PLN,32948,-3064,-2748,-2107,1505,-1559,141680,103328,"9609,193","-0,219","10,753",N
IV Q 2021,PLN,32465,1024,268,166,1679,2703,127214,94594,"9609,193","0,017","9,844",N
I Q 2022,PLN,40555,3086,3118,2349,1635,4721,133219,96526,"9609,193","0,244","10,045",N
II Q 2022,PLN,37131,700,-2233,-2339,1730,2430,130221,95578,"9609,193","-0,243","9,947",N
III Q 2022,PLN,35835,612,620,708,1734,2346,138840,96035,"9609,193","0,074","9,994",N
IV Q 2020,PLN,27514,718,992,1263,1726,2444,107866,87723,"9609,193","0,131","9,129",N
I Q 2021,PLN,32196,2700,2779,2207,1629,4329,114784,90108,"9609,193","0,230","9,377",N
II Q 2021,PLN,34505,2527,2191,1721,1724,4251,116198,91717,"9609,193","0,179","9,545",N
III Q 2021,PLN,34426,2927,3158,2480,1699,4626,122494,94020,"9609,193","0,258","9,784",N
IV Q 2019,PLN,21502,1287,962,803,1719,3006,107060,80476,"9609,193","0,084","8,375",N
I Q 2020,PLN,33592,2255,2909,1731,1778,4033,108772,81983,"9609,193","0,180","8,532",N
II Q 2020,PLN,29692,2320,2026,1656,1785,4105,110488,83673,"9609,193","0,172","8,708",N
III Q 2020,PLN,30191,3932,4145,3087,1716,5648,108470,86452,"9609,193","0,321","8,997",N
IV Q 2018,PLN,34176,3177,3185,2397,1488,4665,106176,79944,"9609,193","0,249","8,320",N
I Q 2019,PLN,33543,2207,2019,1513,1497,3704,109719,81669,"9609,193","0,157","8,499",N
II Q 2019,PLN,33471,2302,2276,1810,1596,3898,109814,79442,"9609,193","0,188","8,267",N
III Q 2019,PLN,29036,877,1197,737,1649,2526,106883,80313,"9609,193","0,077","8,358",N
IV Q 2017,PLN,29684,1631,1088,624,1389,3020,97210,74922,"9609,193","0,065","7,797",N
I Q 2018,PLN,34365,2898,3001,2221,1460,4358,100269,77151,"9609,193","0,231","8,029",N
II Q 2018,PLN,33459,2451,2835,2053,1441,3892,102985,75458,"9609,193","0,214","7,853",N
III Q 2018,PLN,33759,3407,3055,2537,1526,4933,103211,77822,"9609,193","0,264","8,099",N
IV Q 2016,PLN,26103,349,550,120,934,1283,95713,73885,"9609,193","0,012","7,689",N
I Q 2017,PLN,30571,1999,1456,1073,1481,3480,98305,74964,"9609,193","0,112","7,801",N
II Q 2017,PLN,32188,2208,2372,1996,1470,3678,99064,72837,"9609,193","0,208","7,580",N
III Q 2017,PLN,30986,2412,2668,2048,1378,3790,98740,74859,"9609,193","0,213","7,790",N
IV Q 2015,PLN,27566,1820,1776,1251,1438,3258,96710,72688,"9609,193","0,130","7,564",N
I Q 2016,PLN,30733,2860,2737,2203,1282,4142,98698,74807,"9609,193","0,229","7,785",N
II Q 2016,PLN,30503,2630,3051,2384,1628,4258,101984,72786,"9609,193","0,248","7,575",N
III Q 2016,PLN,27092,2271,1848,1495,1533,3804,95100,74072,"9609,193","0,156","7,708",N
IV Q 2014,PLN,27583,1649,1470,834,1360,3009,95837,69066,"9609,193","0,087","7,187",N
I Q 2015,PLN,28371,2297,2090,1665,1420,3717,103132,70707,"9609,193","0,173","7,358",N
II Q 2015,PLN,29494,1874,1940,1570,1289,3163,99113,68753,"9609,193","0,163","7,155",N
III Q 2015,PLN,29795,4101,4081,3161,1220,5321,98242,71642,"9609,193","0,329","7,456",N
IV Q 2013,PLN,27816,900,742,108,1106,2006,91454,67308,"9609,193","0,011","7,005",N
I Q 2014,PLN,26138,2685,2649,2040,1394,4079,96000,69062,"9609,193","0,212","7,187",N
II Q 2014,PLN,27591,1175,1069,843,1337,2512,97837,67598,"9609,193","0,088","7,035",N
III Q 2014,PLN,28033,2032,2026,1598,1322,3354,96707,69011,"9609,193","0,166","7,182",N
IV Q 2012,PLN,28013,459,490,820,1111,1570,96137,67353,"9609,193","0,085","7,009",N
I Q 2013,PLN,27294,1672,1847,1361,1125,2797,99120,68786,"9609,193","0,142","7,158",N
II Q 2013,PLN,25310,1086,1362,1090,1068,2154,99392,66430,"9609,193","0,113","6,913",N
III Q 2013,PLN,25077,1929,1601,1091,1068,2997,94489,67351,"9609,193","0,114","7,009",N
IV Q 2011,PLN,30539,2853,2597,2119,1006,3859,86288,60762,"9609,193","0,221","6,323",N
I Q 2012,PLN,28488,3187,2992,2786,1061,4248,91762,63880,"9609,193","0,290","6,648",N
II Q 2012,PLN,31651,2854,2846,2465,1079,3933,91869,63921,"9609,193","0,257","6,652",N
III Q 2012,PLN,28681,3805,3674,3125,1012,4817,93500,66955,"9609,193","0,325","6,968",N
IV Q 2010,PLN,26131,-3157,-3421,-3676,1176,-1981,78000,53116,"9609,193","-0,383","5,528",N
I Q 2011,PLN,27460,1691,1637,1120,1016,2707,79748,54619,"9609,193","0,117","5,684",N
II Q 2011,PLN,28444,2063,1679,1193,980,3043,84755,55692,"9609,193","0,124","5,796",N
III Q 2011,PLN,26674,2495,2911,2460,1049,3544,0,0,"9609,193","0,256","0,000",N
IV Q 2009,PLN,17340,-269,-545,-2419,1280,1011,91514,62228,"9609,193","-0,252","6,476",N
I Q 2010,PLN,19480,-1157,-1808,-2765,1236,79,86088,59561,"9609,193","-0,288","6,198",N
II Q 2010,PLN,22324,-883,145,697,1221,338,86501,60210,"9609,193","0,073","6,266",N
III Q 2010,PLN,21263,-1368,-1466,-2258,1231,-137,0,0,"9609,193","-0,235","0,000",N
IV Q 2008,PLN,18760,-1836,-5971,-5469,1186,-650,110928,71919,"9609,193","-0,569","7,484",N
I Q 2009,PLN,16961,-930,-2144,-1911,1230,300,109742,69564,"9609,193","-0,199","7,239",N
II Q 2009,PLN,15020,-1412,-2835,-3085,1298,-114,98802,67061,"9609,193","-0,321","6,979",N
III Q 2009,PLN,15869,-727,-3490,-3770,1334,607,0,0,"9609,193","-0,392","0,000",N
IV Q 2007,PLN,20623,-8257,-11452,-9969,1065,-7192,107208,31218,"873,563","-11,412","35,736",N
I Q 2008,PLN,21270,450,1182,991,1119,1569,125769,77994,"9609,193","0,103","8,117",N
II Q 2008,PLN,20646,1129,750,492,1112,2241,127771,78294,"9609,193","0,051","8,148",N
III Q 2008,PLN,22093,-1256,-2400,-3034,1192,-64,0,0,"9609,193","-0,316","0,000",N
