kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,82078,1708,-5044,-5327,-799,909,351199,150893,"0,000",,,N
I Q 2023,PLN,42200,-431,-1228,-1232,457,26,277921,137477,"0,000",,,N
II Q 2023,PLN,-36969,-40261,-38754,-36098,-41,-40302,248137,110726,"0,000",,,N
III Q 2023,PLN,10550,762,-3856,-2132,572,1334,224454,110443,"0,000",,,N
IV Q 2021,PLN,0,0,0,0,0,0,356376,154894,"236620,263","0,000","0,655",N
I Q 2022,PLN,40758,1197,8508,7967,988,2185,287504,150005,"236620,263","0,034","0,634",N
II Q 2022,PLN,56626,-616,-2038,-1496,1270,654,287093,147660,"315493,684","-0,005","0,468",N
III Q 2022,PLN,112327,7791,8039,5342,1520,9311,476440,169328,"315493,684","0,017","0,537",N
II Q 2011,PLN,6979,-3180,-3208,-3048,83,-3097,17818,7417,"840,000","-3,629","8,830",N
II Q 2020,EUR,0,0,0,0,0,0,2748,2304,"18100,000","0,000","0,127",N
IV Q 2020,EUR,0,0,0,0,0,0,1954,1340,"18100,000","0,000","0,074",N
II Q 2021,EUR,0,0,0,0,0,0,91879,45468,"236620,263","0,000","0,192",N
II Q 2010,PLN,13744,187,397,194,256,443,23833,10857,"840,000","0,231","12,925",N
III Q 2010,PLN,16454,-196,-352,-688,78,-118,0,0,"840,000","-0,819","0,000",N
IV Q 2010,PLN,11043,164,209,910,-57,107,23455,11344,"840,000","1,083","13,505",N
I Q 2011,PLN,10434,-719,-654,-872,95,-624,23567,10468,"840,000","-1,038","12,462",N
II Q 2009,PLN,6786,475,584,1079,259,734,26241,13040,"840,000","1,285","15,524",N
III Q 2009,PLN,6535,-414,-485,-966,233,-181,0,0,"840,000","-1,150","0,000",N
IV Q 2009,PLN,8836,396,419,72,434,830,21560,10879,"840,000","0,086","12,951",N
I Q 2010,PLN,9076,-719,-706,-740,179,-540,22741,10316,"840,000","-0,881","12,281",N
II Q 2008,PLN,15659,-74,166,-32,222,148,32622,15199,"840,000","-0,038","18,094",N
III Q 2008,PLN,15421,437,785,563,233,670,0,0,"840,000","0,670","0,000",N
IV Q 2008,PLN,20597,1888,1730,3039,218,2106,34965,18699,"840,000","3,618","22,261",N
I Q 2009,PLN,5677,-3056,-2748,-3334,273,-2783,27051,15429,"840,000","-3,969","18,368",N
II Q 2007,PLN,20143,95,327,244,0,95,35106,12054,"840,000","0,290","14,350",N
III Q 2007,PLN,21307,860,789,1258,326,1186,0,0,"840,000","1,498","0,000",N
IV Q 2007,PLN,21262,-1686,-254,1100,323,-1363,39313,13054,"840,000","1,310","15,540",N
I Q 2008,PLN,21801,-2515,2571,2540,213,-2302,40977,15087,"840,000","3,024","17,961",N
II Q 2006,PLN,14112,736,740,556,0,736,34560,12267,"840,000","0,662","14,604",N
III Q 2006,PLN,19455,1071,842,1101,0,1071,33748,12282,"840,000","1,311","14,621",N
IV Q 2006,PLN,20285,-438,-137,-161,334,-104,36639,12352,"840,000","-0,192","14,705",N
I Q 2007,PLN,19863,-622,-690,-663,315,-307,38650,11709,"840,000","-0,789","13,939",N
IV Q 2003,PLN,0,0,0,0,0,0,34160,-2977,"840,000","0,000","-3,544",N
IV Q 2004,PLN,0,0,0,0,0,0,38662,12367,"840,000","0,000","14,723",N
IV Q 2005,PLN,0,0,0,0,0,0,35259,11840,"840,000","0,000","14,095",N
I Q 2006,PLN,7199,-324,-433,-432,0,-324,31213,11327,"840,000","-0,514","13,485",N
IV Q 2002,PLN,0,0,0,0,0,0,44765,11091,"840,000","0,000","13,204",N
