kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,350204,13443,16564,14209,15430,28873,1016547,546923,"26881,922","0,529","20,345",N
I Q 2023,PLN,387125,18407,17778,16128,15754,34161,1064205,563628,"26881,922","0,600","20,967",N
II Q 2023,PLN,372086,33026,35183,30171,16020,49046,1066409,561591,"26881,922","1,122","20,891",N
III Q 2023,PLN,359422,21019,16850,15824,16232,37251,1060396,577616,"26881,922","0,589","21,487",N
IV Q 2021,PLN,287835,-10803,-9885,-5999,16352,5549,939670,501516,"26881,922","-0,223","18,656",N
I Q 2022,PLN,320131,6647,5441,4886,15427,22074,970256,505729,"26881,922","0,182","18,813",N
II Q 2022,PLN,371052,37094,36273,36518,15367,52461,1024943,543144,"26881,922","1,358","20,205",N
III Q 2022,PLN,347234,-902,-1350,977,15456,14554,1028836,533622,"26881,922","0,036","19,851",N
IV Q 2020,PLN,269955,11545,9885,5584,16317,27862,1004181,497623,"26881,922","0,208","18,511",N
I Q 2021,PLN,303079,21496,21245,16422,15599,37095,1056328,513337,"26881,922","0,611","19,096",N
II Q 2021,PLN,301091,17942,18334,13833,15682,33624,1030921,502252,"26881,922","0,515","18,684",N
III Q 2021,PLN,279675,9356,8034,6195,15697,25053,979349,506831,"26881,922","0,230","18,854",N
IV Q 2019,PLN,247345,2551,3387,16446,15577,18128,954664,470193,"26881,922","0,612","17,491",N
I Q 2020,PLN,259808,12027,7452,8900,14572,26599,992001,473874,"26881,922","0,331","17,628",N
II Q 2020,PLN,181079,-3467,-4139,1826,15400,11933,942141,477577,"26881,922","0,068","17,766",N
III Q 2020,PLN,265228,24043,23365,19907,16107,40150,986215,495021,"26881,922","0,741","18,415",N
IV Q 2018,PLN,259864,14353,14709,10703,11040,25393,899762,451438,"26881,922","0,398","16,793",N
I Q 2019,PLN,280763,15116,15774,17977,12857,27973,971040,469233,"26881,922","0,669","17,455",N
II Q 2019,PLN,258913,7599,6712,8715,13199,20798,963239,445943,"26881,922","0,324","16,589",N
III Q 2019,PLN,265208,7313,6022,8325,14084,21397,941747,453054,"26881,922","0,310","16,853",N
IV Q 2017,PLN,244276,10352,10415,5538,10169,20521,843573,472500,"26881,922","0,206","17,577",N
I Q 2018,PLN,245095,23805,23783,18169,9757,33562,875697,491013,"26881,922","0,676","18,266",N
II Q 2018,PLN,262464,22245,23123,16724,10232,32477,934509,426499,"26881,922","0,622","15,866",N
III Q 2018,PLN,254759,24414,23737,18507,10484,34898,869998,440917,"26881,922","0,688","16,402",N
