kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,404,-4530,-1144,-10889,218,-4312,346155,332973,"2725,930","-3,995","122,150",N
I Q 2023,PLN,460,-9271,-2123,-3025,223,-9048,113048,96690,"2725,930","-1,110","35,470",N
II Q 2023,PLN,45,-3597,-2520,-2520,243,-3354,110420,94170,"2725,930","-0,924","34,546",N
III Q 2023,PLN,3,-6014,-5289,-5289,306,-5708,105575,88889,"2725,930","-1,940","32,609",N
IV Q 2021,PLN,0,-7600,-7755,-9659,494,-7106,52733,6738,"2686,205","-3,596","2,508",N
I Q 2022,PLN,0,-2168,-2270,-3519,152,-2016,51962,4549,"2686,205","-1,310","1,693",N
II Q 2022,PLN,0,296,64,-3898,151,447,43407,-679,"2686,205","-1,451","-0,253",N
III Q 2022,PLN,0,-18418,403674,336795,143,-18275,385224,336116,"2686,205","125,379","125,127",N
IV Q 2020,PLN,0,-805,-842,-846,149,-656,41937,23373,"2686,205","-0,315","8,701",N
I Q 2021,PLN,0,-9787,-9857,-9853,456,-9331,39308,30042,"2686,205","-3,668","11,184",N
II Q 2021,PLN,0,866,965,198,783,1649,34535,27459,"2686,205","0,074","10,222",N
III Q 2021,PLN,0,-626,-761,-3481,785,159,33508,23341,"2686,205","-1,296","8,689",N
IV Q 2019,PLN,0,-2309,-2286,-2286,201,-2108,27404,20218,"2315,400","-0,987","8,732",N
I Q 2020,PLN,0,-1724,-1732,-1732,247,-1477,24973,18423,"2558,290","-0,677","7,201",N
II Q 2020,PLN,0,-1235,-1182,-1182,231,-1004,24014,17306,"2558,290","-0,462","6,765",N
III Q 2020,PLN,0,-1646,-1659,-1659,251,-1395,21674,15647,"2558,290","-0,648","6,116",N
IV Q 2018,PLN,0,-1053,-948,-948,234,-819,13906,12805,"2304,050","-0,411","5,558",N
I Q 2019,PLN,0,-1316,-1311,-1311,262,-1054,13738,11426,"2315,400","-0,566","4,935",N
II Q 2019,PLN,0,-1143,-1144,-1144,225,-918,12833,10350,"2315,400","-0,494","4,470",N
III Q 2019,PLN,0,-1530,-1528,-1528,241,-1289,12057,8791,"2315,400","-0,660","3,797",N
IV Q 2017,PLN,0,-1276,-1272,-1272,244,-1032,18691,16877,"2304,050","-0,552","7,325",N
I Q 2018,PLN,0,-1026,-1026,-1026,90,-936,18368,16821,"2304,050","-0,445","7,301",N
II Q 2018,PLN,0,-685,-682,-682,243,-442,16585,14998,"2304,050","-0,296","6,509",N
III Q 2018,PLN,0,-1124,-1126,-1125,283,-841,15159,13752,"2304,050","-0,488","5,969",N
IV Q 2016,PLN,0,-1041,-1041,-1041,34,-1007,6468,5577,"2270,000","-0,459","2,457",N
I Q 2017,PLN,0,-941,-942,-942,81,-860,7666,4635,"2270,000","-0,415","2,042",N
II Q 2017,PLN,2,-785,-799,-799,83,-702,20637,19305,"2270,000","-0,352","8,504",N
III Q 2017,PLN,0,-1028,-1027,-1027,242,-786,19380,18146,"2270,000","-0,453","7,994",N
IV Q 2015,PLN,0,0,0,0,0,0,9468,6699,"2270,000","0,000","2,951",N
I Q 2016,PLN,51,-1178,-1178,-1178,52,-1126,4064,3241,"2270,000","-0,519","1,428",N
II Q 2016,PLN,127,-465,-458,-458,59,-406,4076,3402,"2270,000","-0,202","1,499",N
III Q 2016,PLN,5,-844,-843,-843,56,-788,5212,4440,"2270,000","-0,371","1,956",N
