kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,473516,33054,14232,17265,11145,44199,1171095,715064,"22834,000","0,756","31,316",N
I Q 2023,PLN,412197,416,-4213,-5057,9533,9949,1320689,708697,"22834,000","-0,221","31,037",N
II Q 2023,PLN,452540,28743,6855,11887,9849,38592,1250574,670912,"22834,000","0,521","29,382",N
III Q 2023,PLN,491603,70535,69691,54890,10185,80720,1340653,728170,"22834,000","2,404","31,890",N
IV Q 2021,PLN,447563,7993,1287,31751,11181,19174,1108755,600976,"22834,000","1,391","26,319",N
I Q 2022,PLN,421608,25785,28767,25021,11034,36819,1287978,620777,"22834,000","1,096","27,187",N
II Q 2022,PLN,499177,27180,30882,23409,11641,38821,1371245,663562,"22834,000","1,025","29,060",N
III Q 2022,PLN,569003,67603,60272,46420,11802,79405,1397318,729931,"22834,000","2,033","31,967",N
IV Q 2020,PLN,349217,16935,-724,-2729,10129,27064,936762,531065,"22834,000","-0,120","23,258",N
I Q 2021,PLN,349473,19760,21595,17480,10518,30278,1043091,543165,"22834,000","0,766","23,788",N
II Q 2021,PLN,438197,28443,27234,21763,11069,39512,1131478,568632,"22834,000","0,953","24,903",N
III Q 2021,PLN,493118,36515,38376,31743,11280,47795,1236698,605409,"22834,000","1,390","26,513",N
IV Q 2019,PLN,317569,-861,-6753,-7317,9751,8890,848743,458315,"22834,000","-0,320","20,072",N
I Q 2020,PLN,282714,9144,5411,5180,9644,18788,916685,457980,"22834,000","0,227","20,057",N
II Q 2020,PLN,319465,34926,31573,26156,8917,43843,936017,486175,"22834,000","1,145","21,292",N
III Q 2020,PLN,433339,66171,59633,44828,9825,75996,1000174,520975,"22834,000","1,963","22,816",N
IV Q 2018,PLN,300497,4238,5163,3026,7021,11259,795239,425346,"22834,000","0,133","18,628",N
I Q 2019,PLN,271084,10176,9098,6057,9136,19312,855585,432214,"22834,000","0,265","18,929",N
II Q 2019,PLN,346073,24467,21692,14572,9722,34189,910404,438459,"22834,000","0,638","19,202",N
III Q 2019,PLN,391761,29780,32874,26188,9656,39436,939899,468935,"22834,000","1,147","20,537",N
IV Q 2017,PLN,287314,434,-5380,-5252,6415,6849,822176,409622,"22834,000","-0,230","17,939",N
