kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,USD,6829,-1336,-1660,-1737,1640,304,90182,36800,"179931,000","-0,010","0,205",N
I Q 2023,USD,4355,-476,-897,-1269,1289,813,90259,35309,"172359,800","-0,007","0,205",N
II Q 2023,USD,3536,-1396,-1777,-1694,1063,-333,90148,33589,"172359,800","-0,010","0,195",N
III Q 2023,USD,3898,-298,-773,-1596,1080,782,88340,32171,"172359,800","-0,009","0,187",N
IV Q 2021,USD,13446,8193,8061,7588,1989,10182,94784,37432,"17109909,435","0,000","0,002",N
I Q 2022,USD,12837,1560,1255,1045,1795,3355,92723,37878,"17109909,435","0,000","0,002",N
II Q 2022,USD,14676,3471,3094,782,1909,5380,91513,37145,"179931,000","0,004","0,206",N
III Q 2022,USD,11624,2728,2097,1540,1220,3948,93301,37215,"179931,000","0,009","0,207",N
IV Q 2020,USD,5369,-4325,6968,4447,3785,-540,94362,31379,"17109909,435","0,000","0,002",N
I Q 2021,USD,6752,-494,-600,-1010,3162,2668,93666,29067,"17109909,435","0,000","0,002",N
II Q 2021,USD,7536,263,157,350,2754,3017,93687,29747,"17109909,435","0,000","0,002",N
III Q 2021,USD,8930,1325,1225,1496,2150,3475,92798,30506,"17109909,435","0,000","0,002",N
IV Q 2019,USD,8204,6358,5154,3669,3411,9769,110460,14518,"3583085,820","0,001","0,004",N
I Q 2020,USD,7366,-541,-1593,-1763,4040,3499,108776,11593,"3583085,820","0,000","0,003",N
II Q 2020,USD,5014,-10264,-11353,-10704,4419,-5845,93017,1672,"3583085,820","-0,003","0,000",N
III Q 2020,USD,4477,-1510,-2484,-1277,3051,1541,90103,1332,"3583085,820","0,000","0,000",N
IV Q 2018,USD,1662,-1241,-2736,-2703,494,-747,121021,13342,"37520800,000","0,000","0,000",N
I Q 2019,USD,1538,-557,-1984,-2331,562,5,120343,14040,"3583085,820","-0,001","0,004",N
II Q 2019,USD,4347,-809,-1602,-1875,1833,1024,122079,13293,"3583085,820","-0,001","0,004",N
III Q 2019,USD,8416,-477,-1856,-1403,4671,4194,116875,10013,"3583085,820","0,000","0,003",N
IV Q 2017,USD,1699,-10875,-8609,-9681,487,-10388,114618,3704,"36250000,000","0,000","0,000",N
I Q 2018,USD,1998,2183,1455,1002,455,2638,114793,5869,"36253400,000","0,000","0,000",N
II Q 2018,USD,2240,517,-1793,-2619,433,950,122167,16041,"37520800,000","0,000","0,000",N
III Q 2018,USD,1949,1070,-73,-570,419,1489,125775,15599,"37520800,000","0,000","0,000",N
IV Q 2016,USD,3721,-1634,-19585,-14419,1385,-249,104836,3750,"34445600,000","0,000","0,000",N
I Q 2017,USD,2642,-678,-1696,-2099,813,135,121554,19745,"36250000,000","0,000","0,001",N
II Q 2017,USD,1205,-1118,140,31,417,-701,118370,19953,"36250000,000","0,000","0,001",N
III Q 2017,USD,343,-961,-7134,-7043,149,-812,112875,13150,"36250000,000","0,000","0,000",N
IV Q 2015,USD,4232,-3287,-14427,-14604,4943,1656,185187,29979,"34445600,000","0,000","0,001",N
I Q 2016,USD,3400,-1351,-3134,-35515,1901,550,136486,27057,"34445600,000","-0,001","0,001",N
II Q 2016,USD,3604,-1965,-3138,-3994,1386,-579,128473,23070,"34445600,000","0,000","0,001",N
III Q 2016,USD,3250,-4011,-5020,-4971,1185,-2826,124000,18120,"34445600,000","0,000","0,001",N
IV Q 2014,USD,-52506,-37975,-83298,-41295,5455,-32520,259467,86748,"34445600,000","-0,001","0,003",N
I Q 2015,USD,7203,364,-2811,-4268,4820,5184,255023,75509,"34445600,000","0,000","0,002",N
II Q 2015,USD,6007,-1007,-801,49,4408,3401,242637,77691,"34445600,000","0,000","0,002",N
III Q 2015,USD,5543,-1436,-47882,-30281,4576,3140,192212,47299,"34445600,000","-0,001","0,001",N
IV Q 2013,USD,33919,14972,-72269,-79740,8944,23916,312473,138175,"0,000",,,N
I Q 2014,USD,27914,11590,4528,1657,8297,19887,290822,127689,"34445600,000","0,000","0,004",N
II Q 2014,USD,33576,16104,12584,5344,7854,23958,297341,132322,"34445600,000","0,000","0,004",N
III Q 2014,USD,30081,12228,10530,3793,8141,20369,307062,132263,"34445600,000","0,000","0,004",N
IV Q 2012,USD,21971,11634,4865,-917,5768,17402,187709,92054,"23124322,992","0,000","0,004",N
I Q 2013,USD,21162,7917,5692,2082,5087,13004,182466,94363,"23124322,992","0,000","0,004",N
II Q 2013,USD,21502,8410,5421,829,5064,13474,370168,208290,"23124322,992","0,000","0,009",N
III Q 2013,USD,35653,20162,17012,8147,8687,28849,390322,216693,"0,000",,,N
IV Q 2011,USD,11510,4757,-7650,-11282,3908,8665,220275,150874,"20328500,000","-0,001","0,007",N
I Q 2012,USD,17539,7027,4944,117,5317,12344,232836,152275,"20328500,000","0,000","0,007",N
II Q 2012,USD,19924,8244,3809,-880,5790,14034,255113,151703,"20572305,200","0,000","0,007",N
III Q 2012,USD,20686,5656,-80945,-85089,8963,14619,0,0,"23124322,992","-0,004","0,000",N
IV Q 2010,USD,3641,-2409,-3259,-3306,452,-1957,197325,157726,"40150333,000","0,000","0,004",N
I Q 2011,USD,3849,-191,-1610,-2430,1414,1223,197670,156417,"40230333,000","0,000","0,004",N
II Q 2011,USD,4177,-1406,-3328,-3831,1371,-35,0,0,"40230333,000","0,000","0,000",N
III Q 2011,USD,8801,1332,-1106,-3332,898,2230,0,0,"20328500,000","0,000","0,000",N
IV Q 2009,USD,0,-759,-5566,-6496,42,-717,85236,62886,"0,000",,,N
I Q 2010,USD,0,-1541,-4328,-4135,34,-1507,93949,62830,"0,000",,,N
II Q 2010,USD,1000,-2495,-7479,-7587,686,-1809,201263,157312,"8475775,400","-0,001","0,019",N
III Q 2010,USD,2828,-2331,-3448,-3593,1570,-761,0,0,"40150333,000","0,000","0,000",N
IV Q 2008,USD,10,-1172,-6073,-6082,17,-1155,22371,20416,"0,000",,,N
I Q 2009,USD,18,-1075,-914,-914,15,-1060,20597,19736,"0,000",,,N
II Q 2009,USD,0,-715,-912,-912,11,-704,22136,18874,"0,000",,,N
III Q 2009,USD,0,-2176,-4804,-3874,49,-2127,0,0,"0,000",,,N
IV Q 2007,USD,0,0,0,0,0,0,26546,23188,"0,000",,,N
I Q 2008,USD,125,-505,-319,-319,14,-491,0,0,"0,000",,,N
II Q 2008,USD,81,-306,-429,-215,15,-291,0,0,"0,000",,,N
III Q 2008,USD,57,-416,170,170,8,-408,0,0,"0,000",,,N
IV Q 2006,USD,0,0,0,0,0,0,16868,15966,"0,000",,,N
