kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,47221,3783,3247,2413,1215,4998,89218,47634,"2100,000","1,149","22,683",N
II Q 2023,PLN,58496,2534,35,-1154,1292,3826,148350,46956,"2100,000","-0,550","22,360",N
III Q 2023,PLN,76960,8259,19758,17840,1485,9744,170053,64028,"2100,000","8,495","30,490",N
IV Q 2023,PLN,69180,4690,2076,1207,1605,6295,163374,67224,"2100,000","0,575","32,011",N
I Q 2022,PLN,35916,-27,-401,-750,1448,1421,77435,47227,"2100,000","-0,357","22,489",N
II Q 2022,PLN,36125,-509,-751,-1123,1303,794,76879,46136,"2100,000","-0,535","21,970",N
III Q 2022,PLN,45639,-1322,-1571,-2026,1447,125,82935,44435,"2100,000","-0,965","21,160",N
IV Q 2022,PLN,46695,1651,1289,931,1431,3082,87114,45150,"2100,000","0,443","21,500",N
I Q 2021,PLN,28864,234,70,-154,1083,1317,74559,46535,"2100,000","-0,073","22,159",N
II Q 2021,PLN,30667,1993,1655,1206,1202,3195,76107,46859,"2100,000","0,574","22,314",N
III Q 2021,PLN,38540,407,11,-98,1299,1706,80914,47024,"2100,000","-0,047","22,392",N
IV Q 2021,PLN,41170,1343,1128,768,1413,2756,78183,47768,"2100,000","0,366","22,747",N
I Q 2020,PLN,34644,395,536,515,993,1388,68842,42649,"2100,000","0,245","20,309",N
II Q 2020,PLN,26615,1764,1574,1212,986,2750,69672,43757,"2100,000","0,577","20,837",N
III Q 2020,PLN,30796,693,686,668,988,1681,73284,44479,"2100,000","0,318","21,180",N
IV Q 2020,PLN,36320,2368,2307,1768,991,3359,72636,46523,"2100,000","0,842","22,154",N
I Q 2019,PLN,27991,1914,1806,1300,416,2330,59430,39750,"2100,000","0,619","18,928",N
II Q 2019,PLN,31824,1399,1212,920,462,1861,63062,40634,"2100,000","0,438","19,350",N
III Q 2019,PLN,32530,-463,-476,-33,548,85,64178,40725,"2100,000","-0,016","19,393",N
IV Q 2019,PLN,43728,3919,3641,2683,954,4873,75966,41909,"2100,000","1,278","19,957",N
I Q 2018,PLN,28205,1840,1781,1216,443,2283,46966,29918,"2100,000","0,579","14,247",N
II Q 2018,PLN,37395,4776,4716,3690,436,5212,57545,33700,"2100,000","1,757","16,047",N
III Q 2018,PLN,36897,1880,1676,1584,481,2361,59793,35180,"2100,000","0,754","16,753",N
IV Q 2018,PLN,39250,4208,4160,3224,364,4572,64318,38455,"2100,000","1,535","18,312",N
I Q 2017,PLN,20325,903,718,417,427,1330,38372,23371,"2100,000","0,199","11,129",N
II Q 2017,PLN,22829,1266,1178,914,415,1681,41736,24303,"2100,000","0,435","11,573",N
III Q 2017,PLN,28767,3608,3576,3115,423,4031,46209,26868,"2100,000","1,483","12,794",N
IV Q 2017,PLN,28877,2293,2191,2030,420,2713,49127,28853,"2100,000","0,967","13,739",N
I Q 2016,PLN,14834,1907,1906,1774,130,2037,28674,19856,"2100,000","0,845","9,455",N
II Q 2016,PLN,15726,430,454,298,268,698,36290,20154,"2100,000","0,142","9,597",N
III Q 2016,PLN,24930,1985,1806,1485,473,2458,39985,21631,"2100,000","0,707","10,301",N
IV Q 2016,PLN,23669,1661,1567,1353,412,2073,39327,23028,"2100,000","0,644","10,966",N
I Q 2015,PLN,6423,440,404,334,83,523,18547,13221,"2100,000","0,159","6,296",N
II Q 2015,PLN,9588,848,876,806,76,924,20418,14027,"2100,000","0,384","6,680",N
III Q 2015,PLN,21445,2140,2086,1459,190,2330,26686,17181,"2100,000","0,695","8,181",N
IV Q 2015,PLN,14930,1105,1060,871,264,1369,28070,18081,"2100,000","0,415","8,610",N
