kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2021,EUR,9795,680,735,-531,818,1498,53753,34148,"36000,000","-0,015","0,949",N
I Q 2022,EUR,11036,3221,634,-266,772,3993,50694,32310,"36000,000","-0,007","0,898",N
II Q 2022,EUR,15334,2464,10795,9612,898,3362,63778,42604,"36000,000","0,267","1,183",N
III Q 2022,EUR,17604,4926,4114,2489,899,5825,69731,48093,"36000,000","0,069","1,336",N
IV Q 2020,EUR,8720,2174,2419,347,895,3069,42256,24504,"36000,000","0,010","0,681",N
I Q 2021,EUR,10265,3285,3624,2261,795,4080,46279,26668,"36000,000","0,063","0,741",N
II Q 2021,EUR,12960,4656,5160,3770,797,5453,49446,30497,"36000,000","0,105","0,847",N
III Q 2021,EUR,13666,4384,4638,3531,827,5211,52677,34501,"36000,000","0,098","0,958",N
IV Q 2019,EUR,12132,2622,2548,1371,1637,4259,46309,26324,"36000,000","0,038","0,731",N
I Q 2020,EUR,11546,3152,-1703,-1406,1096,4248,41682,22341,"36000,000","-0,039","0,621",N
II Q 2020,EUR,6185,831,2896,2151,852,1683,42916,24672,"36000,000","0,060","0,685",N
III Q 2020,EUR,12028,4387,443,255,724,5111,41593,24186,"36000,000","0,007","0,672",N
IV Q 2018,EUR,12378,1810,896,938,387,2197,45504,27462,"36000,000","0,026","0,763",N
I Q 2019,EUR,13820,2322,4244,3098,836,3158,51411,30277,"36000,000","0,086","0,841",N
II Q 2019,EUR,16444,4739,5067,3824,892,5631,50240,26991,"36000,000","0,106","0,750",N
III Q 2019,EUR,14547,3029,3328,2370,927,3956,44498,25988,"36000,000","0,066","0,722",N
IV Q 2017,EUR,12283,2185,2313,1605,401,2586,52880,40974,"55500,000","0,029","0,738",N
I Q 2018,EUR,16157,5173,5165,3695,397,5570,48015,33252,"55500,000","0,067","0,599",N
II Q 2018,EUR,17376,5847,5666,3962,393,6240,51090,30756,"55500,000","0,071","0,554",N
III Q 2018,EUR,16302,4906,3248,2201,397,5303,43609,32985,"55500,000","0,040","0,594",N
IV Q 2016,EUR,12250,1917,-630,-844,535,2452,56145,43402,"57000,000","-0,015","0,761",N
I Q 2017,EUR,14542,2407,1285,50,502,2909,58526,43921,"57000,000","0,001","0,771",N
II Q 2017,EUR,18268,4715,6830,5383,470,5185,56592,37112,"55500,000","0,097","0,669",N
III Q 2017,EUR,17255,4641,4956,3875,414,5055,50941,39257,"55500,000","0,070","0,707",N
IV Q 2015,EUR,13383,2581,3381,1781,555,3136,53635,40194,"57000,000","0,031","0,705",N
I Q 2016,EUR,13358,4376,2922,2159,442,4818,54072,41116,"57000,000","0,038","0,721",N
II Q 2016,EUR,17237,5964,5025,3827,436,6400,59216,40609,"57000,000","0,067","0,712",N
III Q 2016,EUR,15047,4286,4303,3131,474,4760,55159,43583,"57000,000","0,055","0,765",N
IV Q 2014,EUR,13729,1718,3196,666,679,2397,67339,46753,"58500,000","0,011","0,799",N
I Q 2015,EUR,13073,1695,1777,-521,656,2351,59771,42454,"58500,000","-0,009","0,726",N
II Q 2015,EUR,21425,5508,4655,3277,687,6195,58455,40907,"58500,000","0,056","0,699",N
