kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,140663,-4672,-6469,-3214,9454,4782,794015,292942,"12617,778","-0,255","23,217",N
I Q 2023,PLN,201405,27540,21327,16310,9939,37479,877565,309992,"12617,778","1,293","24,568",N
II Q 2023,PLN,233140,33016,28206,22023,9659,42675,827195,312485,"12617,778","1,745","24,765",N
III Q 2023,PLN,270524,55312,50537,38689,9682,64994,832645,355354,"12617,778","3,066","28,163",N
IV Q 2021,PLN,144503,-1103,507,-53,9156,8053,802960,304099,"12617,778","-0,004","24,101",N
I Q 2022,PLN,189877,17824,14193,11097,8824,26648,911760,314855,"12617,778","0,879","24,953",N
II Q 2022,PLN,213499,24514,18770,8876,9275,33789,916276,294790,"12617,778","0,703","23,363",N
III Q 2022,PLN,247647,31753,26517,19926,9203,40956,864104,310840,"12617,778","1,579","24,635",N
IV Q 2020,PLN,139098,-4570,-3227,-2473,8487,3917,709564,293440,"12617,778","-0,196","23,256",N
I Q 2021,PLN,182611,22023,21252,16327,8803,30826,814387,311741,"12617,778","1,294","24,706",N
II Q 2021,PLN,226904,23958,24972,20167,8763,32721,838774,279264,"12617,778","1,598","22,133",N
III Q 2021,PLN,240845,30578,30080,23262,9241,39819,831090,305254,"12617,778","1,844","24,192",N
IV Q 2019,PLN,141498,-8019,-7657,-7757,9049,1030,661448,265426,"12617,778","-0,615","21,036",N
I Q 2020,PLN,167765,20068,19027,14217,8046,28114,735248,276627,"12617,778","1,127","21,924",N
II Q 2020,PLN,263331,44051,44578,33622,8541,52592,777541,277169,"12617,778","2,665","21,967",N
