kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,37783,-3487,-2202,-3258,4242,755,132870,63620,"3000,000","-1,086","21,207",N
I Q 2023,PLN,31374,-3886,-4160,-3993,4152,266,130463,59626,"3000,000","-1,331","19,875",N
II Q 2023,PLN,36985,-395,1172,-242,4396,4001,123610,59384,"3000,000","-0,081","19,795",N
III Q 2023,PLN,31618,-2771,-4787,-4699,4184,1413,124263,54685,"3000,000","-1,566","18,228",N
IV Q 2021,PLN,35301,-634,-755,-772,3817,3183,154694,75113,"3000,000","-0,257","25,038",N
I Q 2022,PLN,25282,-4560,-5581,-4605,3872,-688,147061,69266,"3000,000","-1,535","23,089",N
II Q 2022,PLN,36541,1856,1178,693,3902,5758,144705,69960,"3000,000","0,231","23,320",N
III Q 2022,PLN,32425,-1088,-3382,-2791,4143,3055,139976,66877,"3000,000","-0,930","22,292",N
IV Q 2020,PLN,22888,-2970,-4358,-3698,4175,1205,166014,78092,"3000,000","-1,233","26,031",N
I Q 2021,PLN,19839,-3083,-4031,-3258,4121,1038,164504,74834,"3000,000","-1,086","24,945",N
II Q 2021,PLN,27651,1684,3157,2533,4104,5788,163592,77368,"3000,000","0,844","25,789",N
III Q 2021,PLN,31443,945,-949,-669,3998,4943,157832,75885,"3000,000","-0,223","25,295",N
IV Q 2019,PLN,37073,-717,-27,84,4958,4241,153745,88467,"3000,000","0,028","29,489",N
I Q 2020,PLN,25175,-3707,-6697,-5650,4810,1103,149864,82817,"3000,000","-1,883","27,606",N
II Q 2020,PLN,22042,-744,-219,-175,4792,4048,168444,82642,"3000,000","-0,058","27,547",N
III Q 2020,PLN,29561,152,-881,-852,4329,4481,160105,81790,"3000,000","-0,284","27,263",N
IV Q 2018,PLN,35662,1408,1514,1087,975,2383,103155,90563,"3000,000","0,362","30,188",N
I Q 2019,PLN,31916,-1014,-1380,-1165,5048,4034,153319,86197,"3000,000","-0,388","28,732",N
II Q 2019,PLN,36307,2196,2317,1659,4991,7187,154143,88464,"3000,000","0,553","29,488",N
III Q 2019,PLN,34434,1366,-52,-33,4999,6365,153973,88431,"3000,000","-0,011","29,477",N
IV Q 2017,PLN,33105,-44163,-44029,-44123,805,-43358,103627,90592,"3000,000","-14,708","30,197",N
I Q 2018,PLN,27710,-2258,-2230,-1816,827,-1431,103246,88711,"3000,000","-0,605","29,570",N
II Q 2018,PLN,32927,737,752,560,681,1418,103251,89271,"3000,000","0,187","29,757",N
III Q 2018,PLN,32377,258,255,242,561,819,101248,89476,"3000,000","0,081","29,825",N
IV Q 2016,PLN,35644,1085,1107,872,886,1971,148770,136573,"3000,000","0,291","45,524",N
I Q 2017,PLN,30723,-2844,-2823,-2272,924,-1920,145511,134301,"3000,000","-0,757","44,767",N
II Q 2017,PLN,34638,779,791,609,918,1697,146327,134909,"3000,000","0,203","44,970",N
III Q 2017,PLN,31314,468,561,437,900,1368,145455,135346,"3000,000","0,146","45,115",N
IV Q 2015,PLN,35652,-582,-570,-647,931,349,150814,138230,"3000,000","-0,216","46,077",N
I Q 2016,PLN,31177,-2742,-2789,-2288,941,-1801,148623,135943,"3000,000","-0,763","45,314",N
II Q 2016,PLN,37478,1162,1169,890,959,2121,150059,136833,"3000,000","0,297","45,611",N
III Q 2016,PLN,33306,-1442,-1392,-1132,915,-527,146306,135701,"3000,000","-0,377","45,234",N
IV Q 2014,PLN,35235,2543,2594,1843,1014,3557,155174,142318,"3000,000","0,614","47,439",N
I Q 2015,PLN,34465,-2570,-2549,-2015,1007,-1563,150917,140303,"3000,000","-0,672","46,768",N
II Q 2015,PLN,34318,-520,-520,-480,999,479,151665,139822,"3000,000","-0,160","46,607",N
III Q 2015,PLN,35852,-1152,-1145,-945,948,-204,149871,138878,"3000,000","-0,315","46,293",N
IV Q 2013,PLN,38423,2518,2588,2070,1056,3574,147895,138316,"3000,000","0,690","46,105",N
I Q 2014,PLN,34879,454,592,370,1082,1536,147975,138686,"3000,000","0,123","46,229",N
II Q 2014,PLN,34116,1529,1606,1214,1040,2569,151056,138700,"3000,000","0,405","46,233",N
III Q 2014,PLN,38013,2259,2262,1774,1003,3262,152781,140474,"3000,000","0,591","46,825",N
IV Q 2012,PLN,36021,-578,-479,-466,1165,587,151537,141603,"3000,000","-0,155","47,201",N
I Q 2013,PLN,35101,-2498,-2374,-2023,1125,-1373,148890,139579,"3000,000","-0,674","46,526",N
II Q 2013,PLN,34997,2076,2147,1662,1121,3197,150103,134942,"3000,000","0,554","44,981",N
III Q 2013,PLN,39655,1570,1739,1306,1082,2652,145469,136247,"3000,000","0,435","45,416",N
IV Q 2011,PLN,59768,25973,26077,21267,1265,27238,160977,146005,"3000,000","7,089","48,668",N
I Q 2012,PLN,39575,9459,9588,7706,0,9459,146715,134211,"3000,000","2,569","44,737",N
II Q 2012,PLN,32693,6562,6598,5250,0,6562,149641,139461,"3000,000","1,750","46,487",N
III Q 2012,PLN,36504,3230,3307,2608,1127,4357,151596,142069,"3000,000","0,869","47,356",N
IV Q 2010,PLN,59798,22320,23499,18785,1159,23479,111518,63659,"3000,000","6,262","21,220",N
I Q 2011,PLN,37535,7848,7313,5811,1217,9065,111674,71460,"3000,000","1,937","23,820",N
II Q 2011,PLN,46587,16253,15763,12701,1179,17432,125799,84423,"3000,000","4,234","28,141",N
III Q 2011,PLN,47022,15909,15685,12577,1181,17090,0,0,"3000,000","4,192","0,000",N
IV Q 2008,PLN,0,0,0,0,0,0,74748,63920,"3000,000","0,000","21,307",N
IV Q 2009,PLN,0,0,0,0,0,0,102765,50807,"3000,000","0,000","16,936",N
