kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,79586,14995,15807,11547,1101,16096,199144,80179,"20291,535","0,569","3,951",N
I Q 2023,PLN,100525,12261,11240,9676,1532,13793,279761,89839,"20291,535","0,477","4,427",N
II Q 2023,PLN,88131,11792,12127,9814,1474,13266,283944,93817,"20291,535","0,484","4,623",N
III Q 2023,PLN,81406,6517,3698,2184,1935,8452,281441,96101,"20291,535","0,108","4,736",N
IV Q 2021,PLN,39739,2165,1667,811,919,3084,116630,42793,"20291,535","0,040","2,109",N
I Q 2022,PLN,56189,7942,6924,5876,955,8897,135323,48669,"20291,535","0,290","2,398",N
II Q 2022,PLN,69533,11366,10417,8483,1011,12377,140239,55123,"20291,535","0,418","2,717",N
III Q 2022,PLN,84215,17064,14839,13084,1018,18082,175735,68200,"20291,535","0,645","3,361",N
IV Q 2020,PLN,17536,1170,716,595,659,1829,83878,37668,"20291,535","0,029","1,856",N
I Q 2021,PLN,22986,2591,2240,1841,882,3473,0,0,"20291,535","0,091","0,000",N
II Q 2021,PLN,33156,1982,1933,1338,906,2888,99550,39764,"20291,535","0,066","1,960",N
III Q 2021,PLN,34644,3442,2714,2232,920,4362,114473,41996,"20291,535","0,110","2,070",N
IV Q 2013,PLN,6649,292,285,150,259,551,41032,19443,"20291,535","0,007","0,958",N
I Q 2014,PLN,6061,-156,-314,-351,286,130,41032,18903,"20291,535","-0,017","0,932",N
II Q 2014,PLN,10609,1335,1232,1196,311,1646,40756,20288,"20291,535","0,059","1,000",N
III Q 2020,PLN,22519,3380,3012,2409,640,4020,0,0,"20291,535","0,119","0,000",N
IV Q 2012,PLN,6959,161,90,301,334,495,35513,18469,"20291,535","0,015","0,910",N
I Q 2013,PLN,6057,-419,-636,-636,242,-177,36980,17833,"20291,535","-0,031","0,879",N
II Q 2013,PLN,9025,891,684,635,239,1130,38503,18468,"20291,535","0,031","0,910",N
III Q 2013,PLN,9928,1089,897,673,251,1340,40455,19104,"20291,535","0,033","0,941",N
IV Q 2011,PLN,7294,0,-39,-169,270,270,33952,18392,"20291,535","-0,008","0,906",N
III Q 2012,PLN,9773,554,276,121,273,827,36870,18168,"20291,535","0,006","0,895",N
