kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,440964,5556,9202,21384,11948,17504,1338100,461617,"11346,936","1,885","40,682",N
I Q 2023,PLN,423096,15365,6555,5791,12031,27396,1415800,461268,"11346,936","0,510","40,651",N
II Q 2023,PLN,460280,39107,26123,22353,11072,50179,1434134,460796,"11346,936","1,970","40,610",N
III Q 2023,PLN,508282,53957,34197,25290,16542,70499,1485265,475670,"11346,936","2,229","41,921",N
IV Q 2021,PLN,331288,31378,27631,22438,9813,41191,1048616,381935,"11346,936","1,977","33,660",N
I Q 2022,PLN,339076,28512,21759,17563,9913,38425,1122440,401012,"11346,936","1,548","35,341",N
II Q 2022,PLN,388050,47958,38962,31049,9335,57293,1208080,412859,"11346,936","2,736","36,385",N
III Q 2022,PLN,445689,50393,40250,31893,11418,61811,1290951,443588,"11346,936","2,811","39,093",N
IV Q 2020,PLN,277630,50661,46878,39488,9265,59926,779867,297050,"11346,936","3,480","26,179",N
I Q 2021,PLN,277372,45256,39944,32311,9605,54861,891455,330597,"11346,936","2,848","29,135",N
II Q 2021,PLN,274172,19831,15829,12773,9591,29422,914602,327283,"11346,936","1,126","28,843",N
III Q 2021,PLN,311624,36666,35049,28098,9718,46384,937821,356197,"11346,936","2,476","31,391",N
IV Q 2019,PLN,239268,17011,7332,6559,7749,24760,699939,208708,"11346,936","0,578","18,393",N
I Q 2020,PLN,246465,13893,7676,6268,8620,22513,741416,212034,"11346,936","0,552","18,686",N
II Q 2020,PLN,232998,16565,13506,10500,9426,25991,711515,222047,"11346,936","0,925","19,569",N
III Q 2020,PLN,267844,46496,43663,35058,9220,55716,751142,257270,"11346,936","3,090","22,673",N
IV Q 2018,PLN,205013,17889,15525,14660,6911,24800,614356,186545,"11346,936","1,292","16,440",N
I Q 2019,PLN,187503,11609,9106,7219,7237,18846,621871,193343,"11346,936","0,636","17,039",N
II Q 2019,PLN,234585,4311,1967,1342,7152,11463,631449,188933,"11346,936","0,118","16,651",N
III Q 2019,PLN,216425,18781,16622,13170,7270,26051,674478,201565,"11346,936","1,161","17,764",N
IV Q 2017,PLN,188357,13437,11190,9400,7365,20802,519428,162917,"11346,936","0,828","14,358",N
I Q 2018,PLN,180912,10152,7975,5607,7270,17422,545179,168511,"11346,936","0,494","14,851",N
II Q 2018,PLN,174731,-3631,-9781,-8398,7269,3638,559626,158962,"11346,936","-0,740","14,009",N
III Q 2018,PLN,199762,20465,18061,13828,7027,27492,586051,173068,"11346,936","1,219","15,252",N
IV Q 2016,PLN,183354,3044,1005,463,6609,9653,476638,146423,"11346,936","0,041","12,904",N
I Q 2017,PLN,172263,4703,2860,2376,7003,11706,498857,148898,"11346,936","0,209","13,122",N
II Q 2017,PLN,185913,4807,3007,2291,7192,11999,482831,143890,"11346,936","0,202","12,681",N
III Q 2017,PLN,186310,13624,11771,9380,7349,20973,489384,153335,"11346,936","0,827","13,513",N
IV Q 2015,PLN,143147,6258,4563,3876,6068,12326,416460,143218,"11346,936","0,342","12,622",N
I Q 2016,PLN,144476,5484,3995,3182,6185,11669,437762,146405,"11346,936","0,280","12,903",N
II Q 2016,PLN,153862,4977,3281,2895,6480,11457,431424,142109,"11346,936","0,255","12,524",N
III Q 2016,PLN,166468,6191,4306,3326,6538,12729,448164,145646,"11346,936","0,293","12,836",N
IV Q 2014,PLN,124025,6552,4870,3834,5279,11831,385831,123098,"11346,936","0,338","10,849",N
I Q 2015,PLN,124795,8652,6802,5358,5001,13653,405323,128346,"11346,936","0,472","11,311",N
II Q 2015,PLN,129113,6773,4957,3912,5598,12371,402758,132770,"11346,936","0,345","11,701",N
III Q 2015,PLN,144895,10527,8698,6878,5803,16330,419348,139239,"11346,936","0,606","12,271",N
IV Q 2013,PLN,118251,4280,2976,2123,5366,9646,329898,115407,"11346,936","0,187","10,171",N
I Q 2014,PLN,108856,4789,3393,2648,5112,9901,363721,118033,"11346,936","0,233","10,402",N
II Q 2014,PLN,134297,3173,1325,816,4604,7777,385324,118360,"11346,936","0,072","10,431",N
III Q 2014,PLN,127223,7096,5380,4380,5175,12271,374390,122393,"11346,936","0,386","10,786",N
IV Q 2012,PLN,101924,-4737,-6520,4187,3105,-1632,236403,65107,"6364,936","0,658","10,229",N
I Q 2013,PLN,99517,5687,4222,3227,3167,8854,0,0,"6364,936","0,507","0,000",N
II Q 2013,PLN,109704,3886,2422,2130,3413,7299,306930,111780,"11346,936","0,188","9,851",N
III Q 2013,PLN,120810,3465,2280,1835,3651,7116,317409,113609,"11346,936","0,162","10,012",N
IV Q 2010,PLN,0,0,0,0,0,0,210197,80949,"6364,936","0,000","12,718",N
IV Q 2011,PLN,0,0,0,0,0,0,256627,90810,"6364,936","0,000","14,267",N
III Q 2012,PLN,96566,7524,5637,1831,0,7524,235941,62189,"6364,936","0,288","9,771",N
