kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2022,EUR,0,0,0,0,0,0,572937,50151,"6707,198","0,000","7,477",N
IV Q 2022,EUR,0,0,0,0,0,0,574667,33653,"6707,198","0,000","5,017",N
II Q 2023,EUR,0,0,0,0,0,0,577337,53033,"6707,198","0,000","7,907",N
IV Q 2023,EUR,0,0,0,0,0,0,579634,32596,"6707,198","0,000","4,860",N
II Q 2020,EUR,0,0,0,0,0,0,564271,119302,"6707,198","0,000","17,787",N
IV Q 2020,EUR,0,0,0,0,0,0,561927,92164,"6707,198","0,000","13,741",N
II Q 2021,EUR,0,0,0,0,0,0,553484,56419,"6707,198","0,000","8,412",N
IV Q 2021,EUR,0,0,0,0,0,0,556761,45565,"6707,198","0,000","6,793",N
II Q 2018,EUR,0,0,0,0,0,0,454223,122813,"6707,198","0,000","18,311",N
IV Q 2018,EUR,0,0,0,0,0,0,521684,113681,"6707,198","0,000","16,949",N
II Q 2019,EUR,0,0,0,0,0,0,503162,122535,"6707,198","0,000","18,269",N
IV Q 2019,EUR,0,0,0,0,0,0,533858,110067,"6707,198","0,000","16,410",N
II Q 2016,EUR,0,0,0,0,0,0,354914,106271,"6707,198","0,000","15,844",N
IV Q 2016,EUR,0,0,0,0,0,0,375701,103995,"6707,198","0,000","15,505",N
II Q 2017,EUR,0,0,0,0,0,0,400293,115800,"6707,198","0,000","17,265",N
IV Q 2017,EUR,0,0,0,0,0,0,438341,111561,"6707,198","0,000","16,633",N
II Q 2014,EUR,0,0,0,0,0,0,356603,104248,"6707,198","0,000","15,543",N
IV Q 2014,EUR,0,0,0,0,0,0,359619,102065,"6707,198","0,000","15,217",N
II Q 2015,EUR,0,0,0,0,0,0,361171,105841,"6707,198","0,000","15,780",N
IV Q 2015,EUR,0,0,0,0,0,0,360921,101016,"6707,198","0,000","15,061",N
III Q 2012,EUR,8025,608,954,967,0,608,0,0,"6707,198","0,144","0,000",N
IV Q 2012,EUR,9307,1185,5140,3047,0,1185,319912,276416,"6707,198","0,454","41,212",N
II Q 2013,EUR,0,0,0,0,0,0,327559,276408,"6707,198","0,000","41,211",N
IV Q 2013,EUR,0,0,0,0,0,0,345504,101477,"6707,198","0,000","15,130",N
III Q 2011,EUR,7767,-22,1741,1758,0,-22,0,0,"6707,198","0,262","0,000",N
IV Q 2011,EUR,7400,-357,5320,986,0,-357,315125,272686,"6707,198","0,147","40,656",N
I Q 2012,EUR,12233,1423,2730,2689,0,1423,318479,275375,"6707,198","0,401","41,057",N
II Q 2012,EUR,12150,2833,3471,3483,0,2833,317151,272408,"6707,198","0,519","40,614",N
IV Q 2010,EUR,0,0,0,0,0,0,300547,269009,"6707,198","0,000","40,108",N
I Q 2011,EUR,10412,617,2968,2984,0,617,306364,272000,"6707,198","0,445","40,553",N
II Q 2011,EUR,9572,1361,3302,3296,0,1361,304776,269792,"6707,198","0,491","40,224",N
