kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,15686,1648,1778,256,325,1973,44096,25723,"113500,000","0,002","0,227",N
I Q 2023,PLN,7510,-708,-551,-453,317,-391,41806,25270,"113500,000","-0,004","0,223",N
II Q 2023,PLN,19587,160,324,184,387,547,46846,27014,"113500,000","0,002","0,238",N
III Q 2023,PLN,11418,1338,1507,1133,349,1687,42452,28147,"113500,000","0,010","0,248",N
IV Q 2021,PLN,12095,1177,1304,590,291,1468,43368,27225,"113500,000","0,005","0,240",N
I Q 2022,PLN,4459,-2479,-2342,-1726,292,-2187,41395,25499,"113500,000","-0,015","0,225",N
II Q 2022,PLN,11819,-996,-874,-910,301,-695,40781,24589,"113500,000","-0,008","0,217",N
III Q 2022,PLN,12811,955,1086,878,308,1263,40921,25467,"113500,000","0,008","0,224",N
IV Q 2020,PLN,23140,3092,3200,1469,295,3387,49230,24703,"113500,000","0,013","0,218",N
I Q 2021,PLN,7636,-1567,-1402,-1138,292,-1275,44353,23568,"113500,000","-0,010","0,208",N
II Q 2021,PLN,24988,5349,5455,3538,273,5622,48705,27374,"113500,000","0,031","0,241",N
III Q 2021,PLN,7764,-936,-791,-960,276,-660,43518,26635,"113500,000","-0,008","0,235",N
IV Q 2019,PLN,16718,-1069,1579,693,227,-842,40193,21975,"113500,000","0,006","0,194",N
I Q 2020,PLN,3128,-2910,-2813,-1911,270,-2640,32619,20069,"113500,000","-0,017","0,177",N
II Q 2020,PLN,10373,830,1063,426,263,1093,36833,21500,"113500,000","0,004","0,189",N
III Q 2020,PLN,17682,2364,2462,1734,273,2637,44318,23234,"113500,000","0,015","0,205",N
IV Q 2018,PLN,13666,-501,-587,-527,236,-265,31228,18170,"113500,000","-0,005","0,160",N
I Q 2019,PLN,8174,499,457,370,242,741,31697,18542,"113500,000","0,003","0,163",N
II Q 2019,PLN,19196,2591,2526,1854,265,2856,43361,20402,"113500,000","0,016","0,180",N
III Q 2019,PLN,19921,1696,1687,878,293,1989,41210,21279,"113500,000","0,008","0,187",N
IV Q 2017,PLN,9982,-192,-510,-538,132,-60,28795,19048,"113500,000","-0,005","0,168",N
I Q 2018,PLN,12642,-60,60,-58,210,150,39299,18672,"113500,000","-0,001","0,165",N
II Q 2018,PLN,22136,854,694,604,187,1041,45744,19181,"113500,000","0,005","0,169",N
III Q 2018,PLN,14782,-365,-447,-485,225,-140,37869,18696,"113500,000","-0,004","0,165",N
IV Q 2016,PLN,0,0,0,0,0,0,26425,18166,"113500,000","0,000","0,160",N
I Q 2017,PLN,7619,697,477,382,174,871,0,0,"113500,000","0,003","0,000",N
II Q 2017,PLN,9216,894,945,720,181,1075,26739,19286,"113500,000","0,006","0,170",N
III Q 2017,PLN,9435,375,313,298,168,543,27909,19584,"113500,000","0,003","0,173",N
