kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,36844,91,-490,-389,1156,1247,139970,85668,"11350,000","-0,034","7,548",N
I Q 2023,PLN,42196,1216,1012,706,1135,2351,131529,86374,"11350,000","0,062","7,610",N
II Q 2023,PLN,28230,548,224,70,1176,1724,130877,84174,"11350,000","0,006","7,416",N
III Q 2023,PLN,35189,694,835,653,1184,1878,137087,84773,"11350,000","0,058","7,469",N
IV Q 2021,PLN,32049,3246,3141,2957,1162,4408,132501,86330,"11350,000","0,261","7,606",N
I Q 2022,PLN,30341,112,64,208,1146,1258,132533,86538,"11350,000","0,018","7,624",N
II Q 2022,PLN,34522,2428,2291,1559,1148,3576,131110,84692,"11350,000","0,137","7,462",N
III Q 2022,PLN,27129,1473,1336,1364,1153,2626,124440,86056,"11350,000","0,120","7,582",N
IV Q 2020,PLN,26296,1544,1430,1994,1104,2648,120836,79767,"11350,000","0,176","7,028",N
I Q 2021,PLN,25994,292,257,285,1095,1387,117832,80052,"11350,000","0,025","7,053",N
II Q 2021,PLN,28846,2152,2116,2129,1137,3289,114943,82181,"11350,000","0,188","7,241",N
III Q 2021,PLN,26704,1511,1493,1192,1157,2668,130734,83373,"11350,000","0,105","7,346",N
IV Q 2019,PLN,34098,1573,1401,1170,981,2554,110071,73128,"11350,000","0,103","6,443",N
I Q 2020,PLN,21767,1497,1419,1146,1034,2531,106266,74274,"11350,000","0,101","6,544",N
II Q 2020,PLN,22989,1686,1661,1383,1043,2729,108489,75657,"11350,000","0,122","6,666",N
III Q 2020,PLN,31326,2525,2478,2116,1048,3573,112975,77773,"11350,000","0,186","6,852",N
IV Q 2018,PLN,21364,1348,1286,1224,969,2317,98172,69511,"11350,000","0,108","6,124",N
I Q 2019,PLN,24301,-121,-157,-547,939,818,105314,68964,"11350,000","-0,048","6,076",N
II Q 2019,PLN,32016,1983,1938,1659,984,2967,115415,70623,"11350,000","0,146","6,222",N
III Q 2019,PLN,36615,1387,1288,1335,984,2371,104335,71958,"11350,000","0,118","6,340",N
IV Q 2017,PLN,19183,239,282,458,904,1143,97449,67549,"11350,000","0,040","5,951",N
I Q 2018,PLN,18332,95,54,-44,875,970,91592,67362,"11350,000","-0,004","5,935",N
II Q 2018,PLN,18386,588,483,-164,884,1472,89028,67198,"11350,000","-0,014","5,921",N
III Q 2018,PLN,19547,1268,1262,1212,905,2173,93722,68410,"11350,000","0,107","6,027",N
IV Q 2016,PLN,17565,-1725,-1830,-1772,896,-829,101002,74247,"11350,000","-0,156","6,542",N
I Q 2017,PLN,10035,-3289,-3160,-3341,890,-2399,93008,70906,"11350,000","-0,294","6,247",N
II Q 2017,PLN,13237,-1665,-1664,-1985,925,-740,89938,68921,"11350,000","-0,175","6,072",N
III Q 2017,PLN,15087,-1780,-1814,-1830,939,-841,89102,67091,"11350,000","-0,161","5,911",N
IV Q 2015,PLN,27417,2447,2512,2297,853,3300,113954,81118,"11350,000","0,202","7,147",N
I Q 2016,PLN,10116,-1740,-1673,-1859,829,-911,101552,79428,"11350,000","-0,164","6,998",N
II Q 2016,PLN,15657,-1320,-1314,-1080,840,-480,102178,77044,"11350,000","-0,095","6,788",N
III Q 2016,PLN,17037,-747,-668,-1025,866,119,99732,76019,"11350,000","-0,090","6,698",N
IV Q 2014,PLN,27655,3122,2553,2505,812,3934,113286,78674,"11350,000","0,221","6,932",N
I Q 2015,PLN,19831,-158,-61,88,764,606,107382,78763,"11350,000","0,008","6,939",N
II Q 2015,PLN,20333,743,818,757,766,1509,106393,78384,"11350,000","0,067","6,906",N
III Q 2015,PLN,17078,580,640,437,820,1400,107886,78821,"11350,000","0,039","6,945",N
IV Q 2013,PLN,19377,1563,2623,3613,789,2352,121421,79517,"11350,000","0,318","7,006",N
I Q 2014,PLN,16921,-412,-56,-107,699,287,114521,79410,"11350,000","-0,009","6,996",N
II Q 2014,PLN,18328,-999,-935,-729,740,-259,111465,75844,"11350,000","-0,064","6,682",N
III Q 2014,PLN,24609,175,226,325,766,941,109440,76169,"11350,000","0,029","6,711",N
IV Q 2012,PLN,28755,3407,3681,3416,788,4195,122615,76050,"11350,000","0,301","6,700",N
I Q 2013,PLN,11616,-324,-54,-100,700,376,113539,75950,"11350,000","-0,009","6,692",N
II Q 2013,PLN,11661,-395,-189,-199,710,315,111594,75751,"11350,000","-0,018","6,674",N
III Q 2013,PLN,18056,436,553,153,721,1157,114785,75904,"11350,000","0,013","6,688",N
IV Q 2011,PLN,47913,8099,8114,5897,763,8862,183900,117842,"11250,000","0,524","10,475",N
I Q 2012,PLN,23090,2684,2655,2057,771,3455,165736,119899,"11350,000","0,181","10,564",N
II Q 2012,PLN,18421,-22496,-50415,-48717,784,-21712,120161,71182,"11350,000","-4,292","6,272",N
III Q 2012,PLN,21338,969,1172,1076,791,1760,119142,72634,"11350,000","0,095","6,399",N
IV Q 2010,PLN,72524,7773,8469,6081,819,8592,205190,106334,"11050,000","0,550","9,623",N
I Q 2011,PLN,50006,1477,2049,1631,819,2296,192562,108165,"11250,000","0,145","9,615",N
II Q 2011,PLN,49062,5576,5081,3756,766,6342,187121,109717,"11250,000","0,334","9,753",N
III Q 2011,PLN,31919,1376,2205,1922,765,2141,0,0,"11250,000","0,171","0,000",N
IV Q 2009,PLN,29645,2338,2173,1715,613,2951,96221,36534,"7050,000","0,243","5,182",N
I Q 2010,PLN,17696,3300,4009,3310,720,4020,92878,39965,"7050,000","0,470","5,669",N
II Q 2010,PLN,23612,4756,4571,3705,776,5532,88929,44211,"7050,000","0,526","6,271",N
III Q 2010,PLN,60503,2145,2321,1264,793,2938,0,0,"11050,000","0,114","0,000",N
II Q 2009,PLN,0,0,0,0,0,0,70936,32248,"0,000",,,N
III Q 2009,PLN,25835,3160,3004,2381,606,3766,0,0,"7050,000","0,338","0,000",N
