kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,386430,29147,32626,25828,7008,36155,687372,258060,"22199,200","1,163","11,625",N
I Q 2023,PLN,379326,21047,19495,14725,7167,28214,728635,271228,"22199,200","0,663","12,218",N
II Q 2023,PLN,353557,17733,22295,18173,7407,25140,694268,290696,"22199,200","0,819","13,095",N
III Q 2023,PLN,360730,16729,8004,4237,8040,24769,750567,296226,"22199,200","0,191","13,344",N
IV Q 2021,PLN,363781,28878,27791,22223,5903,34781,536541,211649,"22199,200","1,001","9,534",N
I Q 2022,PLN,409971,41420,39079,31237,5836,47256,667608,244794,"22199,200","1,407","11,027",N
II Q 2022,PLN,362481,39284,36595,29115,5934,45218,706146,249191,"22199,200","1,312","11,225",N
III Q 2022,PLN,364396,26034,19736,16002,5692,31726,642148,265521,"22199,200","0,721","11,961",N
IV Q 2020,PLN,303470,24181,20271,17271,5822,30003,467055,163147,"22199,200","0,778","7,349",N
I Q 2021,PLN,274374,19097,16807,13468,5568,24665,505712,177128,"22199,200","0,607","7,979",N
II Q 2021,PLN,328012,36585,37351,29550,5718,42303,580849,184990,"22199,200","1,331","8,333",N
III Q 2021,PLN,348180,36896,32039,24896,5784,42680,568286,212061,"22199,200","1,121","9,553",N
IV Q 2019,PLN,242688,7921,7812,5363,5320,13241,468474,152653,"22199,200","0,242","6,877",N
I Q 2020,PLN,240079,7305,727,539,5200,12505,500118,153192,"22199,200","0,024","6,901",N
II Q 2020,PLN,253658,11893,11391,8877,5583,17476,465571,162069,"22199,200","0,400","7,301",N
III Q 2020,PLN,267659,14953,12175,10448,5537,20490,506717,172517,"22199,200","0,471","7,771",N
IV Q 2018,PLN,223870,4219,4023,3404,3042,7261,370022,155386,"22199,200","0,153","7,000",N
I Q 2019,PLN,207548,7141,5117,3866,4717,11858,448753,155216,"22199,200","0,174","6,992",N
II Q 2019,PLN,210152,7636,6350,4595,5269,12905,469741,159308,"22199,200","0,207","7,176",N
III Q 2019,PLN,229647,9834,5948,5741,5168,15002,481874,165050,"22199,200","0,259","7,435",N
IV Q 2017,PLN,204077,-1348,-1687,-1543,2664,1316,366363,164667,"22199,200","-0,070","7,418",N
I Q 2018,PLN,193956,3063,2908,2406,2566,5629,372086,167075,"22199,200","0,108","7,526",N
II Q 2018,PLN,198109,5613,5444,4224,2660,8273,399092,171300,"22199,200","0,190","7,716",N
III Q 2018,PLN,214329,6962,6363,5060,2937,9899,398590,174520,"22199,200","0,228","7,862",N
IV Q 2016,PLN,182443,-2419,-2492,-2196,2295,-124,343034,168335,"22199,200","-0,099","7,583",N
I Q 2017,PLN,163161,-1624,-1835,-1425,2540,916,349480,166906,"22199,200","-0,064","7,519",N
II Q 2017,PLN,165411,-2009,-2189,-1796,2652,643,327403,165137,"22199,200","-0,081","7,439",N
III Q 2017,PLN,186523,1809,1441,1074,2572,4381,361089,166212,"22199,200","0,048","7,487",N
