kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,352979,98129,98871,78033,6260,104389,1028472,408398,"22970,000","3,397","17,780",N
I Q 2023,PLN,212535,12316,18270,14416,6482,18798,1065194,422814,"22970,000","0,628","18,407",N
II Q 2023,PLN,214273,27089,30426,23673,6342,33431,942661,445837,"22970,000","1,031","19,410",N
III Q 2023,PLN,246259,25606,29001,22977,6020,31626,939429,469461,"22970,000","1,000","20,438",N
IV Q 2021,PLN,348713,57548,56140,41110,5735,63283,958957,293054,"22970,000","1,790","12,758",N
I Q 2022,PLN,208386,23032,25240,20277,6062,29094,1019935,313350,"22970,000","0,883","13,642",N
II Q 2022,PLN,253863,50966,56236,44951,5937,56903,995969,288606,"22970,000","1,957","12,564",N
III Q 2022,PLN,269590,48463,51155,40576,5992,54455,909260,329193,"22970,000","1,766","14,331",N
IV Q 2020,PLN,405943,26977,26018,22264,5905,32882,1043716,251585,"22970,000","0,969","10,953",N
I Q 2021,PLN,219542,8575,8056,6512,5698,14273,1024729,258081,"22970,000","0,284","11,236",N
II Q 2021,PLN,271467,18965,17623,13730,4943,23908,1015395,235962,"22970,000","0,598","10,273",N
III Q 2021,PLN,281702,20055,19434,15727,5824,25879,940652,251699,"22970,000","0,685","10,958",N
IV Q 2019,PLN,540534,11662,9209,6999,6547,18209,1283698,223815,"22970,000","0,305","9,744",N
I Q 2020,PLN,248961,9753,9118,7125,5693,15446,1042457,231789,"22970,000","0,310","10,091",N
II Q 2020,PLN,340079,10215,8294,6805,5834,16049,1054700,216911,"22970,000","0,296","9,443",N
III Q 2020,PLN,397220,16684,15395,12355,5368,22052,1093956,229319,"22970,000","0,538","9,983",N
IV Q 2018,PLN,554270,21930,19359,14366,4759,26689,843343,201810,"22970,000","0,625","8,786",N
I Q 2019,PLN,263978,5147,5637,3908,5032,10179,682786,204627,"22970,000","0,170","8,908",N
II Q 2019,PLN,400833,10143,7988,6200,5334,15477,782377,205651,"22970,000","0,270","8,953",N
III Q 2019,PLN,399075,15943,13963,12017,5378,21321,878735,217383,"22970,000","0,523","9,464",N
IV Q 2017,PLN,337249,32918,34347,-13498,3768,36686,790445,182457,"22970,000","-0,588","7,943",N
I Q 2018,PLN,211910,1019,886,-4053,4260,5279,654980,178251,"22970,000","-0,176","7,760",N
II Q 2018,PLN,335194,6582,7319,-1758,3951,10533,709334,174817,"22970,000","-0,077","7,611",N
III Q 2018,PLN,424283,22137,20852,10598,4442,26579,767433,184825,"22970,000","0,461","8,046",N
IV Q 2016,PLN,273051,11009,9122,6342,3786,14795,680857,218924,"22970,000","0,276","9,531",N
I Q 2017,PLN,64346,-3492,-3878,-3290,3824,332,528840,215525,"22970,000","-0,143","9,383",N
II Q 2017,PLN,148572,-6214,-7996,-7868,3672,-2542,560311,197071,"22970,000","-0,343","8,579",N
III Q 2017,PLN,168720,-1991,-2410,-2058,3657,1666,654024,195173,"22970,000","-0,090","8,497",N
IV Q 2015,PLN,390225,9280,7416,5373,3421,12701,675918,223562,"22970,000","0,234","9,733",N
I Q 2016,PLN,146670,3655,4130,3156,3322,6977,579117,226767,"22970,000","0,137","9,872",N
II Q 2016,PLN,189554,845,-422,-570,3735,4580,594519,210474,"22970,000","-0,025","9,163",N
III Q 2016,PLN,160877,2322,1759,1403,3705,6027,568100,212066,"22970,000","0,061","9,232",N
IV Q 2014,PLN,368934,15387,15483,13493,2743,18130,764510,203312,"22970,000","0,587","8,851",N
I Q 2015,PLN,156030,4901,5600,4442,2882,7783,708643,207715,"22970,000","0,193","9,043",N
II Q 2015,PLN,275621,4343,3384,2793,2942,7285,640010,199208,"22970,000","0,122","8,673",N
III Q 2015,PLN,399135,24733,23677,19346,3302,28035,772250,218147,"22970,000","0,842","9,497",N
IV Q 2013,PLN,130575,8797,7650,6864,2622,11419,495221,123008,"15570,000","0,441","7,900",N
I Q 2014,PLN,81759,2097,1360,854,2588,4685,0,0,"15570,000","0,055","0,000",N
II Q 2014,PLN,140795,6615,5568,3990,2582,9197,489238,127864,"15570,000","0,256","8,212",N
III Q 2014,PLN,183911,8548,7942,6672,2601,11149,657097,190700,"22970,000","0,290","8,302",N
IV Q 2011,PLN,0,0,0,0,0,0,353163,113349,"15570,000","0,000","7,280",N
IV Q 2012,PLN,0,0,0,0,0,0,349343,118492,"15570,000","0,000","7,610",N
III Q 2013,PLN,118882,4204,3100,2486,2623,6827,0,0,"15570,000","0,160","0,000",N
