kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,52004,546,1990,1133,3890,4436,237411,144765,"22847,711","0,050","6,336",N
I Q 2023,PLN,51025,1698,2729,2339,4100,5798,242438,147063,"22847,711","0,102","6,437",N
II Q 2023,PLN,51380,278,2745,1986,4193,4471,244688,148457,"22847,711","0,087","6,498",N
III Q 2023,PLN,52084,1963,719,347,4244,6207,244965,139940,"22847,711","0,015","6,125",N
IV Q 2021,PLN,35813,675,732,768,3529,4204,215010,140464,"22847,711","0,034","6,148",N
I Q 2022,PLN,44384,760,511,443,3709,4469,217106,141027,"22847,711","0,019","6,172",N
II Q 2022,PLN,47270,2071,2455,2128,3698,5769,223830,140775,"22847,711","0,093","6,161",N
III Q 2022,PLN,51952,3776,3364,2823,4002,7778,235120,144055,"22847,711","0,124","6,305",N
IV Q 2020,PLN,25164,-24,-807,5444,6044,6020,278586,133160,"22847,711","0,238","5,828",N
I Q 2021,PLN,22772,-684,-2371,27895,5694,5010,206451,161054,"22847,711","1,221","7,049",N
II Q 2021,PLN,28338,-685,-491,-2710,2202,1517,197676,138310,"22847,711","-0,119","6,054",N
III Q 2021,PLN,33349,2246,1870,1441,2738,4984,200882,139751,"22847,711","0,063","6,117",N
IV Q 2019,PLN,-91370,-11446,-11012,3327,6811,-4635,291187,121546,"22847,711","0,146","5,320",N
I Q 2020,PLN,21819,-328,-1362,-858,7216,6888,283297,120689,"22847,711","-0,038","5,282",N
II Q 2020,PLN,24720,2045,2365,5076,7124,9169,282885,125153,"22847,711","0,222","5,478",N
III Q 2020,PLN,28346,2237,1701,4638,6582,8819,283014,129791,"22847,711","0,203","5,681",N
IV Q 2018,PLN,61305,3690,2956,2221,3228,6918,247198,112278,"22847,711","0,097","4,914",N
I Q 2019,PLN,55531,1339,223,4,6167,7506,285568,112282,"22847,711","0,000","4,914",N
II Q 2019,PLN,67176,5659,4722,3852,6533,12192,296942,113409,"22847,711","0,169","4,964",N
III Q 2019,PLN,73064,7452,6138,4840,6539,13991,291387,118250,"22847,711","0,212","5,176",N
IV Q 2017,PLN,56521,3790,3671,2535,2631,6421,244433,111171,"22847,711","0,111","4,866",N
I Q 2018,PLN,49961,512,-1004,-984,2728,3240,238258,110187,"22847,711","-0,043","4,823",N
II Q 2018,PLN,63088,5228,1183,279,2683,7911,247014,105671,"22847,711","0,012","4,625",N
III Q 2018,PLN,65765,6001,5574,4338,2935,8936,253394,110011,"22847,711","0,190","4,815",N
IV Q 2016,PLN,50165,8041,6002,5045,2375,10416,188281,55189,"14347,711","0,352","3,847",N
I Q 2017,PLN,48741,2348,2256,1782,2338,4686,186276,56971,"14347,711","0,124","3,971",N
II Q 2017,PLN,57681,4371,3070,2776,2376,6747,192154,59747,"14347,711","0,193","4,164",N
III Q 2017,PLN,62621,5808,4178,3369,2539,8347,250877,108666,"22847,711","0,147","4,756",N
IV Q 2015,PLN,16638,-393,-582,-554,948,555,57742,23416,"6380,000","-0,087","3,670",N
I Q 2016,PLN,22973,-2419,-2508,-1996,1511,-908,193105,42697,"6380,000","-0,313","6,692",N
II Q 2016,PLN,50427,4287,1811,1343,2823,7110,187537,46595,"14347,711","0,094","3,248",N
III Q 2016,PLN,53048,5504,4879,3932,2634,8138,190776,50811,"14347,711","0,274","3,541",N
IV Q 2014,PLN,15774,944,484,312,1173,2117,59168,23374,"6380,000","0,049","3,664",N
I Q 2015,PLN,12802,198,654,526,1200,1398,60669,23900,"6380,000","0,082","3,746",N
II Q 2015,PLN,15135,907,448,352,1190,2097,59696,23836,"6380,000","0,055","3,736",N
III Q 2015,PLN,18049,354,125,133,1125,1479,59936,23970,"6380,000","0,021","3,757",N
IV Q 2013,PLN,16053,916,985,778,830,1746,51399,20758,"6380,000","0,122","3,254",N
I Q 2014,PLN,12974,259,66,142,907,1166,50353,20900,"6380,000","0,022","3,276",N
II Q 2014,PLN,18008,1377,1257,1090,955,2332,58038,21990,"6380,000","0,171","3,447",N
III Q 2014,PLN,18530,1780,1496,1072,1096,2876,60846,23061,"6380,000","0,168","3,615",N
IV Q 2012,PLN,11442,348,322,321,573,921,36388,17004,"6380,000","0,050","2,665",N
I Q 2013,PLN,8751,322,122,76,589,911,34914,17081,"6380,000","0,012","2,677",N
II Q 2013,PLN,10900,320,40,67,561,881,37016,17147,"6380,000","0,011","2,688",N
III Q 2013,PLN,18533,3265,3339,2888,721,3986,47758,19980,"6380,000","0,453","3,132",N
IV Q 2011,PLN,15194,1889,1804,835,309,2198,26982,10601,"5800,000","0,144","1,828",N
I Q 2012,PLN,11609,677,1150,781,496,1173,33087,11382,"5800,000","0,135","1,962",N
II Q 2012,PLN,13415,674,261,327,555,1229,36360,11709,"5800,000","0,056","2,019",N
III Q 2012,PLN,13044,568,827,654,551,1119,38237,16682,"6380,000","0,103","2,615",N
III Q 2011,PLN,15240,2358,1906,1529,0,2358,0,0,"5800,000","0,264","0,000",N
