kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
III Q 2021,PLN,14246,-12398,-13199,-13863,1605,-10793,177862,-214960,"64600,000","-0,215","-3,328",N
IV Q 2021,PLN,14029,-14372,-20246,-20002,1418,-12954,152992,-235206,"64600,000","-0,310","-3,641",N
I Q 2022,PLN,8653,-2490,200,620,1206,-1284,154045,-235006,"64600,000","0,010","-3,638",N
II Q 2022,PLN,8041,-6796,-17763,-18183,1024,-5772,144591,-252769,"64600,000","-0,281","-3,913",N
III Q 2020,PLN,12071,-4450,1769,1769,2074,-2376,191375,-167571,"64600,000","0,027","-2,594",N
IV Q 2020,PLN,11161,-7709,-19100,-25151,2024,-5685,177953,-192236,"64600,000","-0,389","-2,976",N
I Q 2021,PLN,12000,-4987,-8631,-8211,1576,-3411,185824,-200824,"64600,000","-0,127","-3,109",N
II Q 2021,PLN,20505,-1483,232,232,1623,140,184984,-201760,"64600,000","0,004","-3,123",N
III Q 2019,PLN,20165,-5300,-14501,-11648,2665,-2635,228708,-74020,"64600,000","-0,180","-1,146",N
IV Q 2019,PLN,1805,-38480,-47478,-44694,2521,-35959,204570,-135721,"64600,000","-0,692","-2,101",N
I Q 2020,PLN,10115,-7428,-5162,-5230,2141,-5287,197326,-141630,"64600,000","-0,081","-2,192",N
II Q 2020,PLN,11060,-9164,-27654,-27654,2213,-6951,194852,-169337,"64600,000","-0,428","-2,621",N
III Q 2018,PLN,67243,-23582,-26840,-24007,2790,-20792,447628,75494,"64600,000","-0,372","1,169",N
IV Q 2018,PLN,54155,-88401,-90678,-94236,2869,-85532,285001,-38665,"64600,000","-1,459","-0,599",N
I Q 2019,PLN,43721,-7369,-8394,-8232,2937,-4432,246255,-55403,"64600,000","-0,127","-0,858",N
II Q 2019,PLN,15206,-18361,-21105,-15474,2797,-15564,241212,-60127,"64600,000","-0,240","-0,931",N
III Q 2017,PLN,90298,7049,4925,3742,2598,9647,463102,141728,"59180,000","0,063","2,395",N
IV Q 2017,PLN,46190,-27296,-29427,-21573,2740,-24556,375768,88752,"59180,000","-0,365","1,500",N
I Q 2018,PLN,43510,2486,-1942,-1475,2811,5297,411028,107152,"59180,000","-0,025","1,811",N
II Q 2018,PLN,31653,-23168,-26045,-21161,2791,-20377,482338,85991,"59180,000","-0,358","1,453",N
III Q 2016,PLN,65534,-5926,-1073,-996,2100,-3826,393257,121602,"54180,000","-0,018","2,244",N
IV Q 2016,PLN,140512,10202,25363,23640,2642,12844,413696,111257,"54180,000","0,436","2,053",N
I Q 2017,PLN,72280,6468,4986,3606,2157,8625,501549,147935,"54180,000","0,067","2,730",N
II Q 2017,PLN,68806,-7217,-6537,-4051,2802,-4415,466888,146401,"59180,000","-0,068","2,474",N
III Q 2015,PLN,39114,937,-4127,-3542,1754,2691,278926,100899,"41180,000","-0,086","2,450",N
IV Q 2015,PLN,110300,4638,6561,4046,1980,6618,369398,122163,"54180,000","0,075","2,255",N
I Q 2016,PLN,74355,3301,4597,4651,1961,5262,368173,126814,"54180,000","0,086","2,341",N
II Q 2016,PLN,63948,-2292,-4175,-4345,2039,-253,352621,122599,"54180,000","-0,080","2,263",N
III Q 2014,PLN,65030,4834,3183,3112,1620,6454,275498,89369,"41180,000","0,076","2,170",N
IV Q 2014,PLN,104382,10507,8148,7664,1652,12159,310754,97348,"41180,000","0,186","2,364",N
I Q 2015,PLN,79385,4364,4287,4467,1532,5896,319002,102027,"41180,000","0,108","2,478",N
II Q 2015,PLN,95628,6166,3189,2413,1594,7760,287357,104442,"41180,000","0,059","2,536",N
III Q 2013,PLN,33656,-4475,-4930,-4924,1635,-2840,199886,67643,"26180,000","-0,188","2,584",N
IV Q 2013,PLN,35138,-14175,-14782,-13295,1774,-12401,187982,56613,"26180,000","-0,508","2,162",N
I Q 2014,PLN,32891,2759,2083,2079,0,2759,197226,56429,"26180,000","0,079","2,155",N
II Q 2014,PLN,33901,-246,-1521,-1927,0,-246,225842,54076,"26180,000","-0,074","2,066",N
III Q 2012,PLN,59488,2168,1411,1003,1586,3754,0,0,"22180,000","0,045","0,000",N
IV Q 2012,PLN,47983,-2826,-2855,-1191,1512,-1314,197781,76886,"22180,000","-0,054","3,466",N
I Q 2013,PLN,47619,-209,-1308,-1470,1595,1386,192471,75416,"26180,000","-0,056","2,881",N
II Q 2013,PLN,51630,-1961,-3963,-2783,1599,-362,202156,72569,"26180,000","-0,106","2,772",N
III Q 2011,PLN,41061,867,137,48,1326,2193,0,0,"22180,000","0,002","0,000",N
IV Q 2011,PLN,50849,-3,662,1113,1382,1379,175744,63621,"22180,000","0,050","2,868",N
I Q 2012,PLN,56388,2301,1348,1417,1444,3745,179877,65037,"22180,000","0,064","2,932",N
II Q 2012,PLN,63515,5199,4599,4368,1511,6710,192564,69406,"22180,000","0,197","3,129",N
III Q 2010,PLN,26627,-1531,-1708,-1755,1547,16,0,0,"22180,000","-0,079","0,000",N
IV Q 2010,PLN,27767,10,-476,-1100,1117,1127,138616,62410,"22180,000","-0,050","2,814",N
I Q 2011,PLN,33454,-200,-874,-924,1355,1155,151796,66938,"22180,000","-0,042","3,018",N
II Q 2011,PLN,46995,1683,1055,974,1386,3069,162671,62460,"22180,000","0,044","2,816",N
III Q 2009,PLN,22580,-620,-1326,-1249,1357,737,0,0,"22180,000","-0,056","0,000",N
IV Q 2009,PLN,19443,-2157,-1540,-1575,85,-2072,110969,63670,"22180,000","-0,071","2,871",N
I Q 2010,PLN,30148,1114,340,211,1248,2362,0,0,"22180,000","0,010","0,000",N
II Q 2010,PLN,38292,404,1481,1383,1464,1868,120950,62886,"22180,000","0,062","2,835",N
III Q 2008,PLN,25505,176,495,422,1322,1498,0,0,"22180,000","0,019","0,000",N
IV Q 2008,PLN,22987,-6703,-7380,-5976,1301,-5402,112574,57573,"22180,000","-0,269","2,596",N
I Q 2009,PLN,32005,3331,1530,1086,1242,4573,112645,58659,"22180,000","0,049","2,645",N
II Q 2009,PLN,33118,2651,2459,2103,1419,4070,104227,60762,"22180,000","0,095","2,739",N
III Q 2007,PLN,25256,2031,1924,1609,1231,3262,0,0,"14680,000","0,110","0,000",N
IV Q 2007,PLN,28372,2717,1320,950,1254,3971,94731,36634,"14680,000","0,065","2,496",N
I Q 2008,PLN,34009,1964,1328,1118,1251,3215,112873,65328,"22180,000","0,050","2,945",N
II Q 2008,PLN,38809,2342,234,253,1337,3679,120147,62271,"22180,000","0,011","2,808",N
IV Q 2005,PLN,0,0,0,0,0,0,44155,19132,"14680,000","0,000","1,303",N
IV Q 2006,PLN,26779,665,2295,2327,0,665,69960,30378,"14680,000","0,159","2,069",N
I Q 2007,PLN,28355,750,801,641,1258,2008,0,0,"14680,000","0,044","0,000",N
II Q 2007,PLN,30506,3161,2622,2231,1078,4239,0,0,"14680,000","0,152","0,000",N
IV Q 2004,PLN,0,0,0,0,0,0,17488,2225,"14680,000","0,000","0,152",N
