kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2020,PLN,6235,416,104,85,1143,1559,43454,21480,"32285,770","0,003","0,665",N
I Q 2021,PLN,5713,-255,-273,-273,1457,1202,40424,21207,"32285,770","-0,008","0,657",N
II Q 2021,PLN,5048,-1232,-1492,-1492,1594,362,36901,19715,"32285,770","-0,046","0,611",N
III Q 2021,PLN,7015,-63,-87,-87,1457,1394,36327,19628,"32285,770","-0,003","0,608",N
IV Q 2019,PLN,6340,1335,956,844,1227,2562,39337,16395,"29743,396","0,028","0,551",N
I Q 2020,PLN,6372,1087,1027,1008,1137,2224,40998,17403,"29743,396","0,034","0,585",N
II Q 2020,PLN,10068,1187,894,878,963,2150,44141,18281,"29743,396","0,030","0,615",N
III Q 2020,PLN,7783,303,139,122,1153,1456,43310,21404,"32285,770","0,004","0,663",N
IV Q 2018,PLN,4768,-679,-910,-901,1913,1234,34686,15693,"29743,396","-0,030","0,528",N
I Q 2019,PLN,4152,-420,-664,-665,1380,960,35763,15026,"29743,396","-0,022","0,505",N
II Q 2019,PLN,4184,69,-244,-317,991,1060,36911,14845,"29743,396","-0,011","0,499",N
III Q 2019,PLN,5023,777,579,569,1263,2040,38343,15415,"29743,396","0,019","0,518",N
IV Q 2017,PLN,3817,-141,-630,-6544,1084,943,38552,18012,"28268,715","-0,231","0,637",N
I Q 2018,PLN,3359,-1357,-1687,-1748,1128,-229,39024,18726,"28268,715","-0,062","0,662",N
II Q 2018,PLN,4444,-1168,-1230,-1238,1506,338,38108,18003,"28268,715","-0,044","0,637",N
III Q 2018,PLN,4915,-1223,-1561,-1561,1773,550,35733,16860,"29743,396","-0,052","0,567",N
IV Q 2016,PLN,3861,408,494,1845,357,765,41437,24587,"27945,465","0,066","0,880",N
I Q 2017,PLN,4459,-1291,-1446,-1945,996,-295,40013,23052,"28268,715","-0,069","0,815",N
II Q 2017,PLN,5003,2058,1330,1083,1044,3102,47503,21851,"28268,715","0,038","0,773",N
III Q 2017,PLN,4376,172,-322,-846,1092,1264,46029,21317,"28268,715","-0,030","0,754",N
IV Q 2015,PLN,4593,-1086,-1090,-1259,984,-102,39572,20817,"27945,465","-0,045","0,745",N
I Q 2016,PLN,6633,3234,3157,2762,1318,4552,37697,23808,"27945,465","0,099","0,852",N
II Q 2016,PLN,6843,2816,2465,1894,1231,4047,38195,23296,"27945,465","0,068","0,834",N
III Q 2016,PLN,5416,-408,-453,-870,1113,705,36470,22426,"27945,465","-0,031","0,802",N
IV Q 2014,PLN,4611,-557,-562,-1208,11473,10916,14037,3588,"25300,000","-0,048","0,142",N
I Q 2015,PLN,4924,931,911,716,796,1727,16014,4366,"25596,465","0,028","0,171",N
II Q 2015,PLN,3133,113,-81,-345,147,260,17694,4112,"25596,465","-0,013","0,161",N
III Q 2015,PLN,4666,-285,-223,8471,256,-29,48865,22095,"27596,465","0,307","0,801",N
III Q 2014,PLN,3946,851,776,763,178,1029,10842,7460,"25300,000","0,030","0,295",N
