kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,136712,34560,36037,28960,6179,40739,330051,214364,"18290,470","1,583","11,720",N
I Q 2023,PLN,96340,12454,13046,10062,7017,19471,326632,225182,"18290,470","0,550","12,311",N
II Q 2023,PLN,110401,15783,17778,13181,7104,22887,341959,177798,"18360,402","0,718","9,684",N
III Q 2023,PLN,128067,23656,19819,17391,6826,30482,341462,195488,"18360,402","0,947","10,647",N
IV Q 2021,PLN,106025,27773,26976,21797,5831,33604,334520,205814,"18253,990","1,194","11,275",N
I Q 2022,PLN,64292,6375,6421,4949,6096,12471,305492,210715,"18253,990","0,271","11,544",N
II Q 2022,PLN,86764,17458,13542,11118,6257,23715,307566,165708,"18290,470","0,608","9,060",N
III Q 2022,PLN,118151,29335,22418,17859,6820,36155,340691,184297,"18290,470","0,976","10,076",N
IV Q 2020,PLN,76061,16019,15901,12979,5927,21946,276619,163414,"18223,001","0,712","8,967",N
I Q 2021,PLN,38294,460,-570,-460,6690,7150,285660,162971,"18223,001","-0,025","8,943",N
II Q 2021,PLN,53498,6981,9177,7351,6234,13215,286261,170470,"18223,001","0,403","9,355",N
III Q 2021,PLN,79924,18434,16592,13550,6393,24827,296058,183933,"18253,990","0,742","10,076",N
IV Q 2019,PLN,103696,20024,25004,22621,7471,27495,259393,149885,"18178,772","1,244","8,245",N
I Q 2020,PLN,44808,-62,-3129,-2584,6691,6629,269482,147682,"18178,772","-0,142","8,124",N
II Q 2020,PLN,32664,-3090,-1752,-1382,7275,4185,272747,146451,"18223,001","-0,076","8,037",N
III Q 2020,PLN,57507,5571,5343,4255,5871,11442,286909,150836,"18223,001","0,233","8,277",N
IV Q 2018,PLN,82982,15686,15653,12714,2133,17819,194685,135088,"18150,522","0,700","7,443",N
I Q 2019,PLN,50943,3402,2903,2262,6006,9408,246511,137409,"18150,522","0,125","7,571",N
II Q 2019,PLN,55879,3644,3850,3306,6591,10235,264277,122545,"18178,772","0,182","6,741",N
III Q 2019,PLN,74018,9456,4880,3844,5907,15363,283778,126692,"18178,772","0,211","6,969",N
IV Q 2017,PLN,85874,20602,19347,15834,1532,22134,175733,119138,"18123,057","0,874","6,574",N
I Q 2018,PLN,43265,3670,3241,2678,1754,5424,169899,121923,"18123,057","0,148","6,728",N
II Q 2018,PLN,48314,5460,6262,4914,1743,7203,193109,111713,"18123,057","0,271","6,164",N
III Q 2018,PLN,70526,13250,13074,10697,1819,15069,220602,122553,"18150,522","0,589","6,752",N
IV Q 2016,PLN,68349,13634,13233,10895,1346,14980,184389,111928,"18100,000","0,602","6,184",N
I Q 2017,PLN,36640,2772,1363,-1461,1302,4074,179605,110578,"18100,000","-0,081","6,109",N
II Q 2017,PLN,39014,3628,1465,1676,1257,4885,157227,97315,"18100,000","0,093","5,377",N
III Q 2017,PLN,53477,7754,7491,5819,1346,9100,175054,103093,"18123,057","0,321","5,688",N
IV Q 2015,PLN,53524,14507,14391,12260,1168,15675,187550,102926,"18100,000","0,677","5,687",N
I Q 2016,PLN,30277,3259,2256,1854,1357,4616,183694,104937,"18100,000","0,102","5,798",N
II Q 2016,PLN,32337,3646,5542,4828,1122,4768,173587,97960,"18100,000","0,267","5,412",N
III Q 2016,PLN,39317,4624,3891,2764,1116,5740,156537,100893,"18100,000","0,153","5,574",N
IV Q 2014,PLN,48252,14403,13311,12579,860,15263,152397,54447,"144647,140","0,087","0,376",N
I Q 2015,PLN,26266,2650,2380,1995,982,3632,121063,59453,"16500,000","0,121","3,603",N
II Q 2015,PLN,28982,4900,4965,6358,1025,5925,137167,58086,"16500,000","0,385","3,520",N
III Q 2015,PLN,42874,8810,8468,6498,1094,9904,145757,64584,"16500,000","0,394","3,914",N
IV Q 2012,PLN,0,0,0,0,0,0,111132,3543,"104005,000","0,000","0,034",N
IV Q 2013,PLN,0,0,0,0,0,0,113491,27691,"144647,140","0,000","0,191",N
II Q 2014,PLN,0,0,0,0,0,0,120848,36582,"144647,140","0,000","0,253",N
III Q 2014,PLN,38962,8724,7821,5975,1088,9812,134612,42558,"144647,140","0,041","0,294",N
IV Q 2009,PLN,0,0,0,0,0,0,69240,27090,"104005,000","0,000","0,260",N
I Q 2010,PLN,10843,-977,-1511,-1511,999,22,70785,25641,"104005,000","-0,015","0,247",N
IV Q 2010,PLN,0,0,0,0,0,0,119231,31244,"104005,000","0,000","0,300",N
I Q 2011,PLN,12966,-4600,-6109,-6109,1792,-2808,110352,25171,"104005,000","-0,059","0,242",N
 Q 0000,PLN,0,0,0,0,0,0,0,0,,,,N
IV Q 2008,,0,0,0,0,0,0,82900,21676,"104005,000","0,000","0,208",N
