kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,4299,240,-10,-9,304,544,17509,3975,"2029,222","-0,004","1,959",N
I Q 2023,PLN,3580,-178,-289,-290,270,92,19202,3685,"2029,222","-0,143","1,816",N
II Q 2023,PLN,3308,-1328,-1452,-1456,403,-925,18304,2223,"2029,222","-0,718","1,095",N
III Q 2023,PLN,3939,-931,-843,-843,563,-368,51732,35963,"2304,222","-0,366","15,607",N
IV Q 2021,PLN,3450,54,-93,-89,315,369,12546,4983,"2029,222","-0,044","2,456",N
I Q 2022,PLN,1619,-2637,-2633,-2634,241,-2396,11573,3499,"2029,222","-1,298","1,724",N
II Q 2022,PLN,3167,-40,-71,-90,192,152,12022,3414,"2029,222","-0,044","1,682",N
III Q 2022,PLN,3732,634,596,596,267,901,13687,4017,"2029,222","0,294","1,980",N
IV Q 2020,PLN,193,-2082,-2155,-2151,64,-2018,15027,10386,"2029,222","-1,060","5,118",N
I Q 2021,PLN,689,-2350,-2250,-2251,67,-2283,14263,9014,"2029,222","-1,109","4,442",N
II Q 2021,PLN,59,-2119,-2398,-2401,87,-2032,12929,6883,"2029,222","-1,183","3,392",N
III Q 2021,PLN,504,-1905,-1833,-1833,116,-1789,11612,4961,"2029,222","-0,903","2,445",N
IV Q 2019,PLN,470,-4204,-4297,-4332,152,-4052,8838,6907,"1904,222","-2,275","3,627",N
I Q 2020,PLN,932,-3656,-3449,-3450,129,-3527,7145,5244,"1904,222","-1,812","2,754",N
II Q 2020,PLN,4,-1916,-2022,-2022,128,-1788,14234,12569,"1904,222","-1,062","6,601",N
III Q 2020,PLN,1165,-875,-953,-956,80,-795,16911,11626,"2029,222","-0,471","5,729",N
IV Q 2018,PLN,564,-2520,-2529,-2516,182,-2338,9969,8937,"0,000",,,N
I Q 2019,PLN,215,-3326,-3322,-2943,179,-3147,6601,5101,"0,000",,,N
II Q 2019,PLN,1377,-13580,-13638,-13639,107,-13473,5253,3086,"0,000",,,N
III Q 2019,PLN,1,-2981,-2868,-2883,152,-2829,10980,9700,"1904,222","-1,514","5,094",N
I Q 2018,PLN,780,-863,-841,-841,116,-747,7276,6376,"1,784","-471,413","3573,991",N
