kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,65181,315,-684,-1764,1479,1794,227093,121425,"123573,333","-0,014","0,983",N
I Q 2023,PLN,64992,4315,5194,4254,1394,5709,222914,125978,"123573,333","0,034","1,019",N
II Q 2023,PLN,56751,1688,4540,2285,1338,3026,217803,129299,"123573,333","0,018","1,046",N
III Q 2023,PLN,59445,9830,11892,9201,1384,11214,240938,136525,"123573,333","0,074","1,105",N
IV Q 2021,PLN,44503,1970,1121,658,1642,3612,187153,124125,"123573,333","0,005","1,004",N
I Q 2022,PLN,54003,622,7,6,1601,2223,215747,124136,"123573,333","0,000","1,005",N
II Q 2022,PLN,63596,-7699,-8169,-6597,1655,-6044,233562,117571,"123573,333","-0,053","0,951",N
III Q 2022,PLN,70733,6424,6343,5020,1485,7909,239857,122801,"123573,333","0,041","0,994",N
IV Q 2020,PLN,37098,1261,932,1314,2129,3390,181680,124029,"123573,333","0,011","1,004",N
I Q 2021,PLN,35665,379,6,2,1669,2048,188892,123790,"123573,333","0,000","1,002",N
II Q 2021,PLN,39028,-535,-882,-314,1647,1112,191182,123874,"123573,333","-0,003","1,002",N
III Q 2021,PLN,44055,275,46,-286,1639,1914,201138,123397,"123573,333","-0,002","0,999",N
IV Q 2019,PLN,50383,-19910,-20139,-16271,2350,-17560,200717,114721,"123573,333","-0,132","0,928",N
I Q 2020,PLN,51396,4788,4956,3894,2176,6964,212797,117583,"123573,333","0,032","0,952",N
II Q 2020,PLN,43062,3891,3313,2469,2169,6060,190704,120495,"123573,333","0,020","0,975",N
III Q 2020,PLN,39043,2834,2680,2189,2151,4985,187959,122595,"123573,333","0,018","0,992",N
IV Q 2018,PLN,50174,3399,2910,2674,2270,5669,206826,120332,"123573,333","0,022","0,974",N
I Q 2019,PLN,44244,2578,2502,1344,2320,4898,202914,121676,"123573,333","0,011","0,985",N
II Q 2019,PLN,53105,6355,6461,5210,2442,8797,208748,127065,"123573,333","0,042","1,028",N
III Q 2019,PLN,55679,6332,5360,3718,2450,8782,217539,130532,"123573,333","0,030","1,056",N
