kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2022,PLN,701258,6344,-2283,-2039,47111,53455,2812551,243176,"10271,337","-0,199","23,675",N
II Q 2022,PLN,1206299,105483,110622,91121,48367,153850,3047007,275831,"10271,337","8,871","26,854",N
III Q 2022,PLN,1102166,56879,23613,19436,49109,105988,2798521,287319,"10271,337","1,892","27,973",N
IV Q 2022,PLN,851827,11094,1644,2222,50504,61598,2609050,291413,"10271,337","0,216","28,371",N
I Q 2021,PLN,686884,29902,21676,17335,45995,75897,2680430,187804,"10271,337","1,688","18,284",N
II Q 2021,PLN,1056751,262464,308593,255008,46141,308605,3105298,277929,"10271,337","24,827","27,059",N
III Q 2021,PLN,989920,102330,121036,107527,45405,147735,2717483,390533,"10271,337","10,469","38,022",N
IV Q 2021,PLN,733730,44765,35873,26710,51427,96192,2581866,205820,"10271,337","2,600","20,038",N
I Q 2020,PLN,770100,-20238,-42776,-34894,50104,29866,2754770,41087,"10271,337","-3,397","4,000",N
II Q 2020,PLN,1072081,118699,106367,84810,48915,167614,3090761,131518,"10271,337","8,257","12,804",N
III Q 2020,PLN,1144575,158444,146885,118446,46277,204721,2929496,256630,"10271,337","11,532","24,985",N
IV Q 2020,PLN,766266,86000,80245,64311,46456,132456,2586194,162223,"10271,337","6,261","15,794",N
I Q 2019,PLN,606693,12477,8888,6493,39008,51485,2199151,321064,"10271,337","0,632","31,258",N
II Q 2019,PLN,1122466,118363,113174,91081,47351,165714,3045060,100307,"10271,337","8,867","9,766",N
III Q 2019,PLN,1076913,153145,137129,109633,47711,200856,2755576,211144,"10271,337","10,674","20,557",N
IV Q 2019,PLN,763730,40900,37804,26938,50885,91785,2581910,86836,"10271,337","2,623","8,454",N
I Q 2018,PLN,604448,12894,6118,4511,38342,51236,1837279,147350,"10271,337","0,439","14,346",N
II Q 2018,PLN,1037507,162988,149113,119297,36718,199706,2166719,118406,"10271,337","11,615","11,528",N
III Q 2018,PLN,958907,142165,144735,116781,36628,178793,1954840,233342,"10271,337","11,370","22,718",N
IV Q 2018,PLN,722891,97276,101070,83507,37024,134300,1856751,309735,"10271,337","8,130","30,155",N
I Q 2017,PLN,618358,39432,35220,27907,36664,76096,1851052,222121,"10271,337","2,717","21,625",N
II Q 2017,PLN,966138,134111,132706,106875,37368,171479,2093535,136940,"10271,337","10,405","13,332",N
III Q 2017,PLN,940480,126019,121600,97993,38266,164285,1985758,236078,"10271,337","9,540","22,984",N
IV Q 2017,PLN,640286,34347,32028,25775,37363,71710,1843865,149498,"10271,337","2,509","14,555",N
I Q 2016,PLN,493841,43399,72163,59828,38293,81692,2036360,321894,"10271,337","5,825","31,339",N
II Q 2016,PLN,768582,127490,120742,70163,37554,165044,2306901,157664,"10271,337","6,831","15,350",N
III Q 2016,PLN,691140,118349,120175,82455,38600,156949,2103923,127482,"10271,337","8,028","12,411",N
IV Q 2016,PLN,439042,38640,31817,60127,36975,75615,1879315,189047,"10271,337","5,854","18,405",N
I Q 2015,PLN,602493,-1619,-5184,-4114,68108,66489,2245137,288378,"10271,337","-0,401","28,076",N
II Q 2015,PLN,887009,114216,108431,91627,30951,145167,2409937,174578,"10271,337","8,921","16,997",N
III Q 2015,PLN,949882,181364,176080,135984,45405,226769,2303923,187306,"10271,337","13,239","18,236",N
IV Q 2015,PLN,692630,-10373,-17196,74634,45348,34975,2062672,261940,"10271,337","7,266","25,502",N
I Q 2014,PLN,634085,-42446,-53599,-42162,53769,11323,2307859,275840,"10271,337","-4,105","26,855",N
II Q 2014,PLN,909775,97955,90298,69944,51273,149228,2383066,212257,"10271,337","6,810","20,665",N
III Q 2014,PLN,894050,121911,115908,88890,50242,172153,2152766,301147,"10271,337","8,654","29,319",N
IV Q 2014,PLN,655259,-36049,-46213,42702,57653,21604,2269463,292492,"10271,337","4,157","28,477",N
I Q 2013,PLN,685829,-11784,-23309,-20181,48210,36426,2322284,355144,"10271,337","-1,965","34,576",N
II Q 2013,PLN,1000240,128566,115627,94060,48758,177324,2427213,171878,"10271,337","9,158","16,734",N
III Q 2013,PLN,1010039,125030,118278,93099,48572,173602,2257748,213620,"10271,337","9,064","20,798",N
IV Q 2013,PLN,761252,31459,25576,104382,48120,79579,2815760,318002,"10271,337","10,162","30,960",N
I Q 2012,PLN,717691,6562,-5152,-4582,47516,54078,2312505,348099,"10271,337","-0,446","33,890",N
II Q 2012,PLN,1031563,110523,95481,73029,47795,158318,2500194,174616,"10271,337","7,110","17,000",N
III Q 2012,PLN,987706,195202,181345,145085,48538,243740,2318147,319701,"10271,337","14,125","31,126",N
IV Q 2012,PLN,828716,58617,45888,96709,47843,106460,2389922,375325,"10271,337","9,415","36,541",N
I Q 2011,PLN,717141,5054,-3905,-4861,48469,53523,2188932,584052,"10271,337","-0,473","56,862",N
II Q 2011,PLN,1027369,154206,142221,114127,48336,202542,2370994,235969,"10271,337","11,111","22,974",N
III Q 2011,PLN,1003074,175031,160596,128762,46767,221798,2222212,272288,"10271,337","12,536","26,509",N
IV Q 2011,PLN,858354,40172,27400,80393,46742,86914,2272522,352681,"10271,337","7,827","34,336",N
I Q 2010,PLN,732188,40476,34114,26312,52670,93146,2374089,729934,"10271,337","2,562","71,065",N
II Q 2010,PLN,997254,174760,164755,132435,50909,225669,2478862,554229,"10271,337","12,894","53,959",N
III Q 2010,PLN,1064135,216402,207080,166721,49108,265510,2265182,515523,"10271,337","16,232","50,190",N
IV Q 2010,PLN,837512,29481,18909,73390,48499,77980,2309190,588913,"10271,337","7,145","57,336",N
I Q 2009,PLN,676369,31775,12703,9456,66983,98758,2563401,733953,"10436,205","0,906","70,328",N
II Q 2009,PLN,1106281,156355,150466,120804,59999,216354,2721866,649098,"10271,337","11,761","63,195",N
III Q 2009,PLN,1106574,201089,197138,158133,61456,262545,2506092,622339,"10271,337","15,396","60,590",N
IV Q 2009,PLN,840767,42186,20801,81165,59408,101594,2710717,703596,"10271,337","7,902","68,501",N
I Q 2008,PLN,736990,72425,62233,52263,62920,135345,2564892,840249,"10742,939","4,865","78,214",N
II Q 2008,PLN,1106941,205025,196597,156727,65105,270130,2879735,613289,"10436,205","15,018","58,766",N
III Q 2008,PLN,1125591,234898,217470,174128,65604,300502,2727022,790801,"10436,205","16,685","75,775",N
IV Q 2008,PLN,840838,65904,43621,32637,67770,133674,2583383,724505,"10436,205","3,127","69,422",N
I Q 2007,PLN,688709,73809,66664,53553,67377,141186,2388831,955197,"11335,454","4,724","84,266",N
II Q 2007,PLN,1020285,223464,213745,174056,67273,290737,2577388,798138,"10742,939","16,202","74,294",N
III Q 2007,PLN,1008150,206101,198991,159336,66204,272305,2453949,982027,"10742,939","14,832","91,411",N
IV Q 2007,PLN,796672,58133,45677,31695,64571,122704,2439097,786349,"10742,939","2,950","73,197",N
I Q 2006,PLN,565917,40011,35093,26614,63118,103129,2377768,1233662,"11335,454","2,348","108,832",N
II Q 2006,PLN,870319,159165,152970,116001,63786,222951,2632368,1034200,"11335,454","10,233","91,236",N
III Q 2006,PLN,967024,228256,220009,177360,64951,293207,2508617,1187858,"11335,454","15,646","104,791",N
IV Q 2006,PLN,763133,23468,16135,9623,68130,91598,2331430,902952,"11335,454","0,849","79,657",N
I Q 2005,PLN,548333,52664,41366,-32954,59701,112365,2345099,1249762,"11335,454","-2,907","110,252",N
II Q 2005,PLN,801276,143915,136305,109246,61346,205261,2571619,1015073,"11335,454","9,638","89,549",N
III Q 2005,PLN,862046,1544099,1556563,146554,62882,1606981,2441655,1156915,"11335,454","12,929","102,062",N
IV Q 2005,PLN,651255,63878,56845,44227,64627,128505,2380309,1199942,"11335,454","3,902","105,857",N
I Q 2004,PLN,525972,59286,54767,43905,48805,108091,2293610,1201515,"11335,454","3,873","105,996",N
II Q 2004,PLN,795062,112614,106204,90868,55513,168127,2534711,1061221,"11335,454","8,016","93,620",N
III Q 2004,PLN,1098049,160342,148944,124323,54210,214552,2247070,1134332,"11335,454","10,968","100,069",N
IV Q 2004,PLN,628158,39856,28306,24814,54831,94687,2295398,1210490,"11335,454","2,189","106,788",N
I Q 2003,PLN,558922,26497,20632,10555,54362,80859,2016619,1138259,"11335,454","0,931","100,416",N
II Q 2003,PLN,927225,131111,117091,90025,56494,187605,2169979,1001197,"11335,454","7,942","88,324",N
III Q 2003,PLN,991358,144078,139039,107880,58852,202930,2056390,1111814,"11335,454","9,517","98,083",N
IV Q 2003,PLN,726518,-12130,-19221,-2242,53020,40890,2032546,1105856,"11335,454","-0,198","97,557",N
I Q 2002,PLN,559201,19629,2655,-635,49900,69529,1954476,1030233,"11335,454","-0,056","90,886",N
II Q 2002,PLN,880372,116218,99057,81603,52493,168711,2098317,1120753,"11335,454","7,199","98,871",N
III Q 2002,PLN,908193,115970,104286,87030,59932,175902,1991608,1210413,"11335,454","7,678","106,781",N
IV Q 2002,PLN,608772,-94784,-103410,-89406,54415,-40369,1893856,1121861,"11335,454","-7,887","98,969",N
I Q 2001,PLN,491014,13933,-34316,-32068,46025,59958,1899364,488830,"0,000",,,N
II Q 2001,PLN,765139,21756,-21762,-16508,52523,74279,2124285,453793,"0,000",,,N
III Q 2001,PLN,776213,56581,4545,-3177,60178,116759,1998869,450616,"0,000",,,N
IV Q 2001,PLN,597649,-27567,-56162,-53531,50033,22466,1957683,1051585,"11335,454","-4,722","92,770",N
II Q 1999,PLN,0,0,0,0,0,0,2011338,619343,"0,000",,,N
IV Q 1999,PLN,0,0,0,0,0,0,1934435,699542,"0,000",,,N
II Q 2000,PLN,0,0,0,0,0,0,2214125,619294,"0,000",,,N
IV Q 2000,PLN,0,0,0,0,0,0,1889669,520898,"0,000",,,N
 Q 0000,PLN,797663,31813,20300,18282,3748,35561,2119248,1153418,"11335,454","1,613","101,753",N
II Q 1998,PLN,0,0,0,0,0,0,486793,313786,"0,000",,,N
IV Q 1998,,0,0,0,0,0,0,1755951,-944822,"0,000",,,N
