kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,1876,-457,4,597,177,-280,33432,25099,"13921,975","0,043","1,803",N
I Q 2023,PLN,1529,-750,-547,-632,209,-541,33237,24467,"13921,975","-0,045","1,757",N
II Q 2023,PLN,1376,88226,88417,71693,231,88457,222728,96160,"13921,975","5,150","6,907",N
III Q 2023,PLN,1983,-1865,-779,-588,233,-1632,119963,95572,"13921,975","-0,042","6,865",N
IV Q 2021,PLN,2130,379,523,247,222,601,37665,28364,"13921,975","0,018","2,037",N
I Q 2022,PLN,1362,-594,-457,-301,214,-380,36662,28026,"13921,975","-0,022","2,013",N
II Q 2022,PLN,1455,-782,-604,-451,207,-575,36186,27571,"13921,975","-0,032","1,980",N
III Q 2022,PLN,1591,-602,-538,-430,226,-376,36673,27141,"13921,975","-0,031","1,950",N
IV Q 2020,PLN,4130,2832,2966,938,216,3048,33193,24992,"13921,975","0,067","1,795",N
I Q 2021,PLN,1223,-704,-573,-579,220,-484,32900,24413,"13921,975","-0,042","1,754",N
II Q 2021,PLN,1221,1269,1763,1025,211,1480,33632,25438,"13921,975","0,074","1,827",N
III Q 2021,PLN,1369,404,550,499,211,615,36698,27936,"13921,975","0,036","2,007",N
IV Q 2019,PLN,1298,-87,563,420,189,102,29489,20827,"13921,975","0,030","1,496",N
I Q 2020,PLN,1177,3343,3393,2486,218,3561,31220,23313,"13921,975","0,179","1,675",N
II Q 2020,PLN,1107,-151,-140,153,222,71,31862,23466,"13921,975","0,011","1,686",N
III Q 2020,PLN,1360,244,531,247,219,463,31521,23713,"13921,975","0,018","1,703",N
IV Q 2018,PLN,2005,-350,-5321,-4417,321,-29,28645,19500,"13921,975","-0,317","1,401",N
I Q 2019,PLN,1493,18,-19,6,144,162,27930,19506,"13921,975","0,000","1,401",N
II Q 2019,PLN,1126,615,672,547,154,769,27852,20057,"13921,975","0,039","1,441",N
III Q 2019,PLN,1228,652,979,628,115,767,28733,20684,"13921,975","0,045","1,486",N
IV Q 2017,PLN,1956,-493,2531,2525,370,-123,33495,25388,"13921,975","0,181","1,824",N
I Q 2018,PLN,1714,-120,156,142,325,205,33802,25582,"13921,975","0,010","1,838",N
II Q 2018,PLN,1337,-697,-670,-551,269,-428,32693,24304,"13921,975","-0,040","1,746",N
III Q 2018,PLN,1389,-147,-57,-43,277,130,32786,24055,"13921,975","-0,003","1,728",N
IV Q 2016,PLN,323,-1102,-24448,-24285,165,-937,28651,23251,"13921,975","-1,744","1,670",N
I Q 2017,PLN,137,-423,-501,-399,134,-289,27845,22852,"13921,975","-0,029","1,641",N
II Q 2017,PLN,134,-358,-280,-263,110,-248,26530,22589,"13921,975","-0,019","1,623",N
III Q 2017,PLN,123,-306,-254,-194,84,-222,26116,22395,"13921,975","-0,014","1,609",N
IV Q 2015,PLN,461,-1402,-4403,-3994,164,-1238,56681,51439,"13921,975","-0,287","3,695",N
I Q 2016,PLN,2786,-1005,-1349,-1188,162,-843,55740,50268,"13921,975","-0,085","3,611",N
II Q 2016,PLN,296,-979,-1717,-1544,164,-815,53363,48109,"13921,975","-0,111","3,456",N
III Q 2016,PLN,292,-816,301,122,163,-653,53405,47536,"13921,975","0,009","3,414",N
