kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,3540746,61268,40105,31873,6372,67640,3409959,1303169,"16187,644","1,969","80,504",N
II Q 2023,PLN,3089157,48171,34412,27207,6285,54456,3409907,1293706,"16187,644","1,681","79,919",N
III Q 2023,PLN,4005906,67694,42693,33287,6027,73721,4246556,1301658,"16187,644","2,056","80,411",N
IV Q 2023,PLN,4890092,104311,85828,69488,5865,110176,4224608,1341317,"16187,644","4,293","82,861",N
I Q 2022,PLN,3328313,46404,40099,30700,4636,51040,3480883,1131312,"16187,644","1,897","69,887",N
II Q 2022,PLN,3197983,45292,38870,30122,5379,50671,3422484,1143839,"16187,644","1,861","70,661",N
III Q 2022,PLN,3793290,52512,38951,31094,6106,58618,4093559,1182977,"16187,644","1,921","73,079",N
IV Q 2022,PLN,4796520,108382,84451,67879,6212,114594,3886812,1257687,"16187,644","4,193","77,694",N
I Q 2021,PLN,2985405,36168,30727,25467,4261,40429,2919385,956425,"16187,644","1,573","59,084",N
II Q 2021,PLN,2963665,34955,31721,26299,4370,39325,2688334,992550,"16187,644","1,625","61,315",N
III Q 2021,PLN,3105361,35642,31673,24913,4400,40042,3059836,1019351,"16187,644","1,539","62,971",N
IV Q 2021,PLN,4399168,85120,78542,65377,4529,89649,3498612,1089579,"16187,644","4,039","67,309",N
I Q 2020,PLN,2299692,19884,15877,12138,3898,23782,2388330,808254,"16187,644","0,750","49,930",N
II Q 2020,PLN,2493875,20222,21778,15801,3990,24212,2614496,850251,"16187,644","0,976","52,525",N
III Q 2020,PLN,2881628,28962,23267,19092,4081,33043,2658217,860707,"16187,644","1,179","53,171",N
IV Q 2020,PLN,4243612,65750,65375,52862,4290,70040,3023045,930436,"16187,644","3,266","57,478",N
I Q 2019,PLN,1878380,16892,13311,10269,2214,19106,2105742,771168,"16187,644","0,634","47,639",N
II Q 2019,PLN,2069919,18293,14773,12198,3251,21544,2073912,790204,"16187,644","0,754","48,815",N
III Q 2019,PLN,2162323,19950,14624,11731,3947,23897,2353180,798061,"16187,644","0,725","49,301",N
IV Q 2019,PLN,3250987,35486,33423,26713,3951,39437,2606852,828589,"16187,644","1,650","51,187",N
I Q 2018,PLN,1806770,18305,13128,10203,3302,21607,1864952,714745,"16187,644","0,630","44,154",N
II Q 2018,PLN,1783980,22564,15621,12127,3290,25854,1962359,718820,"16187,644","0,749","44,405",N
III Q 2018,PLN,1871273,17434,14428,11605,3214,20648,2210458,738089,"16187,644","0,717","45,596",N
IV Q 2018,PLN,2973755,32621,29180,23703,3322,35943,2359010,764295,"16187,644","1,464","47,215",N
I Q 2017,PLN,1854937,20783,17285,13158,3556,24339,1911109,639902,"16187,644","0,813","39,530",N
II Q 2017,PLN,1980320,19605,16354,12785,3536,23141,1872212,663751,"16187,644","0,790","41,004",N
III Q 2017,PLN,1859233,21134,15745,12832,3433,24567,2116833,676126,"16187,644","0,793","41,768",N
IV Q 2017,PLN,2786580,36027,32008,25790,3416,39443,2310468,704766,"16187,644","1,593","43,537",N
I Q 2016,PLN,1706813,21014,16151,12391,3790,24804,1818534,572507,"16187,644","0,765","35,367",N
II Q 2016,PLN,1986798,21886,19385,14077,3764,25650,1839276,584418,"16187,644","0,870","36,103",N
