kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,3215,-20244,-19967,-21517,1699,-18545,13801,-16073,"59999,388","-0,359","-0,268",N
I Q 2023,PLN,1917,-1781,-2422,-2661,518,-1263,14224,-18734,"59999,388","-0,044","-0,312",N
II Q 2023,PLN,1033,-1421,-1009,-1849,563,-858,17648,-18436,"59999,388","-0,031","-0,307",N
III Q 2023,PLN,573,-660,-1257,-1287,373,-287,17419,-12490,"59999,388","-0,021","-0,208",N
IV Q 2021,PLN,8302,-3504,-3987,-1258,4332,828,51319,17435,"59999,388","-0,021","0,291",N
I Q 2022,PLN,4885,-4823,-5051,-3494,4342,-481,47546,13941,"59999,388","-0,058","0,232",N
II Q 2022,PLN,3518,-9342,-9902,-9353,3203,-6139,39628,4588,"59999,388","-0,156","0,076",N
III Q 2022,PLN,2636,-5864,-6293,-6177,2692,-3172,34443,5112,"59999,388","-0,103","0,085",N
II Q 2014,PLN,161434,213,112,87,44,257,22184,18356,"4308,200","0,020","4,261",N
III Q 2014,PLN,136435,180,170,99,40,220,22691,18454,"4308,200","0,023","4,284",N
I Q 2021,PLN,4914,6532,10449,8621,2383,8915,66087,22809,"59999,388","0,144","0,380",N
III Q 2021,PLN,7052,-1218,-1416,-765,2402,1184,56714,18700,"59999,388","-0,013","0,312",N
II Q 2013,PLN,277,-61,-77,-77,0,-61,7983,2472,"2121,600","-0,036","1,165",N
III Q 2013,PLN,249,-63,-148,-148,0,-63,7513,2044,"2121,600","-0,070","0,963",N
IV Q 2013,PLN,707,179,98,110,60,239,24225,18150,"2121,600","0,052","8,555",N
I Q 2014,PLN,185346,60,135,117,58,118,25227,17910,"4308,200","0,027","4,157",N
II Q 2012,PLN,946,0,41,41,0,0,2421,2421,"2121,600","0,019","1,141",N
III Q 2012,PLN,520,181,339,332,0,181,8881,2692,"2121,600","0,156","1,269",N
IV Q 2012,PLN,316,40,38,-43,65,105,8106,2649,"2121,600","-0,020","1,248",N
I Q 2013,PLN,252,-46,-78,-78,0,-46,7889,2549,"2121,600","-0,037","1,201",N
IV Q 2011,PLN,510,0,83,181,0,0,8539,2224,"2121,600","0,085","1,048",N
I Q 2012,PLN,253,0,165,164,0,0,8570,2389,"2121,600","0,077","1,126",N
