kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,110561,11908,11406,2820,3687,15595,420458,143685,"12355,504","0,228","11,629",N
II Q 2023,PLN,115663,9812,9375,1827,3856,13668,443434,131820,"12355,504","0,148","10,669",N
III Q 2023,PLN,114353,7870,208,-3932,2803,10673,455735,131103,"12355,504","-0,318","10,611",N
IV Q 2023,PLN,126218,5951,11891,3628,4105,10056,432009,130706,"12355,504","0,294","10,579",N
I Q 2022,PLN,76709,9407,6178,-666,2759,12166,355892,133852,"12355,504","-0,054","10,833",N
II Q 2022,PLN,101696,7029,10830,2970,3150,10179,363153,133533,"12355,504","0,240","10,808",N
III Q 2022,PLN,111698,15520,17002,5623,3277,18797,392127,142600,"12355,504","0,455","11,541",N
IV Q 2022,PLN,119979,18618,16268,5302,3764,22382,419140,141883,"12355,504","0,429","11,483",N
I Q 2021,PLN,38965,4147,2714,1780,2069,6216,153684,96958,"12355,504","0,144","7,847",N
II Q 2021,PLN,46238,4453,4653,100,2779,7232,257953,127225,"12355,504","0,008","10,297",N
III Q 2021,PLN,60199,6514,5766,1020,1356,7870,254681,128474,"12355,504","0,083","10,398",N
IV Q 2021,PLN,71430,12310,12463,4554,2127,14437,278688,133000,"12355,504","0,369","10,764",N
I Q 2020,PLN,32029,1163,1523,655,2056,3219,119456,87659,"12355,504","0,053","7,095",N
II Q 2020,PLN,35009,3287,2704,2228,2021,5308,124592,88495,"12355,504","0,180","7,162",N
III Q 2020,PLN,35098,3727,1771,746,1862,5589,119714,89264,"12355,504","0,060","7,225",N
IV Q 2020,PLN,54068,7343,7526,5802,2361,9704,162852,95106,"12355,504","0,470","7,697",N
I Q 2019,PLN,30587,1291,1084,482,2126,3417,122424,87213,"12355,504","0,039","7,059",N
II Q 2019,PLN,31375,1371,1309,938,2109,3480,122241,87869,"12355,504","0,076","7,112",N
III Q 2019,PLN,33906,2469,2576,2041,2092,4561,124054,89910,"12355,504","0,165","7,277",N
IV Q 2019,PLN,44794,-1028,-3189,-2961,2069,1041,134214,86948,"12355,504","-0,240","7,037",N
I Q 2018,PLN,21065,453,375,298,1952,2405,119373,81730,"12355,504","0,024","6,615",N
II Q 2018,PLN,28136,3059,3097,2878,1896,4955,120798,84890,"12355,504","0,233","6,871",N
III Q 2018,PLN,23994,297,194,-22,1990,2287,117479,84868,"12355,504","-0,002","6,869",N
IV Q 2018,PLN,44534,2313,2183,1863,2050,4363,136970,86731,"12355,504","0,151","7,020",N
I Q 2017,PLN,17293,681,504,529,1729,2410,118664,75285,"12355,504","0,043","6,093",N
II Q 2017,PLN,23968,2817,2622,2504,1743,4560,119070,75318,"12355,504","0,203","6,096",N
III Q 2017,PLN,21306,596,580,590,1847,2443,114665,75908,"12355,504","0,048","6,144",N
IV Q 2017,PLN,38870,5847,5484,5544,2008,7855,127659,81432,"12355,504","0,449","6,591",N
I Q 2016,PLN,14527,446,379,379,1570,2016,111950,67514,"12355,504","0,031","5,464",N
II Q 2016,PLN,19937,2136,2181,2246,1605,3741,113655,69761,"12355,504","0,182","5,646",N
III Q 2016,PLN,19848,1656,1510,631,1683,3339,110019,70393,"12355,504","0,051","5,697",N
IV Q 2016,PLN,34732,3880,4001,4365,1724,5604,128789,74756,"12355,504","0,353","6,050",N
I Q 2015,PLN,12973,1283,1290,1076,588,1871,84446,56384,"11195,941","0,096","5,036",N
II Q 2015,PLN,19380,3927,3701,3821,624,4551,84232,60205,"11195,941","0,341","5,377",N
III Q 2015,PLN,9360,558,113,141,707,1265,101841,65600,"11195,941","0,013","5,859",N
IV Q 2015,PLN,26443,3321,2933,1536,979,4300,116307,67135,"12355,504","0,124","5,434",N
I Q 2014,PLN,2657,638,663,568,280,918,34781,15893,"7292,245","0,078","2,179",N
II Q 2014,PLN,15750,2509,2398,1932,504,3013,80403,52734,"11195,941","0,173","4,710",N
III Q 2014,PLN,11779,200,226,178,475,675,75406,50938,"11195,941","0,016","4,550",N
IV Q 2014,PLN,23697,5942,5807,4370,474,6416,87123,55308,"11195,941","0,390","4,940",N
II Q 2013,PLN,2647,352,373,397,287,639,14004,12912,"7292,245","0,054","1,771",N
IV Q 2013,PLN,7647,3284,3287,2362,260,3544,20994,15325,"7292,245","0,324","2,102",N
