kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,158822,6863,5036,2618,7504,14367,729500,384887,"25206,644","0,104","15,269",N
II Q 2023,PLN,191899,14531,14014,10015,7269,21800,772039,390713,"25206,644","0,397","15,500",N
III Q 2023,PLN,198252,17602,15945,9762,7327,24929,826996,402825,"25206,644","0,387","15,981",N
IV Q 2023,PLN,346747,55104,52783,31709,7361,62465,940838,401736,"25206,644","1,258","15,938",N
I Q 2022,PLN,130196,1055,444,-512,6030,7085,649323,350266,"25206,644","-0,020","13,896",N
II Q 2022,PLN,179544,10664,9579,6608,6316,16980,699918,357146,"25206,644","0,262","14,169",N
III Q 2022,PLN,188420,19151,17005,11041,6879,26030,758051,371670,"25206,644","0,438","14,745",N
IV Q 2022,PLN,336670,59224,57632,37782,6588,65812,872795,381787,"25206,644","1,499","15,146",N
I Q 2021,PLN,132527,6627,5982,2208,5703,12330,583822,319353,"25206,644","0,088","12,669",N
II Q 2021,PLN,153084,13034,13033,8376,3210,16244,578721,326152,"25206,644","0,332","12,939",N
III Q 2021,PLN,160422,19809,18635,10998,5900,25709,618985,338734,"25206,644","0,436","13,438",N
IV Q 2021,PLN,305486,54499,54097,34730,6016,60515,780447,349444,"25206,644","1,378","13,863",N
I Q 2020,PLN,106869,-1236,-3277,-2515,5590,4354,555509,295422,"25206,644","-0,100","11,720",N
II Q 2020,PLN,118456,3700,4156,2834,4875,8575,572820,297262,"25206,644","0,112","11,793",N
III Q 2020,PLN,140697,11066,10641,5420,5424,16490,578005,303087,"25206,644","0,215","12,024",N
IV Q 2020,PLN,246861,47159,46166,29620,5971,53130,685389,316931,"25206,644","1,175","12,573",N
I Q 2019,PLN,99393,1623,1264,-224,3185,4808,457556,277464,"25206,644","-0,009","11,008",N
II Q 2019,PLN,126014,2859,2491,1612,3177,6036,488214,278965,"25206,644","0,064","11,067",N
III Q 2019,PLN,125194,8363,7458,3682,4565,12928,549774,283837,"25206,644","0,146","11,260",N
IV Q 2019,PLN,240354,47710,47157,30659,5342,53052,667917,295295,"25206,644","1,216","11,715",N
I Q 2018,PLN,91126,2352,2222,718,2937,5289,417921,262090,"25206,644","0,028","10,398",N
II Q 2018,PLN,108333,4502,4181,2410,3138,7640,450609,264883,"25206,644","0,096","10,508",N
III Q 2018,PLN,112729,6458,6235,2580,3187,9645,474197,266514,"25206,644","0,102","10,573",N
