kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
III Q 2013,PLN,17706,-2860,-3009,-3038,103,-2757,40007,7060,"3282,000","-0,926","2,151",N
IV Q 2013,PLN,21622,-261,-572,-271,103,-158,39068,6799,"3282,000","-0,083","2,072",N
I Q 2014,PLN,15266,26,-61,-64,105,131,38927,7333,"3282,000","-0,020","2,234",N
II Q 2014,PLN,12800,-5245,-4952,-5039,102,-5143,30576,2294,"3282,000","-1,535","0,699",N
III Q 2012,PLN,23235,698,596,549,105,803,41758,11033,"3282,000","0,167","3,362",N
IV Q 2012,PLN,23331,-199,-143,-197,107,-92,38709,10892,"3282,000","-0,060","3,319",N
I Q 2013,PLN,15548,-346,-486,-516,116,-230,36535,10381,"3282,000","-0,157","3,163",N
II Q 2013,PLN,14399,-58,-187,-184,104,46,38139,10156,"3282,000","-0,056","3,094",N
III Q 2011,PLN,21774,276,102,58,141,417,40927,11395,"3282,000","0,018","3,472",N
IV Q 2011,PLN,28420,778,498,321,144,922,45938,11724,"3282,000","0,098","3,572",N
I Q 2012,PLN,15444,78,-47,-53,57,135,40522,11680,"3282,000","-0,016","3,559",N
II Q 2012,PLN,18686,-1108,-1119,-1164,193,-915,37998,10463,"3282,000","-0,355","3,188",N
III Q 2010,PLN,24869,521,551,453,139,660,46517,10883,"3282,000","0,138","3,316",N
IV Q 2010,PLN,27645,580,298,158,139,719,47539,11043,"3282,000","0,048","3,365",N
I Q 2011,PLN,17331,116,70,61,132,248,38567,11116,"3282,000","0,019","3,387",N
II Q 2011,PLN,20809,216,238,221,144,360,39785,11337,"3282,000","0,067","3,454",N
III Q 2009,PLN,20213,640,552,464,166,806,39574,9850,"3282,000","0,141","3,001",N
IV Q 2009,PLN,25761,551,413,319,186,737,40376,10177,"3282,000","0,097","3,101",N
I Q 2010,PLN,15772,115,72,57,165,280,35338,10237,"3282,000","0,017","3,119",N
II Q 2010,PLN,20021,338,251,193,146,484,44595,10430,"3282,000","0,059","3,178",N
III Q 2008,PLN,25713,-113,-310,-287,233,120,44870,10483,"3282,000","-0,087","3,194",N
IV Q 2008,PLN,27133,-985,-1192,-993,239,-746,43797,9491,"3282,000","-0,303","2,892",N
I Q 2009,PLN,14978,-109,-200,-200,151,42,34727,9293,"3282,000","-0,061","2,832",N
II Q 2009,PLN,17771,278,187,93,230,508,37412,9386,"3282,000","0,028","2,860",N
III Q 2007,PLN,19825,-45,-66,-73,211,166,38883,10291,"3282,000","-0,022","3,136",N
