kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,EUR,621200,17000,5000,1700,62500,79500,2322700,319500,"219554,183","0,008","1,455",N
II Q 2023,EUR,548700,34200,22400,21900,60600,94800,2249400,369200,"219554,183","0,100","1,682",N
III Q 2023,EUR,632800,52800,32900,27100,58500,111300,2175900,387600,"219554,183","0,123","1,765",N
IV Q 2023,EUR,628900,-500,-11300,-5800,61500,61000,2351700,385400,"219554,183","-0,026","1,755",N
I Q 2022,EUR,507000,13900,1800,100,61200,75100,2140000,296400,"219554,183","0,000","1,350",N
II Q 2022,EUR,476700,27700,16100,-35600,63200,90900,2251700,306800,"219554,183","-0,162","1,397",N
III Q 2022,EUR,567300,38800,33600,34200,64100,102900,2266500,337900,"219554,183","0,156","1,539",N
IV Q 2022,EUR,575700,22600,4800,2600,63400,86000,2280200,320100,"219554,183","0,012","1,458",N
I Q 2021,EUR,380000,-9700,-21300,-19900,59000,49300,2055500,244800,"219554,183","-0,091","1,115",N
II Q 2021,EUR,464300,37600,29800,21800,58600,96200,2091800,267500,"219554,183","0,099","1,218",N
III Q 2021,EUR,533700,47000,35400,26600,60300,107300,2059300,294300,"219554,183","0,121","1,340",N
IV Q 2021,EUR,539000,28200,14000,4400,59000,87200,2174900,298700,"219554,183","0,020","1,360",N
I Q 2020,EUR,411900,-23600,-48000,-41600,64500,40900,2363800,402300,"219554,183","-0,189","1,832",N
II Q 2020,EUR,272100,-105800,-113800,-110700,64900,-40900,2320500,290200,"219554,183","-0,504","1,322",N
III Q 2020,EUR,441400,15800,1400,-6300,63200,79000,2214800,283800,"219554,183","-0,029","1,293",N
IV Q 2020,EUR,397500,-28900,-41000,-23400,60800,31900,2114400,257800,"219554,183","-0,107","1,174",N
I Q 2019,EUR,444900,17400,7100,3700,58800,76200,2226300,429700,"219554,183","0,017","1,957",N
II Q 2019,EUR,482800,17800,8200,6700,62900,80700,2247300,424300,"219554,183","0,031","1,933",N
III Q 2019,EUR,504800,37800,22600,16800,62600,100400,2265700,442200,"219554,183","0,077","2,014",N
IV Q 2019,EUR,529000,32600,55500,37900,65000,97600,2435000,467200,"219554,183","0,173","2,128",N
I Q 2018,EUR,347400,11700,7200,5100,21500,33200,1027300,324300,"2121,389","2,404","152,872",N
II Q 2018,EUR,364200,13700,11200,9200,22300,36000,1034600,323900,"2121,389","4,337","152,683",N
III Q 2018,EUR,392400,27600,23900,18000,22000,49600,1077600,334200,"219554,183","0,082","1,522",N
IV Q 2018,EUR,442900,18600,15200,10700,26300,44900,1441800,420700,"219554,183","0,049","1,916",N
I Q 2017,PLN,1147400,40063,28516,20557,76525,116588,3343931,1252591,"2121,389","9,690","590,458",N
II Q 2017,PLN,1243141,62044,45941,33058,80633,142677,3532034,1229872,"2121,389","15,583","579,748",N
III Q 2017,PLN,1355710,119186,107559,85252,-101358,17828,3809898,1318952,"2121,389","40,187","621,740",N
IV Q 2017,EUR,359200,10800,6800,10300,21900,32700,1037300,313700,"2121,389","4,855","147,875",N
I Q 2016,PLN,858221,55153,45397,39758,61409,116562,2811361,1086263,"2121,389","18,741","512,053",N
II Q 2016,PLN,977055,54788,44007,36261,64867,119655,3238383,1190581,"2121,389","17,093","561,227",N
III Q 2016,PLN,1157569,90924,78611,62451,69756,160680,3165758,1221899,"2121,389","29,439","575,990",N
IV Q 2016,PLN,1214524,67309,55455,52094,75041,142350,3457756,1309033,"2121,389","24,557","617,064",N
I Q 2015,PLN,750351,43656,34414,27108,51867,95523,2606740,946173,"2121,389","12,778","446,016",N
II Q 2015,PLN,809324,45270,36162,25869,53154,98424,2706231,969450,"2121,389","12,194","456,988",N
III Q 2015,PLN,861191,67921,56165,65162,55612,123533,2727441,1014589,"2121,389","30,717","478,266",N
IV Q 2015,PLN,917874,38896,35542,41897,63248,102144,2849802,1033029,"2121,389","19,750","486,959",N
I Q 2014,PLN,674118,23216,11796,8499,48919,72135,2589886,970381,"2121,389","4,006","457,427",N
II Q 2014,PLN,713646,27412,14145,4453,49122,76534,2623510,989394,"2121,389","2,099","466,390",N
III Q 2014,PLN,765295,50211,39883,31594,50091,100302,2667374,1010435,"2121,389","14,893","476,308",N
IV Q 2014,PLN,799592,9056,-493,7121,57933,66989,2621843,911542,"2121,389","3,357","429,691",N
I Q 2013,PLN,609116,5031,-6193,-9402,46288,51319,2593255,882929,"2121,389","-4,432","416,203",N
II Q 2013,PLN,665151,2433,59993,52173,46725,49158,2697687,1081328,"2121,389","24,594","509,726",N
III Q 2013,PLN,696432,30752,10205,7608,47503,78255,2613213,1050057,"2121,389","3,586","494,986",N
IV Q 2013,PLN,730199,-20799,-34227,-40434,49312,28513,2631449,979778,"2121,389","-19,060","461,857",N
I Q 2012,PLN,544891,26640,9182,12593,41480,68120,2556773,766155,"2121,389","5,936","361,157",N
II Q 2012,PLN,567875,23118,3403,6023,51955,75073,2624856,868469,"2121,389","2,839","409,387",N
III Q 2012,PLN,602735,38416,24767,24307,43453,81869,2659098,878029,"2121,389","11,458","413,893",N
IV Q 2012,PLN,640754,87489,76371,48004,51856,139345,2546463,872399,"2121,389","22,629","411,240",N
I Q 2011,PLN,524907,19501,16441,13443,30202,49703,2630856,772214,"1893,410","7,100","407,843",N
II Q 2011,PLN,261119,14660,1480,5016,37326,51986,2303754,803976,"2120,568","2,365","379,132",N
III Q 2011,PLN,533607,42227,31674,22519,42724,84951,0,0,"2121,389","10,615","0,000",N
IV Q 2011,PLN,602146,14390,-6046,13691,55826,70216,2621781,857219,"2121,389","6,454","404,084",N
I Q 2010,PLN,481206,24877,16939,11577,23908,48785,1173426,387289,"1418,636","8,161","273,001",N
II Q 2010,PLN,512556,13260,14514,12368,25752,39012,1555269,758689,"1891,262","6,540","401,155",N
III Q 2010,PLN,523003,15453,7854,5808,26480,41933,0,0,"1893,410","3,067","0,000",N
IV Q 2010,PLN,517051,15072,11649,10842,27576,42648,1368959,731499,"1893,410","5,726","386,339",N
I Q 2009,PLN,521659,26205,17589,10638,23273,49478,1159166,406347,"1418,636","7,499","286,435",N
II Q 2009,PLN,513834,15279,19841,14824,20894,36173,1129100,393215,"1418,636","10,449","277,178",N
III Q 2009,PLN,481905,26170,16174,10633,21818,47988,0,0,"1418,636","7,495","0,000",N
IV Q 2009,PLN,482446,12103,7740,2031,22340,34443,1151095,372694,"1418,636","1,432","262,713",N
I Q 2008,PLN,243023,18510,17793,13644,14204,32714,612468,290877,"1417,061","9,628","205,268",N
II Q 2008,PLN,264559,13929,14465,10555,13861,27790,649811,289752,"1418,636","7,440","204,247",N
III Q 2008,PLN,432776,27822,23479,17452,17043,44865,0,0,"1418,636","12,302","0,000",N
IV Q 2008,PLN,482671,28084,-7617,-12857,15298,43382,1098376,354924,"1418,636","-9,063","250,187",N
I Q 2007,PLN,177596,16983,16362,13281,10712,27695,324910,170990,"1350,000","9,838","126,659",N
II Q 2007,PLN,187064,15247,14361,11548,11586,26833,339862,183482,"1350,000","8,554","135,913",N
III Q 2007,PLN,237069,22026,20067,15750,14325,36351,0,0,"1417,061","11,115","0,000",N
IV Q 2007,PLN,251626,9163,11551,7493,15139,24302,596657,289147,"1417,061","5,288","204,047",N
I Q 2006,PLN,133167,6554,6255,5317,9904,16458,273158,127714,"1350,000","3,939","94,603",N
II Q 2006,PLN,146842,11858,15827,13592,9548,21406,299649,139411,"1350,000","10,068","103,267",N
III Q 2006,PLN,167325,12756,12102,9532,10369,23125,0,0,"1350,000","7,061","0,000",N
IV Q 2006,PLN,181998,13502,14947,10143,13772,27274,321455,155796,"1350,000","7,513","115,404",N
I Q 2005,PLN,106434,3841,1909,1650,7163,11004,217600,23190,"1000,000","1,650","23,190",N
II Q 2005,PLN,121429,4755,2611,6280,7591,12346,244642,107850,"1350,000","4,652","79,889",N
III Q 2005,PLN,130637,8975,7488,7163,8475,17450,0,0,"1350,000","5,306","0,000",N
IV Q 2005,PLN,141310,5727,3331,7034,11222,16949,288941,123070,"1350,000","5,210","91,163",N
I Q 2004,PLN,109193,198788,198788,203,7998,206786,0,0,"1000,000","0,203","0,000",N
II Q 2004,PLN,117615,5494,5494,-44,6975,12469,0,0,"1000,000","-0,044","0,000",N
III Q 2004,PLN,116028,6578,6445,4988,6985,13563,0,0,"1000,000","4,988","0,000",N
IV Q 2004,PLN,120362,5330,6031,7102,9127,14457,214366,17540,"1000,000","7,102","17,540",N
IV Q 2003,PLN,0,0,0,0,0,0,220357,7957,"1000,000","0,000","7,957",N
