kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,40105,2194,2512,1503,1845,4039,202411,182471,"11499,539","0,131","15,868",N
I Q 2023,PLN,40650,10784,11228,8848,1740,12524,215454,195222,"11499,539","0,769","16,977",N
II Q 2023,PLN,39695,11104,10341,8017,1746,12850,223404,194463,"10948,537","0,732","17,762",N
III Q 2023,PLN,45630,12503,13666,10505,1887,14390,230849,204227,"10948,537","0,959","18,653",N
IV Q 2021,PLN,31796,4137,3726,3159,1782,5919,192602,176871,"11869,173","0,266","14,902",N
I Q 2022,PLN,29949,6038,5750,4722,1783,7821,198922,182503,"11869,173","0,398","15,376",N
II Q 2022,PLN,35788,7936,7419,6072,1833,9769,212561,185278,"11869,173","0,512","15,610",N
III Q 2022,PLN,41985,9864,10173,8144,1821,11685,205107,182317,"11499,539","0,708","15,854",N
IV Q 2020,PLN,26467,4192,4368,3813,1855,6047,182680,170414,"11905,531","0,320","14,314",N
I Q 2021,PLN,26001,4612,4690,3829,1929,6541,190295,175935,"11905,531","0,322","14,778",N
II Q 2021,PLN,31448,6773,6575,5289,1753,8526,196097,175788,"11905,531","0,444","14,765",N
III Q 2021,PLN,32159,6091,6283,4927,1826,7917,198198,182118,"11869,173","0,415","15,344",N
IV Q 2019,PLN,30830,2857,2660,2420,1973,4830,175439,160825,"12592,700","0,192","12,771",N
I Q 2020,PLN,25057,3561,3578,3056,1917,5478,180703,164344,"12592,700","0,243","13,051",N
II Q 2020,PLN,26428,4115,4133,3248,1988,6103,185418,164946,"12592,700","0,258","13,099",N
III Q 2020,PLN,30041,5524,5449,4335,1897,7421,184995,168931,"11905,531","0,364","14,189",N
IV Q 2018,PLN,28916,3078,3137,2691,1912,4990,174457,158511,"12592,700","0,214","12,588",N
I Q 2019,PLN,26542,4805,4845,3938,1887,6692,180657,164598,"12592,700","0,313","13,071",N
II Q 2019,PLN,29181,4532,4562,3521,1948,6480,183435,163729,"12592,700","0,280","13,002",N
III Q 2019,PLN,31959,5204,5412,4225,1920,7124,187023,168975,"12592,700","0,336","13,418",N
IV Q 2017,PLN,27490,4430,4295,9074,1665,6095,160711,148860,"13129,870","0,691","11,338",N
I Q 2018,PLN,23133,3935,4077,3242,1695,5630,167099,153580,"13129,870","0,247","11,697",N
II Q 2018,PLN,25620,4862,5025,4110,1726,6588,173299,153795,"13129,870","0,313","11,713",N
III Q 2018,PLN,28044,5536,5353,4284,1792,7328,171705,155064,"12592,700","0,340","12,314",N
IV Q 2016,PLN,24138,2427,2893,2505,1670,4097,156401,143526,"13202,954","0,190","10,871",N
I Q 2017,PLN,20517,3148,2999,2535,1644,4792,156823,143681,"13202,954","0,192","10,882",N
II Q 2017,PLN,25718,4657,4584,3847,1753,6410,160484,142617,"13129,870","0,293","10,862",N
III Q 2017,PLN,26120,4850,4898,4192,1714,6564,160593,147432,"13129,870","0,319","11,229",N
IV Q 2015,PLN,22988,3933,3778,3301,1482,5415,139231,130446,"13202,954","0,250","9,880",N
I Q 2016,PLN,21794,3780,4039,3391,1440,5220,144765,135772,"13202,954","0,257","10,283",N
II Q 2016,PLN,24188,5021,5630,4676,1530,6551,153394,137675,"13202,954","0,354","10,428",N
III Q 2016,PLN,26559,4715,4523,3663,1590,6305,158167,141877,"13202,954","0,277","10,746",N
IV Q 2014,PLN,22282,3128,1821,1927,1304,4432,130925,119065,"13469,524","0,143","8,840",N
I Q 2015,PLN,18242,3128,3272,2540,1323,4451,135466,122851,"13693,398","0,185","8,972",N
II Q 2015,PLN,24676,5481,5650,4567,1370,6851,138413,123566,"13202,954","0,346","9,359",N
III Q 2015,PLN,22459,4447,3928,3302,1422,5869,138693,127105,"13202,954","0,250","9,627",N
IV Q 2013,PLN,19704,4679,4485,3460,1040,5719,135754,119491,"13236,729","0,261","9,027",N
