kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,120655,25900,26214,17220,799,26699,1326943,731697,"25670,343","0,671","28,504",N
I Q 2023,PLN,83150,19014,20034,17237,816,19830,1430943,748934,"25670,343","0,671","29,175",N
II Q 2023,PLN,136257,44120,44877,38358,590,44710,1449080,733604,"25670,343","1,494","28,578",N
III Q 2023,PLN,97039,19692,17276,19900,1206,20898,2529492,898582,"48496,043","0,410","18,529",N
IV Q 2021,PLN,178095,50437,50448,42759,652,51089,1313864,653057,"25670,343","1,666","25,440",N
I Q 2022,PLN,149781,40594,41312,41449,689,41283,1372198,694506,"25670,343","1,615","27,055",N
II Q 2022,PLN,71755,3559,7477,8722,739,4298,1393680,699633,"25670,343","0,340","27,255",N
III Q 2022,PLN,157487,45284,44858,42824,801,46085,1344325,742458,"25670,343","1,668","28,923",N
IV Q 2020,PLN,273280,56298,52018,40605,744,57042,1460027,581386,"25670,343","1,582","22,648",N
I Q 2021,PLN,98113,15908,14047,10278,711,16619,1494946,586476,"25670,343","0,400","22,846",N
II Q 2021,PLN,137897,34562,36010,21026,684,35246,1433229,558970,"25670,343","0,819","21,775",N
III Q 2021,PLN,117672,29917,30354,24764,657,30574,1471102,583734,"25670,343","0,965","22,740",N
IV Q 2019,PLN,85163,6053,7080,15842,702,6755,1381443,513311,"25742,298","0,615","19,940",N
I Q 2020,PLN,187404,47940,43101,29804,651,48591,1452570,542712,"25742,298","1,158","21,083",N
II Q 2020,PLN,84964,58600,56524,40547,640,59240,1546189,583787,"25742,298","1,575","22,678",N
III Q 2020,PLN,124239,27874,26599,21889,780,28654,1545464,605665,"25670,343","0,853","23,594",N
IV Q 2018,PLN,264873,60898,60034,39981,700,61598,1171439,461372,"25742,298","1,553","17,923",N
I Q 2019,PLN,57096,3982,3231,2858,681,4663,1277663,464473,"25742,298","0,111","18,043",N
II Q 2019,PLN,238434,75246,72814,56979,647,75893,1308545,493994,"25742,298","2,213","19,190",N
III Q 2019,PLN,127494,32329,29547,20221,751,33080,1249072,497745,"25742,298","0,786","19,336",N
IV Q 2017,PLN,154308,18715,17564,10114,440,19155,1031928,447035,"25605,944","0,395","17,458",N
I Q 2018,PLN,75304,11509,10691,6133,489,11998,1100021,453111,"25605,944","0,240","17,696",N
II Q 2018,PLN,77166,8030,6811,4905,536,8566,1147158,419221,"25605,944","0,192","16,372",N
III Q 2018,PLN,67131,3352,2143,1983,166,3518,1264739,423136,"25742,298","0,077","16,437",N
IV Q 2016,PLN,159148,28488,28289,12930,292,28780,714714,374678,"23278,131","0,555","16,096",N
I Q 2017,PLN,50854,4657,3919,2946,217,4874,787136,380448,"23278,131","0,127","16,344",N
II Q 2017,PLN,67936,12766,12564,11201,507,13273,818558,373938,"23278,131","0,481","16,064",N
III Q 2017,PLN,57186,29540,33121,32210,420,29960,1043778,404987,"23278,131","1,384","17,398",N
IV Q 2015,PLN,69718,17851,18281,12269,299,18150,541686,290300,"18622,505","0,659","15,589",N
I Q 2016,PLN,9820,54,-505,-627,308,362,607700,289517,"23278,131","-0,027","12,437",N
II Q 2016,PLN,47190,7595,7308,16496,74,7669,731062,352350,"23278,131","0,709","15,137",N
III Q 2016,PLN,66111,8592,8351,8519,298,8890,766858,362130,"23278,131","0,366","15,557",N
IV Q 2014,PLN,0,0,0,0,0,0,527393,127260,"18622,505","0,000","6,834",N
I Q 2015,PLN,39023,20918,19579,7268,278,21196,0,0,"18622,505","0,390","0,000",N
II Q 2015,PLN,11999,2101,4421,496,317,2418,506404,271104,"18622,505","0,027","14,558",N
III Q 2015,PLN,35845,2218,2611,5570,312,2530,0,0,"18622,505","0,299","0,000",N
IV Q 2012,PLN,0,0,0,0,0,0,579272,-19402,"18622,505","0,000","-1,042",N
IV Q 2013,PLN,0,0,0,0,0,0,477341,107062,"18622,505","0,000","5,749",N
