kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
III Q 2022,PLN,64824,1483,928,923,300,1783,160040,47219,"570196,420","0,002","0,083",N
IV Q 2022,PLN,66762,3249,528,-978,491,3740,158752,45699,"570196,420","-0,002","0,080",N
I Q 2023,PLN,50952,-4869,-5945,-5840,219,-4650,149426,41547,"570196,420","-0,010","0,073",N
II Q 2023,PLN,60886,-2301,-2622,-2592,366,-1935,145866,34918,"570196,420","-0,005","0,061",N
III Q 2021,PLN,65278,1668,1072,869,1356,3024,160801,45423,"570196,420","0,002","0,080",N
IV Q 2021,PLN,72004,4862,4198,2612,1648,6510,166913,48039,"570196,420","0,005","0,084",N
I Q 2022,PLN,59596,-5112,-5612,-5932,4201,-911,161885,42632,"570196,420","-0,010","0,075",N
II Q 2022,PLN,63607,2775,2014,2911,-3493,-718,160648,45266,"570196,420","0,005","0,079",N
III Q 2020,PLN,52373,-1047,-2362,-3210,2992,1945,203593,38046,"570196,420","-0,006","0,067",N
IV Q 2020,PLN,62926,829,322,6176,1547,2376,164056,45304,"570196,420","0,011","0,079",N
I Q 2021,PLN,54462,1577,247,-417,1308,2885,153496,44715,"570196,420","-0,001","0,078",N
II Q 2021,PLN,58328,1239,457,-312,1296,2535,153206,44003,"570196,420","-0,001","0,077",N
III Q 2019,PLN,132135,528,-1250,-1389,3487,4015,289990,92824,"570196,420","-0,002","0,163",N
IV Q 2019,PLN,-145428,323,645,-22789,2861,3184,270093,68351,"570196,420","-0,040","0,120",N
I Q 2020,PLN,56277,2987,1906,2178,2861,5848,277662,72734,"570196,420","0,004","0,128",N
II Q 2020,PLN,44401,-1753,-3241,-32261,3103,1350,212705,40442,"570196,420","-0,057","0,071",N
III Q 2018,PLN,129634,168,-954,-1920,836,1004,294965,91826,"570196,420","-0,003","0,161",N
IV Q 2018,PLN,147352,1852,989,2516,946,2798,295613,93224,"570196,420","0,004","0,163",N
I Q 2019,PLN,133196,669,-338,-702,4865,5534,306169,92561,"570196,420","-0,001","0,162",N
II Q 2019,PLN,137512,3748,2944,1761,1329,5077,285942,93476,"570196,420","0,003","0,164",N
III Q 2017,PLN,47967,2742,2639,1729,181,2923,136672,90545,"570196,420","0,003","0,159",N
IV Q 2017,PLN,52059,661,485,81,309,970,146675,89683,"570196,420","0,000","0,157",N
I Q 2018,PLN,49346,2674,2514,1357,208,2882,152937,91256,"570196,420","0,002","0,160",N
II Q 2018,PLN,82183,1987,1735,1855,421,2408,297592,94281,"570196,420","0,003","0,165",N
III Q 2016,PLN,43795,1734,1570,863,310,2044,138457,89589,"570196,420","0,002","0,157",N
IV Q 2016,PLN,51933,1532,1369,599,17,1549,143895,90865,"570196,420","0,001","0,159",N
I Q 2017,PLN,41487,2354,2205,1473,170,2524,140423,91048,"570196,420","0,003","0,160",N
II Q 2017,PLN,47692,1613,1486,591,253,1866,135316,88342,"570196,420","0,001","0,155",N
III Q 2015,PLN,39631,1836,1828,1137,314,2150,120736,86887,"590534,550","0,002","0,147",N
IV Q 2015,PLN,48672,3786,3533,2394,335,4121,133516,85291,"590534,550","0,004","0,144",N
I Q 2016,PLN,38434,2150,1962,1175,310,2460,133853,86493,"590534,550","0,002","0,146",N
II Q 2016,PLN,42684,3169,2914,1988,298,3467,135937,89353,"570196,420","0,003","0,157",N
III Q 2014,PLN,41867,1603,1377,877,268,1871,120172,80419,"590534,550","0,001","0,136",N
IV Q 2014,PLN,53304,3080,2748,1946,722,3802,134820,82826,"590534,550","0,003","0,140",N
I Q 2015,PLN,41255,2065,1797,1105,271,2336,123538,83103,"590534,550","0,002","0,141",N
II Q 2015,PLN,41796,3128,2876,1899,286,3414,122913,85500,"590534,550","0,003","0,145",N
III Q 2013,PLN,40309,2339,1089,337,227,2566,116077,72345,"590534,550","0,001","0,123",N
IV Q 2013,PLN,51891,3197,1846,640,160,3357,127652,75601,"590534,550","0,001","0,128",N
I Q 2014,PLN,40292,2609,2398,1488,224,2833,115916,72682,"590534,550","0,003","0,123",N
II Q 2014,PLN,44335,3435,3212,2292,175,3610,121525,79473,"590534,550","0,004","0,135",N
III Q 2012,PLN,46630,710,345,446,0,710,129899,56595,"590534,550","0,001","0,096",N
IV Q 2012,PLN,48844,3604,2907,1387,1263,4867,127630,61490,"590534,550","0,002","0,104",N
I Q 2013,PLN,36159,1609,1462,548,1203,2812,113787,68211,"590534,550","0,001","0,116",N
II Q 2013,PLN,42181,3229,1901,1047,235,3464,121296,72496,"590534,550","0,002","0,123",N
IV Q 2010,PLN,0,0,0,0,0,0,97,97,"590534,550","0,000","0,000",N
IV Q 2011,PLN,38995,0,2769,2204,0,0,94684,55685,"590534,550","0,004","0,094",N
I Q 2012,PLN,28099,0,1737,1377,114,114,88752,57720,"590534,550","0,002","0,098",N
II Q 2012,PLN,26444,0,-256,-280,108,108,139078,56801,"590534,550","0,000","0,096",N
