kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2016,PLN,46229,14463,14639,11962,2752,17215,301682,275008,"33418,193","0,358","8,229",N
II Q 2017,PLN,41680,11766,11753,9501,0,11766,347785,255317,"33418,193","0,284","7,640",N
III Q 2017,PLN,54464,13347,12736,10212,4275,17622,343995,262858,"33418,193","0,306","7,866",N
IV Q 2017,PLN,68687,20874,20884,17010,4508,25382,358150,279657,"33418,193","0,509","8,368",N
III Q 2009,PLN,32521,5854,6138,4926,2402,8256,0,0,"33418,193","0,147","0,000",N
IV Q 2009,PLN,45274,8853,9152,7300,2562,11415,288916,259371,"33418,193","0,218","7,761",N
II Q 2016,PLN,39485,10751,11094,8924,0,10751,272567,251782,"33418,193","0,267","7,534",N
III Q 2016,PLN,41736,13603,13884,11179,2752,16355,282885,262961,"33418,193","0,335","7,869",N
III Q 2008,PLN,35108,4569,4920,2915,2403,6972,0,0,"33418,193","0,087","0,000",N
IV Q 2008,PLN,53594,10666,11099,8950,2877,13543,283941,250980,"33418,193","0,268","7,510",N
I Q 2009,PLN,40745,7107,7519,6042,2627,9734,276834,257022,"33418,193","0,181","7,691",N
II Q 2009,PLN,37656,4944,5236,4159,2366,7310,267484,247139,"33418,193","0,124","7,395",N
III Q 2007,PLN,27180,2239,2199,2199,1622,3861,0,0,"23013,914","0,096","0,000",N
IV Q 2007,PLN,46201,8541,8615,6976,1613,10154,215306,171043,"28613,914","0,244","5,978",N
I Q 2008,PLN,42238,8449,8641,6995,2293,10742,208082,178039,"28613,914","0,244","6,222",N
II Q 2008,PLN,37568,4885,5088,3074,2358,7243,261348,237981,"33418,193","0,092","7,121",N
IV Q 2006,PLN,9370,573,1068,1336,0,573,42491,35166,"23013,914","0,058","1,528",N
I Q 2007,PLN,7285,538,847,847,638,1176,71052,36013,"23013,914","0,037","1,565",N
II Q 2007,PLN,14439,3401,3438,2606,966,4367,0,0,"23013,914","0,113","0,000",N
