kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,403969,139357,143370,115861,808,140165,3178081,1301742,"38714,610","2,993","33,624",N
I Q 2023,PLN,189483,64458,67193,54137,837,65295,3230588,1355879,"38714,610","1,398","35,022",N
II Q 2023,PLN,348328,102306,112675,90579,853,103159,3256308,1252885,"38714,610","2,340","32,362",N
III Q 2023,PLN,323266,65254,63523,51251,822,66076,3336537,1553573,"43214,610","1,186","35,950",N
IV Q 2021,PLN,648735,181165,181804,141484,755,181920,3115470,1165691,"38714,610","3,655","30,110",N
I Q 2022,PLN,406395,123843,142255,108958,731,124574,3267296,1274687,"38714,610","2,814","32,925",N
II Q 2022,PLN,469488,84588,94239,76293,734,85322,3290317,1118692,"38714,610","1,971","28,896",N
III Q 2022,PLN,377971,88257,83096,67132,771,89028,3188486,1185824,"38714,610","1,734","30,630",N
IV Q 2020,PLN,496261,101245,98922,85016,592,101837,2792686,951815,"38714,610","2,196","24,585",N
I Q 2021,PLN,287370,57433,57705,48503,667,58100,2835228,1004669,"38714,610","1,253","25,951",N
II Q 2021,PLN,364259,85626,85478,67712,747,86373,2884596,955083,"38714,610","1,749","24,670",N
III Q 2021,PLN,378829,92809,91502,73463,849,93658,2832443,1028546,"38714,610","1,898","26,567",N
IV Q 2019,PLN,301437,54718,54634,45022,969,55687,2409435,788726,"38714,610","1,163","20,373",N
I Q 2020,PLN,185829,28882,27364,22362,628,29510,2583969,811190,"38714,610","0,578","20,953",N
II Q 2020,PLN,269893,37092,35498,28750,448,37540,2718160,839940,"38714,610","0,743","21,696",N
III Q 2020,PLN,215371,41287,38471,31307,594,41881,2960167,871145,"38714,610","0,809","22,502",N
IV Q 2018,PLN,176536,41986,42140,33985,364,42350,1871985,858362,"38714,610","0,878","22,172",N
I Q 2019,PLN,234473,59352,56662,45286,516,59868,2107939,903648,"38714,610","1,170","23,341",N
II Q 2019,PLN,116170,16994,16693,12603,458,17452,2315990,733038,"38714,610","0,326","18,934",N
III Q 2019,PLN,68087,14694,14456,10570,488,15182,2521853,743608,"38714,610","0,273","19,207",N
IV Q 2017,PLN,218698,50767,49615,38521,371,51138,1789736,794713,"38714,610","0,995","20,527",N
I Q 2018,PLN,300970,74034,73107,57009,367,74401,1847850,851719,"38714,610","1,473","22,000",N
II Q 2018,PLN,337040,91128,88621,68861,391,91519,1910053,783530,"38714,610","1,779","20,239",N
III Q 2018,PLN,240477,52452,51494,40850,365,52817,1829614,824380,"38714,610","1,055","21,294",N
IV Q 2016,PLN,56353,8070,3500,2982,331,8401,1513553,688499,"38714,610","0,077","17,784",N
I Q 2017,PLN,198752,50893,49509,39705,313,51206,1654220,728204,"38714,610","1,026","18,810",N
II Q 2017,PLN,220664,65525,63736,50729,356,65881,1734254,713957,"38714,610","1,310","18,442",N
III Q 2017,PLN,227681,54812,53564,42237,349,55161,1698209,756194,"38714,610","1,091","19,533",N
IV Q 2015,PLN,44495,2485,1576,17634,250,2735,1209992,622741,"38714,610","0,455","16,085",N
I Q 2016,PLN,117959,27763,26773,21866,334,28097,1361058,644607,"38714,610","0,565","16,650",N
II Q 2016,PLN,136699,27792,26170,21941,315,28107,1404793,642868,"38714,610","0,567","16,605",N
III Q 2016,PLN,195829,51145,52600,42653,374,51519,1417472,685521,"38714,610","1,102","17,707",N
IV Q 2014,PLN,74719,12037,11105,8598,220,12257,786868,436402,"32214,610","0,267","13,547",N
I Q 2015,PLN,51275,11762,10113,8885,236,11998,0,0,"32214,610","0,276","0,000",N
II Q 2015,PLN,57140,10756,9519,7813,254,11010,1014197,593396,"38714,610","0,202","15,327",N
III Q 2015,PLN,73937,15755,15391,12959,231,15986,1114103,605272,"38714,610","0,335","15,634",N
III Q 2013,PLN,25919,-17424,7184,7698,0,-17424,761016,297332,"32214,610","0,239","9,230",N
IV Q 2013,PLN,86183,41872,11840,9647,0,41872,761016,299890,"32214,610","0,299","9,309",N
II Q 2014,PLN,0,0,0,0,0,0,755429,332586,"32214,610","0,000","10,324",N
III Q 2014,PLN,245606,95887,94495,77939,213,96100,731182,419147,"32214,610","2,419","13,011",N
IV Q 2011,PLN,0,0,0,0,0,0,472281,236909,"32214,610","0,000","7,354",N
II Q 2012,PLN,0,0,0,0,0,0,521529,248764,"32214,610","0,000","7,722",N
IV Q 2012,PLN,0,0,0,0,0,0,572645,266750,"32214,610","0,000","8,280",N
II Q 2013,PLN,0,0,0,0,0,0,693859,274873,"32214,610","0,000","8,533",N
