kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
III Q 2008,PLN,33199,531,-249,-454,535,1066,0,0,"6091,904","-0,075","0,000",N
IV Q 2008,PLN,47432,1488,123,-322,673,2161,98862,32975,"6091,904","-0,053","5,413",N
I Q 2009,PLN,38171,2392,2111,1566,518,2910,96110,34541,"6091,904","0,257","5,670",N
II Q 2009,PLN,28472,-717,-1405,-1436,518,-199,82033,32353,"6091,904","-0,236","5,311",N
III Q 2007,PLN,33175,71,-868,-1024,597,668,0,0,"6091,904","-0,168","0,000",N
IV Q 2007,PLN,54076,1985,2161,2343,532,2517,108291,32853,"6091,904","0,385","5,393",N
I Q 2008,PLN,39632,2842,2336,1907,542,3384,107906,34771,"6091,904","0,313","5,708",N
II Q 2008,PLN,28709,-140,-1157,-1081,546,406,0,0,"6091,904","-0,177","0,000",N
III Q 2006,PLN,28383,-1378,-1962,-1463,321,-1057,0,0,"6000,000","-0,244","0,000",N
IV Q 2006,PLN,53717,98,-83,-152,592,690,129256,47306,"6091,904","-0,025","7,765",N
I Q 2007,PLN,41909,2089,1236,989,498,2587,116828,48295,"6091,904","0,162","7,928",N
II Q 2007,PLN,27475,-2380,-3100,-2274,513,-1867,0,0,"6091,904","-0,373","0,000",N
III Q 2005,PLN,30726,1180,1105,888,177,1357,0,0,"6000,000","0,148","0,000",N
IV Q 2005,PLN,46336,3496,3204,2612,440,3936,72211,45665,"6000,000","0,435","7,611",N
I Q 2006,PLN,32966,1699,1604,1367,324,2023,75423,47040,"6000,000","0,228","7,840",N
II Q 2006,PLN,23940,37,395,210,278,315,0,0,"6000,000","0,035","0,000",N
