kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,91167,13679,18077,14375,4773,18452,391427,300432,"84300,000","0,171","3,564",N
I Q 2023,PLN,49727,4917,6472,5354,4631,9548,402717,305812,"84300,000","0,064","3,628",N
II Q 2023,PLN,47936,2906,3119,1104,6090,8996,387255,292131,"84300,000","0,013","3,465",N
III Q 2023,PLN,74966,18859,18352,14198,7809,26668,398637,305843,"84300,000","0,168","3,628",N
IV Q 2021,PLN,46197,1356,3803,2536,4937,6293,376616,279846,"84300,000","0,030","3,320",N
I Q 2022,PLN,46601,4674,5269,4329,3927,8601,395581,284207,"84300,000","0,051","3,371",N
II Q 2022,PLN,83687,11162,10830,9819,4946,16108,391359,277132,"84300,000","0,116","3,287",N
III Q 2022,PLN,78445,16730,18253,15318,4530,21260,422222,292507,"84300,000","0,182","3,470",N
IV Q 2020,PLN,61585,5391,6881,6031,8414,13805,352176,268083,"84300,000","0,072","3,180",N
I Q 2021,PLN,52939,5143,6083,5033,4559,9702,347051,272951,"84300,000","0,060","3,238",N
II Q 2021,PLN,58448,5780,6129,4828,5131,10911,348806,265162,"84300,000","0,057","3,145",N
III Q 2021,PLN,66290,14565,15703,12178,7088,21653,373164,277314,"84300,000","0,144","3,290",N
IV Q 2019,PLN,59951,4717,2464,1511,5436,10153,357602,256152,"84300,000","0,018","3,039",N
I Q 2020,PLN,50686,3445,5291,4595,9667,13112,365500,260798,"84300,000","0,055","3,094",N
II Q 2020,PLN,35114,3116,3492,2641,5148,8264,365046,263422,"84300,000","0,031","3,125",N
III Q 2020,PLN,46120,6105,6597,5175,5356,11461,361111,261871,"84300,000","0,061","3,106",N
IV Q 2018,PLN,71022,13019,13353,11042,8636,21655,346780,246323,"84300,000","0,131","2,922",N
I Q 2019,PLN,55071,8686,8648,7485,5962,14648,358078,252914,"84300,000","0,089","3,000",N
II Q 2019,PLN,61479,6837,11527,9978,4215,11052,345501,243169,"84300,000","0,118","2,885",N
III Q 2019,PLN,72536,14653,14356,11167,5241,19894,363441,254345,"84300,000","0,132","3,017",N
IV Q 2017,PLN,49737,5687,8326,7227,4566,10253,324849,237158,"84300,000","0,086","2,813",N
I Q 2018,PLN,58265,7204,9695,7733,4666,11870,334527,244891,"84300,000","0,092","2,905",N
II Q 2018,PLN,45314,3819,4003,3779,4815,8634,336012,240325,"84300,000","0,045","2,851",N
III Q 2018,PLN,49204,6602,6266,5244,4690,11292,333720,235286,"84300,000","0,062","2,791",N
IV Q 2016,PLN,51411,7107,8085,6892,4523,11630,331183,227056,"84300,000","0,082","2,693",N
I Q 2017,PLN,45508,4371,4399,3633,4590,8961,335907,234726,"84300,000","0,043","2,784",N
II Q 2017,PLN,44855,4606,4284,3406,4397,9003,322984,219207,"84300,000","0,040","2,600",N
III Q 2017,PLN,84699,17692,17444,13886,4491,22183,326602,233472,"84300,000","0,165","2,770",N
IV Q 2015,PLN,51605,5146,5543,4836,5378,10524,333661,225801,"84300,000","0,057","2,679",N
I Q 2016,PLN,40446,4498,5991,5174,4547,9045,318915,230975,"84300,000","0,061","2,740",N
II Q 2016,PLN,36710,3079,3988,3983,4848,7927,307448,216433,"84300,000","0,047","2,567",N
III Q 2016,PLN,44715,8520,8715,6723,4845,13365,318592,223156,"84300,000","0,080","2,647",N
IV Q 2014,PLN,47855,3589,3407,6856,5328,8917,316164,219610,"84300,000","0,081","2,605",N
I Q 2015,PLN,33069,3543,4191,3392,4924,8467,318624,223002,"84300,000","0,040","2,645",N
II Q 2015,PLN,41278,3935,4642,3915,4446,8381,308433,216391,"84300,000","0,046","2,567",N
III Q 2015,PLN,48143,9694,9951,7557,4509,14203,319344,223927,"84300,000","0,090","2,656",N
IV Q 2013,PLN,31443,-913,-1117,-626,5039,4126,309453,220065,"84300,000","-0,007","2,610",N
I Q 2014,PLN,29437,3343,3112,4040,4952,8295,312269,224105,"84300,000","0,048","2,658",N
II Q 2014,PLN,33334,1711,1627,2250,4979,6690,299120,212840,"84300,000","0,027","2,525",N
III Q 2014,PLN,42460,4739,4597,4611,4761,9500,308027,216018,"84300,000","0,055","2,562",N
IV Q 2012,PLN,27989,-8891,-9133,-7855,4783,-4108,313329,216742,"0,000",,,N
I Q 2013,PLN,24937,-490,-363,-381,4788,4298,307877,215297,"0,000",,,N
II Q 2013,PLN,25983,390,630,509,4857,5247,304052,213958,"0,000",,,N
III Q 2013,PLN,38903,8065,7963,6684,4840,12905,312831,220691,"84300,000","0,079","2,618",N
IV Q 2011,PLN,33050,-1972,-1503,-1239,4942,2970,289108,215593,"0,000",,,N
I Q 2012,PLN,23773,369,420,421,4202,4571,310276,216014,"0,000",,,N
II Q 2012,PLN,25944,-293,-572,-206,5026,4733,310829,205371,"0,000",,,N
III Q 2012,PLN,32209,-988,-1426,-1222,5064,4076,326519,225284,"0,000",,,N
IV Q 2010,PLN,28044,863,1664,546,4753,5616,279156,229440,"0,000",,,N
I Q 2011,PLN,27436,1907,1995,1442,4450,6357,294297,230882,"0,000",,,N
II Q 2011,PLN,24657,-1257,-1061,-1018,4202,2945,293438,214384,"0,000",,,N
III Q 2011,PLN,30057,2927,3279,2448,4606,7533,0,0,"0,000",,,N
IV Q 2009,PLN,28234,-335,-473,144,5908,5573,277310,233186,"0,000",,,N
I Q 2010,PLN,25070,1364,1260,925,3394,4758,281289,234232,"0,000",,,N
II Q 2010,PLN,29429,114,628,367,3556,3670,279198,227598,"0,000",,,N
III Q 2010,PLN,31897,2516,1722,1296,3475,5991,0,0,"0,000",,,N
IV Q 2008,PLN,30197,1883,5181,3509,3430,5313,301401,246797,"0,000",,,N
I Q 2009,PLN,27765,4178,4263,3181,3159,7337,294705,249978,"0,000",,,N
II Q 2009,PLN,23683,-2041,-1614,-1465,3535,1494,294101,234770,"0,000",,,N
III Q 2009,PLN,21703,-2196,-1937,-1607,3441,1245,0,0,"0,000",,,N
IV Q 2007,PLN,39695,8564,9863,7819,2173,10737,260473,240560,"86000,000","0,091","2,797",N
I Q 2008,PLN,23436,4202,5393,4171,1965,6167,262358,244731,"0,000",,,N
II Q 2008,PLN,26862,5829,6887,5191,2112,7941,255298,238056,"0,000",,,N
III Q 2008,PLN,33286,6247,7083,5237,2406,8653,0,0,"0,000",,,N
IV Q 2006,PLN,31002,8631,8777,7069,1374,10005,98741,83000,"72000,000","0,098","1,153",N
I Q 2007,PLN,30854,8379,8523,6801,2736,11115,106569,89801,"72000,000","0,094","1,247",N
II Q 2007,PLN,23052,6504,6609,5362,1467,7971,106844,91131,"72000,000","0,074","1,266",N
III Q 2007,PLN,23590,4496,5396,4274,1731,6227,0,0,"72000,000","0,059","0,000",N
IV Q 2005,PLN,29817,6964,7087,5791,1278,8242,90554,72679,"72000,000","0,080","1,009",N
I Q 2006,PLN,18073,6336,6523,4696,1442,7778,93293,77375,"72000,000","0,065","1,075",N
II Q 2006,PLN,17825,4339,4520,3326,1423,5762,83546,71197,"72000,000","0,046","0,989",N
III Q 2006,PLN,20563,3842,5815,4734,1376,5218,0,0,"72000,000","0,066","0,000",N
IV Q 2004,PLN,18306,3427,3991,3174,1288,4715,78743,63507,"72000,000","0,044","0,882",N
I Q 2005,PLN,10310,2129,2282,1831,1241,3370,73222,65338,"72000,000","0,025","0,907",N
II Q 2005,PLN,9788,1179,1006,593,1186,2365,73707,63231,"72000,000","0,008","0,878",N
III Q 2005,PLN,22637,4412,4507,3657,1326,5738,0,0,"72000,000","0,051","0,000",N
IV Q 2003,PLN,13668,1698,1529,945,886,2584,28481,10490,"46000,000","0,021","0,228",N
I Q 2004,PLN,9625,1846,2064,1578,970,2816,72568,60629,"72000,000","0,022","0,842",N
II Q 2004,PLN,10902,2434,2804,2239,958,3392,70136,59341,"72000,000","0,031","0,824",N
III Q 2004,PLN,13777,1914,2378,1895,1383,3297,0,0,"72000,000","0,026","0,000",N
IV Q 2002,PLN,13533,3084,3158,2362,715,3799,18898,5684,"23000,000","0,103","0,247",N
I Q 2003,PLN,9130,1627,668,234,577,2204,22561,4368,"23000,000","0,010","0,190",N
II Q 2003,PLN,10177,2645,2450,1970,727,3372,24002,6181,"23000,000","0,086","0,269",N
III Q 2003,PLN,8989,1916,1445,1064,850,2766,25524,7245,"23000,000","0,046","0,315",N
 Q 0000,PLN,18807,3639,4176,3316,2578,6217,78086,63001,"3600,000","0,921","17,500",N
IV Q 2000,PLN,0,0,0,0,0,0,10849,541,"23000,000","0,000","0,024",N
IV Q 2001,,0,0,0,0,0,0,20126,1497,"23000,000","0,000","0,065",N
