kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2022,PLN,88165,-792,-954,2749,1282,490,214268,2940,"41551,852","0,066","0,071",N
III Q 2022,PLN,75788,-2104,-2547,-8620,1124,-980,201744,-5680,"41551,852","-0,207","-0,137",N
IV Q 2022,PLN,47176,-3622,-4021,-5571,1287,-2335,187836,-13087,"41551,852","-0,134","-0,315",N
I Q 2023,PLN,43501,-1584,-2074,-3802,1250,-334,179839,-16889,"41551,852","-0,092","-0,406",N
II Q 2021,PLN,101329,4288,4256,-4705,1065,5353,228513,-20618,"41551,852","-0,113","-0,496",N
III Q 2021,PLN,88010,1798,-1960,-4435,1585,3383,220645,-22649,"41551,852","-0,107","-0,545",N
IV Q 2021,PLN,73658,251,-288,7450,1364,1615,201528,-15199,"41551,852","0,179","-0,366",N
I Q 2022,PLN,75260,8734,8417,5224,1140,9874,214995,191,"41551,852","0,126","0,005",N
II Q 2020,PLN,105211,1107,723,-5395,1768,2875,493005,-5342,"41551,852","-0,130","-0,129",N
III Q 2020,PLN,104682,10453,10287,7727,1381,11834,398427,2385,"41551,852","0,186","0,057",N
IV Q 2020,PLN,32569,-12126,-20269,-26902,1669,-10457,270801,-24517,"41551,852","-0,647","-0,590",N
I Q 2021,PLN,55611,-4049,-4180,8604,1556,-2493,251246,-15913,"41551,852","0,207","-0,383",N
II Q 2019,PLN,250398,-2067,-4041,-4230,1547,-520,530749,43709,"41551,852","-0,102","1,052",N
III Q 2019,PLN,250900,574,-1306,-885,1391,1965,576961,42823,"41551,852","-0,021","1,031",N
IV Q 2019,PLN,-254708,-23226,-20972,-32255,1195,-22031,540422,10568,"41551,852","-0,776","0,254",N
I Q 2020,PLN,112850,-2873,-3800,-10515,1731,-1142,548492,53,"41551,852","-0,253","0,001",N
II Q 2018,PLN,222775,8423,6864,3893,371,8794,483171,51321,"41551,852","0,094","1,235",N
III Q 2018,PLN,237148,13696,11701,8763,604,14300,535570,60084,"41551,852","0,211","1,446",N
IV Q 2018,PLN,236242,-1645,-3967,-2980,794,-851,466711,46301,"41551,852","-0,072","1,114",N
I Q 2019,PLN,304542,8655,6738,5377,1699,10354,619653,51678,"41551,852","0,129","1,244",N
II Q 2017,PLN,190826,13291,12703,13246,599,13890,1133675,394570,"41551,852","0,319","9,496",N
III Q 2017,PLN,183809,18081,17640,15435,594,18675,1244481,410005,"41551,852","0,371","9,867",N
IV Q 2017,PLN,195948,8726,7196,26090,478,9204,418682,76892,"41551,852","0,628","1,851",N
I Q 2018,PLN,211739,12481,11053,8764,297,12778,544308,85656,"41551,852","0,211","2,061",N
II Q 2016,PLN,164438,18771,18422,15747,584,19355,968774,340891,"41551,852","0,379","8,204",N
III Q 2016,PLN,172200,14763,14255,11513,585,15348,936523,368835,"41551,852","0,277","8,876",N
IV Q 2016,PLN,188205,18906,18507,12811,753,19659,967852,390505,"41551,852","0,308","9,398",N
I Q 2017,PLN,166555,17005,16252,13004,547,17552,1062346,407603,"41551,852","0,313","9,810",N
II Q 2015,PLN,145100,9111,6409,5764,786,9897,855745,303863,"41551,852","0,139","7,313",N
III Q 2015,PLN,109043,1878,-1401,16,966,2844,958455,303879,"41551,852","0,000","7,313",N
IV Q 2015,PLN,-231,8402,16452,21363,561,8963,863189,326058,"41551,852","0,514","7,847",N
I Q 2016,PLN,129025,7617,7212,6662,517,8134,935299,334458,"41551,852","0,160","8,049",N
II Q 2014,PLN,139979,16015,11806,9472,552,16567,982248,276925,"41551,852","0,228","6,665",N
III Q 2014,PLN,258197,27019,21948,17716,802,27821,855281,291830,"41551,852","0,426","7,023",N
IV Q 2014,PLN,153217,2809,-303,-664,839,3648,832306,292899,"41551,852","-0,016","7,049",N
I Q 2015,PLN,157539,10898,6783,5200,826,11724,883966,298099,"41551,852","0,125","7,174",N
II Q 2013,PLN,93418,9341,6300,4779,955,10296,984961,224676,"36923,400","0,129","6,085",N
III Q 2013,PLN,84191,4308,-127,36,907,5215,1039895,224712,"36923,400","0,001","6,086",N
IV Q 2013,PLN,222287,11702,7152,3036,846,12548,983242,247772,"41551,852","0,073","5,963",N
I Q 2014,PLN,187115,28263,23180,19681,869,29132,954821,267676,"41551,852","0,474","6,442",N
II Q 2012,PLN,76848,3526,382,-505,841,4367,800674,201707,"36923,400","-0,014","5,463",N
III Q 2012,PLN,67475,-4874,-3997,-4150,871,-4003,847930,197182,"36923,400","-0,112","5,340",N
IV Q 2012,PLN,125872,31182,22946,20370,873,32055,861913,217401,"36923,400","0,552","5,888",N
I Q 2013,PLN,94436,10399,7705,5794,856,11255,891028,223145,"36923,400","0,157","6,043",N
II Q 2011,PLN,68055,42769,37615,33905,733,43502,656290,177805,"36923,400","0,918","4,816",N
III Q 2011,PLN,69233,17407,17912,14441,758,18165,0,0,"36923,400","0,391","0,000",N
IV Q 2011,PLN,109683,-6296,3148,311,770,-5526,680925,190259,"36923,400","0,008","5,153",N
I Q 2012,PLN,84221,6420,3108,2011,768,7188,732535,190920,"36923,400","0,054","5,171",N
II Q 2010,PLN,94328,-280,-2246,-2946,675,395,376322,127513,"36923,400","-0,080","3,453",N
III Q 2010,PLN,87948,9679,8060,6442,817,10496,374012,133955,"36923,400","0,174","3,628",N
IV Q 2010,PLN,83883,12189,15298,13169,718,12907,466575,147124,"36923,400","0,357","3,985",N
I Q 2011,PLN,71980,4859,1950,408,736,5595,497825,147532,"36923,400","0,011","3,996",N
II Q 2009,PLN,75206,3661,2258,3135,523,4184,422112,88301,"35914,200","0,087","2,459",N
III Q 2009,PLN,72522,8143,6867,5274,634,8777,0,0,"35914,200","0,147","0,000",N
IV Q 2009,PLN,164093,13698,12478,10266,692,14390,358202,109864,"36528,200","0,281","3,008",N
I Q 2010,PLN,78739,16551,14855,12876,664,17215,348076,137283,"36528,200","0,352","3,758",N
II Q 2008,PLN,59287,7310,5811,4586,512,7822,508772,76743,"35914,200","0,128","2,137",N
III Q 2008,PLN,147277,19786,18026,14134,562,20348,461346,90878,"35914,200","0,394","2,530",N
IV Q 2008,PLN,49343,-7251,-9624,-8054,663,-6588,484499,79343,"35914,200","-0,224","2,209",N
I Q 2009,PLN,94949,9423,7635,5823,717,10140,432507,85166,"35914,200","0,162","2,371",N
II Q 2007,PLN,60919,10294,9390,6708,0,10294,236755,70375,"35914,200","0,187","1,960",N
III Q 2007,PLN,58714,4161,4528,3871,149,4310,326166,74509,"35914,200","0,108","2,075",N
IV Q 2007,PLN,65848,-841,-4987,-4050,787,-54,382831,72691,"35914,200","-0,113","2,024",N
I Q 2008,PLN,46746,1649,-3166,-3693,610,2259,449103,68998,"35914,200","-0,103","1,921",N
IV Q 2003,PLN,0,0,0,0,0,0,58418,18829,"35914,200","0,000","0,524",N
IV Q 2004,PLN,0,0,0,0,0,0,72289,31273,"35914,200","0,000","0,871",N
IV Q 2005,PLN,0,0,0,0,0,0,143132,39355,"35914,200","0,000","1,096",N
IV Q 2006,PLN,0,0,0,0,0,0,186313,65042,"35914,200","0,000","1,811",N
