kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,11530,172,366,314,535,707,74421,52456,"4328,500","0,073","12,119",N
I Q 2023,PLN,11898,461,501,475,540,1001,71888,52979,"4373,305","0,109","12,114",N
II Q 2023,PLN,11985,871,378,384,551,1422,71237,51319,"4373,305","0,088","11,735",N
III Q 2023,PLN,11564,-574,-363,-366,660,86,73196,50914,"4193,118","-0,087","12,142",N
IV Q 2021,PLN,21741,3531,2867,1995,479,4010,61929,29193,"4320,000","0,462","6,758",N
I Q 2022,PLN,104226,30223,30448,24194,480,30703,77267,54056,"4328,500","5,589","12,488",N
II Q 2022,PLN,15000,3561,4154,3444,497,4058,78714,55594,"4328,500","0,796","12,844",N
III Q 2022,PLN,14170,898,901,933,508,1406,73018,51635,"4328,500","0,216","11,929",N
IV Q 2020,PLN,22916,4228,4110,3427,511,4739,47701,19885,"4210,000","0,814","4,723",N
I Q 2021,PLN,26254,7833,7623,6261,360,8193,48882,26180,"4210,000","1,487","6,219",N
II Q 2021,PLN,15259,824,826,639,350,1174,49817,25795,"4210,000","0,152","6,127",N
III Q 2021,PLN,14278,1465,1459,1348,465,1930,50895,27160,"4210,000","0,320","6,451",N
IV Q 2019,PLN,8174,603,522,339,345,948,43296,16420,"3730,000","0,091","4,402",N
I Q 2020,PLN,7317,617,92,31,338,955,43819,16702,"0,000",,,N
II Q 2020,PLN,20605,3801,3650,3061,326,4127,49304,21792,"4210,000","0,727","5,176",N
III Q 2020,PLN,12163,1360,1376,1196,318,1678,51362,22870,"4210,000","0,284","5,432",N
IV Q 2018,PLN,9158,125,-2,-10,487,612,43964,16764,"3730,000","-0,003","4,494",N
I Q 2019,PLN,7486,-20,-191,-177,397,377,42770,17003,"3730,000","-0,047","4,558",N
II Q 2019,PLN,7813,-7,-92,-118,418,411,43429,16427,"3730,000","-0,032","4,404",N
III Q 2019,PLN,7001,107,-57,-58,469,576,43297,16391,"3730,000","-0,016","4,394",N
IV Q 2017,PLN,8372,236,202,163,437,673,27305,17295,"3730,000","0,044","4,637",N
I Q 2018,PLN,7922,256,281,251,345,601,31345,18212,"3730,000","0,067","4,882",N
II Q 2018,PLN,8175,668,611,514,229,897,40891,18077,"3730,000","0,138","4,846",N
III Q 2018,PLN,7831,-583,-662,-584,358,-225,43831,17485,"3730,000","-0,157","4,688",N
IV Q 2016,PLN,11549,669,626,572,524,1193,24734,16712,"3730,000","0,153","4,480",N
I Q 2017,PLN,8106,392,369,317,468,860,25104,17505,"3730,000","0,085","4,693",N
II Q 2017,PLN,8093,96,110,115,448,544,25085,17382,"3730,000","0,031","4,660",N
III Q 2017,PLN,8432,444,407,389,447,891,27560,17732,"3730,000","0,104","4,754",N
IV Q 2013,PLN,5408,242,247,201,404,646,22599,14375,"3040,000","0,066","4,729",N
I Q 2016,PLN,6218,530,509,444,432,962,21499,16083,"3040,000","0,146","5,291",N
II Q 2016,PLN,5711,232,224,197,404,636,21925,16280,"3040,000","0,065","5,355",N
III Q 2016,PLN,5267,183,181,186,412,595,21287,15858,"3040,000","0,061","5,216",N
IV Q 2012,PLN,12959,1420,1371,1067,558,1978,22217,14441,"3040,000","0,351","4,750",N
