kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,77576,10913,7324,5024,8532,19445,810326,606060,"85864,200","0,059","7,058",N
I Q 2023,PLN,34371,2604,739,-134,8593,11197,815910,605937,"85864,200","-0,002","7,057",N
II Q 2023,PLN,49040,4018,2069,1423,11537,15555,818873,607515,"85864,200","0,017","7,075",N
III Q 2023,PLN,50702,-2011,-4423,-4415,5886,3875,823197,602956,"85864,200","-0,051","7,022",N
IV Q 2021,PLN,41848,3005,794,-330,7987,10992,848127,604514,"85864,200","-0,004","7,040",N
I Q 2022,PLN,50043,546,-1807,-3133,8127,8673,842580,619571,"85864,200","-0,036","7,216",N
II Q 2022,PLN,48050,5939,1364,1464,9246,15185,829769,611717,"85864,200","0,017","7,124",N
III Q 2022,PLN,57490,3860,-1929,-1934,8498,12358,843851,609708,"85864,200","-0,023","7,101",N
IV Q 2020,PLN,91048,24378,24107,18713,7761,32139,867107,619645,"85864,200","0,218","7,217",N
I Q 2021,PLN,36821,187,-2651,-5066,7761,7948,858611,614560,"85864,200","-0,059","7,157",N
II Q 2021,PLN,36534,2559,4460,3666,7939,10498,854954,618280,"85864,200","0,043","7,201",N
III Q 2021,PLN,47831,8591,5728,4613,7951,16542,866053,622840,"85864,200","0,054","7,254",N
IV Q 2019,PLN,54034,-41782,-41468,-39044,8089,-33693,885079,585320,"85864,200","-0,455","6,817",N
I Q 2020,PLN,37106,13892,6406,5984,8221,22113,890601,587840,"85864,200","0,070","6,846",N
II Q 2020,PLN,50187,6371,8343,6830,7839,14210,884960,598481,"85864,200","0,080","6,970",N
III Q 2020,PLN,43447,3939,2755,2393,7910,11849,880057,600847,"85864,200","0,028","6,998",N
IV Q 2018,PLN,60985,-17234,-15546,-10460,6556,-10678,1010026,712793,"85864,200","-0,122","8,301",N
I Q 2019,PLN,30744,-22503,4335,27035,7671,-14832,1033714,735988,"85864,200","0,315","8,572",N
