kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,421601,-173697,-164649,-134635,100587,-73110,4818709,3697105,"34013,590","-3,958","108,695",N
I Q 2023,PLN,940678,155752,156542,126426,107207,262959,5121279,3823531,"34013,590","3,717","112,412",N
II Q 2023,PLN,884402,119180,122846,99502,100287,219467,5253269,3832786,"34013,590","2,925","112,684",N
III Q 2023,PLN,863685,34042,37790,30828,110807,144849,5295484,3863614,"34013,590","0,906","113,590",N
IV Q 2021,PLN,728689,162849,161397,130353,104726,267575,4731540,3607333,"34013,590","3,832","106,056",N
I Q 2022,PLN,731768,179651,178097,143180,96806,276457,4855050,3750513,"34013,590","4,209","110,265",N
II Q 2022,PLN,730821,232307,236484,192618,102314,334621,5042405,3866524,"34013,590","5,663","113,676",N
III Q 2022,PLN,567525,-37942,-30250,-25821,98764,60822,4920014,3840703,"34013,590","-0,759","112,917",N
IV Q 2020,PLN,468579,44499,47603,38083,96942,141441,4375263,3289385,"34013,590","1,120","96,708",N
I Q 2021,PLN,562429,69596,67162,54356,105719,175315,4436669,3339615,"34013,590","1,598","98,185",N
II Q 2021,PLN,521509,56749,55038,45357,107930,164679,4451907,3380162,"34013,590","1,333","99,377",N
III Q 2021,PLN,636571,100687,98614,76985,111776,212463,4573714,3453839,"34013,590","2,263","101,543",N
IV Q 2019,PLN,531749,55543,56060,44795,100953,156496,4252464,3218143,"34013,590","1,317","94,613",N
I Q 2020,PLN,464081,44894,43563,33502,89913,134807,4351817,3251645,"34013,590","0,985","95,598",N
II Q 2020,PLN,384930,5006,3447,3057,82345,87351,4375110,3252551,"34013,590","0,090","95,625",N
III Q 2020,PLN,504522,842,-1423,-1766,95486,96328,4373064,3250785,"34013,590","-0,052","95,573",N
IV Q 2018,PLN,421034,-30586,-27947,-22251,100332,69746,3933351,2939939,"34013,590","-0,654","86,434",N
I Q 2019,PLN,540787,127966,131804,109781,94894,222860,4004905,3049720,"34013,590","3,228","89,662",N
II Q 2019,PLN,557549,113841,111273,87949,97718,211559,4119940,3111526,"34013,590","2,586","91,479",N
III Q 2019,PLN,527776,77872,79439,66029,99055,176927,4169541,3177555,"34013,590","1,941","93,420",N
IV Q 2017,PLN,473189,655384,648944,524257,95719,751103,4158872,2891525,"34013,590","15,413","85,011",N
I Q 2018,PLN,398697,28509,28529,22960,98967,127476,4077251,2914485,"34013,590","0,675","85,686",N
II Q 2018,PLN,457255,49529,51121,43173,101618,151147,4153345,2952918,"34013,590","1,269","86,816",N
III Q 2018,PLN,479685,14575,13217,9744,106247,120822,4095361,2962662,"34013,590","0,286","87,102",N
IV Q 2016,PLN,471878,82370,77753,61761,91890,174260,3800289,2282258,"34013,590","1,816","67,098",N
I Q 2017,PLN,465166,89743,84862,67852,90077,179820,3550140,2350110,"34013,590","1,995","69,093",N
II Q 2017,PLN,436920,57731,54431,43910,81084,138815,3581570,2332890,"34013,590","1,291","68,587",N
III Q 2017,PLN,405046,44412,40524,31594,89492,133904,3630443,2364484,"34013,590","0,929","69,516",N
IV Q 2015,PLN,558387,-500766,-507236,-411883,104171,-396595,3644024,2112919,"34013,590","-12,109","62,120",N
I Q 2016,PLN,420569,78885,72829,54088,94460,173345,3680535,2154223,"34013,590","1,590","63,334",N
II Q 2016,PLN,428376,17680,19296,20357,86354,104034,3651410,2173645,"34013,590","0,598","63,905",N
III Q 2016,PLN,465442,58072,53767,45330,89476,147548,3694210,2218975,"34013,590","1,333","65,238",N
IV Q 2014,PLN,523224,135707,130011,101410,111762,247469,4364415,2514338,"34013,590","2,981","73,922",N
I Q 2015,PLN,428279,48152,42610,32522,96243,144395,4365783,2534086,"34013,590","0,956","74,502",N
II Q 2015,PLN,415281,53168,50602,42822,94224,147392,4281522,2473034,"34013,590","1,259","72,707",N
III Q 2015,PLN,483424,73225,70975,56696,93109,166334,4289335,2529904,"34013,590","1,667","74,379",N
IV Q 2013,PLN,481531,117244,112760,104978,89357,206601,3844130,2445227,"34013,590","3,086","71,890",N
I Q 2014,PLN,481540,85958,79214,62381,88191,174149,3956178,2514216,"34013,590","1,834","73,918",N
II Q 2014,PLN,463831,40700,37582,28836,89419,130119,3957149,2343588,"34013,590","0,848","68,902",N
III Q 2014,PLN,544973,99950,99047,80218,98266,198216,4213919,2415733,"34013,590","2,358","71,023",N
IV Q 2012,PLN,443561,48439,44944,35110,72527,120966,3485156,2286381,"34013,590","1,032","67,220",N
I Q 2013,PLN,430758,89714,87638,69863,81970,171684,3505889,2356075,"34013,590","2,054","69,269",N
II Q 2013,PLN,448146,98442,94337,71881,76424,174866,3651415,2255364,"34013,590","2,113","66,308",N
III Q 2013,PLN,539395,119403,118994,82695,82387,201790,3950712,2330339,"34013,590","2,431","68,512",N
IV Q 2011,PLN,435588,164048,162882,133069,66811,230859,3076228,2133067,"34013,590","3,912","62,712",N
I Q 2012,PLN,477302,119297,123703,99106,78763,198060,3264744,2232173,"34013,590","2,914","65,626",N
