kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,396969,43189,246358,87154,56987,17759,22259721,2056487,"92947,671","22,125","0,613",N
II Q 2023,PLN,414087,42400,262874,11682,-1236,18459,22275352,2073575,"92947,671","22,309","-0,013",N
III Q 2023,PLN,408944,43363,261566,37884,22904,18347,21998078,2120179,"92947,671","22,810","0,246",N
IV Q 2023,PLN,378700,45738,250749,20312,-281,19319,22032451,2148620,"92947,671","23,116","-0,003",N
I Q 2022,PLN,170140,50854,190105,35740,23387,15129,20371100,1848331,"92947,671","19,886","0,252",N
II Q 2022,PLN,271731,39677,262459,75349,60490,15369,23609563,1888660,"92947,671","20,320","0,651",N
III Q 2022,PLN,330874,38686,230565,39321,32026,15591,22254723,1926233,"92947,671","20,724","0,345",N
IV Q 2022,PLN,433133,38775,271924,43725,12341,16644,22006181,1964138,"92947,671","21,132","0,133",N
I Q 2021,PLN,102516,46904,149356,7752,2120,13647,19941157,1915137,"92947,671","20,604","0,023",N
II Q 2021,PLN,103475,43586,148856,10005,4744,13801,19675003,1904966,"92947,671","20,495","0,051",N
III Q 2021,PLN,100754,44086,146229,29735,23875,13975,19498386,1920309,"92947,671","20,660","0,257",N
IV Q 2021,PLN,123895,47166,174122,31777,16717,14420,20229559,1865795,"92947,671","20,074","0,180",N
I Q 2020,PLN,153308,38894,159419,34573,23569,14098,19529063,2217967,"92947,671","23,863","0,254",N
II Q 2020,PLN,139880,42368,159025,24119,16113,13933,19725837,2258382,"92947,671","24,297","0,173",N
III Q 2020,PLN,117228,42854,140139,12332,10842,12057,20487302,2265816,"92947,671","24,377","0,117",N
IV Q 2020,PLN,108166,47802,156307,-356777,-357458,12817,20505829,1913170,"92947,671","20,583","-3,846",N
I Q 2019,PLN,153862,36253,146059,28266,17084,14089,18455780,2141627,"92947,671","23,041","0,184",N
II Q 2019,PLN,160117,34336,148788,34708,27035,14055,18478937,2172566,"92947,671","23,374","0,291",N
III Q 2019,PLN,157993,30333,147912,26163,23499,13754,18417845,2196871,"92947,671","23,636","0,253",N
IV Q 2019,PLN,155618,31143,144035,21051,4376,13760,18486997,2199930,"92947,671","23,668","0,047",N
I Q 2018,PLN,154727,36262,133719,25046,16347,9974,19411387,1809680,"62873,245","28,783","0,260",N
II Q 2018,PLN,160352,33937,167861,18935,17832,9773,19554837,1816906,"62873,245","28,898","0,284",N
III Q 2018,PLN,159666,31425,139495,38034,24485,10000,18397348,2136985,"92947,671","22,991","0,263",N
IV Q 2018,PLN,153559,33403,137323,6512,5064,10036,18251025,2137566,"92947,671","22,998","0,054",N
I Q 2017,PLN,170386,38364,152217,31770,19953,10742,20374354,1812593,"62873,245","28,829","0,317",N
II Q 2017,PLN,169123,34576,150770,31126,23401,10613,19908499,1842989,"62873,245","29,313","0,372",N
III Q 2017,PLN,163908,34271,143713,22212,13576,10545,19498999,1865050,"62873,245","29,664","0,216",N
IV Q 2017,PLN,160124,37253,150417,-13400,-10868,10064,19676720,1852837,"62873,245","29,469","-0,173",N
I Q 2016,PLN,176332,34323,115205,-12656,-12916,11606,22069014,1451134,"22873,245","63,442","-0,565",N
II Q 2016,PLN,171157,36565,121681,-626,1170,11377,21146877,1443345,"22873,245","63,102","0,051",N
III Q 2016,PLN,174968,32487,134660,15766,12656,11427,21003704,1852637,"62873,245","29,466","0,201",N
IV Q 2016,PLN,172231,36770,150054,-81396,-61058,11005,20829489,1781889,"62873,245","28,341","-0,971",N
I Q 2015,PLN,166419,34946,108979,122,-737,13919,19572032,1561494,"22873,245","68,267","-0,032",N
II Q 2015,PLN,159203,35521,118722,3247,3387,13627,19884123,1520239,"22873,245","66,464","0,148",N
III Q 2015,PLN,161703,36948,117990,-6136,-7395,13103,19775570,1524999,"22873,245","66,672","-0,323",N
IV Q 2015,PLN,172587,35833,140231,-54084,-46373,11885,20921772,1468556,"22873,245","64,204","-2,027",N
I Q 2014,PLN,184335,34624,116096,11711,8629,11821,19334650,1493361,"22873,245","65,289","0,377",N
II Q 2014,PLN,190274,30958,138749,31033,26039,11896,19523990,1519812,"22873,245","66,445","1,138",N
III Q 2014,PLN,191243,33166,135758,30171,22995,12686,19047162,1547509,"22873,245","67,656","1,005",N
IV Q 2014,PLN,179678,36102,143316,9512,8621,12730,19671909,1547768,"22873,245","67,667","0,377",N
I Q 2013,PLN,215027,32749,113431,21144,16711,11233,17683722,1451074,"22873,245","63,440","0,731",N
II Q 2013,PLN,193155,33477,132055,29796,22607,11698,17626333,1457432,"22873,245","63,718","0,988",N
III Q 2013,PLN,180220,35544,114792,1468,1051,11429,17998782,1452343,"22873,245","63,495","0,046",N
IV Q 2013,PLN,184088,38407,138575,20348,23991,11810,18417676,1478110,"22873,245","64,622","1,049",N
I Q 2012,PLN,220863,33606,106571,15521,12566,8294,15728654,1190372,"16373,245","72,702","0,767",N
II Q 2012,PLN,219316,33081,128949,11776,11382,8428,15996971,1423178,"22873,245","62,220","0,498",N
III Q 2012,PLN,233805,32483,116425,10976,7440,8381,16421862,1437564,"22873,245","62,849","0,325",N
IV Q 2012,PLN,228351,32142,118332,-48,2694,10804,16866539,1441859,"22873,245","63,037","0,118",N
I Q 2011,PLN,185971,35379,114164,17384,14965,7549,15502035,1088078,"16373,245","66,455","0,914",N
II Q 2011,PLN,201502,35720,123018,18131,13517,7790,15127106,1113858,"16373,245","68,029","0,826",N
III Q 2011,PLN,213548,35496,141733,30240,24380,7843,16423519,1149159,"16373,245","70,185","1,489",N
IV Q 2011,PLN,224861,35921,118118,11136,9556,7958,15637117,1161655,"16373,245","70,948","0,584",N
I Q 2010,PLN,156664,30187,94452,15572,19452,6245,13294320,949774,"150530,000","6,310","0,129",N
II Q 2010,PLN,155387,37518,129717,20863,17072,6498,13125486,1050705,"16373,245","64,172","1,043",N
III Q 2010,PLN,166867,34980,112857,24251,14649,6820,14372395,1077310,"16373,245","65,797","0,895",N
IV Q 2010,PLN,178303,39023,124742,12683,12009,7061,15180187,1083108,"16373,245","66,151","0,733",N
I Q 2009,PLN,159996,26336,111436,8877,6875,6368,11478489,901054,"150530,000","5,986","0,046",N
II Q 2009,PLN,142473,32988,96737,-6041,-4917,6243,11516732,896358,"150530,000","5,955","-0,033",N
III Q 2009,PLN,141558,31859,96457,16257,12895,6262,12519589,908499,"150530,000","6,035","0,086",N
IV Q 2009,PLN,154840,29766,95377,15315,12040,6346,12086840,919954,"150530,000","6,111","0,080",N
I Q 2008,PLN,132654,29932,89890,25006,20125,6265,9131272,950570,"150530,000","6,315","0,134",N
II Q 2008,PLN,144621,25045,86006,18341,14873,6379,9894608,951454,"150530,000","6,321","0,099",N
III Q 2008,PLN,159937,25279,98446,25557,20375,6314,9816801,982419,"150530,000","6,526","0,135",N
IV Q 2008,PLN,165501,27452,92732,-34157,-27851,6741,11181565,890556,"150530,000","5,916","-0,185",N
I Q 2007,PLN,96365,30738,81327,22484,18382,6126,8954183,705985,"13200,000","53,484","1,393",N
II Q 2007,PLN,111786,34917,91637,25397,26364,6061,9518079,898566,"150530,000","5,969","0,175",N
III Q 2007,PLN,115345,33344,88158,26901,20763,6096,8812254,917061,"150530,000","6,092","0,138",N
IV Q 2007,PLN,124056,31272,90256,23875,20110,6191,9128911,891216,"150530,000","5,921","0,134",N
I Q 2006,PLN,90204,28074,77093,11627,8700,6034,7378256,634213,"13200,000","48,046","0,659",N
II Q 2006,PLN,91469,29374,77005,20472,15549,5959,8263951,645371,"13200,000","48,892","1,178",N
III Q 2006,PLN,93163,25258,76499,29762,23993,6372,7997723,671160,"13200,000","50,845","1,818",N
IV Q 2006,PLN,90436,34557,80907,14052,11819,6032,8163804,686597,"13200,000","52,015","0,895",N
I Q 2005,PLN,105699,22549,69836,15375,10954,5237,7499135,621099,"13200,000","47,053","0,830",N
II Q 2005,PLN,102051,21910,77024,5090,2954,5261,6639004,599646,"13200,000","45,428","0,224",N
III Q 2005,PLN,97165,22553,78179,24080,17330,5342,7756402,613749,"13200,000","46,496","1,313",N
IV Q 2005,PLN,95011,27392,83789,12411,10109,5596,7507301,623862,"13200,000","47,262","0,766",N
I Q 2004,PLN,77487,22156,69490,11817,8376,0,6126446,578135,"13200,000","43,798","0,635",N
II Q 2004,PLN,83680,24020,70119,12352,8549,4719,6424044,583120,"13200,000","44,176","0,648",N
III Q 2004,PLN,93328,23945,66851,13204,10358,4806,6605010,594083,"13200,000","45,006","0,785",N
IV Q 2004,PLN,102117,31988,79491,10483,9423,4902,6709657,606060,"13200,000","45,914","0,714",N
I Q 2003,PLN,83119,19299,64042,12464,9270,4502,5726692,560879,"13200,000","42,491","0,702",N
II Q 2003,PLN,71946,20382,61585,-2593,3123,4396,5494673,559522,"13200,000","42,388","0,237",N
III Q 2003,PLN,70175,23307,66788,12788,9733,4506,5630369,570018,"13200,000","43,183","0,737",N
IV Q 2003,PLN,76170,24161,41847,9724,767,4711,5919391,569680,"13200,000","43,158","0,058",N
I Q 2002,PLN,118648,18773,76376,25282,17176,4932,5215194,549644,"13200,000","41,640","1,301",N
II Q 2002,PLN,108997,20710,73827,7909,6460,4736,5291248,544224,"13200,000","41,229","0,489",N
III Q 2002,PLN,96479,21022,72274,6365,5516,4882,5288605,548771,"13200,000","41,574","0,418",N
IV Q 2002,PLN,87630,22292,64238,-2481,3483,4835,5356259,553352,"13200,000","41,921","0,264",N
I Q 2001,PLN,167821,21149,74803,20529,14223,4550,5413891,593226,"13200,000","44,941","1,078",N
II Q 2001,PLN,168704,22756,73533,-9823,-20105,4517,5653208,569214,"13200,000","43,122","-1,523",N
III Q 2001,PLN,168377,22938,76968,-5016,-1260,4772,5830767,573332,"13200,000","43,434","-0,095",N
IV Q 2001,PLN,144677,24973,95251,-51153,-34636,5269,5205495,533527,"13200,000","40,419","-2,624",N
II Q 1999,PLN,0,0,0,0,0,0,4027390,536962,"0,000",,,N
IV Q 1999,PLN,0,0,0,0,0,0,3937817,560726,"0,000",,,N
II Q 2000,PLN,0,0,0,0,0,0,4958316,589810,"0,000",,,N
IV Q 2000,PLN,0,0,0,0,0,0,4828275,576984,"13200,000","43,711","0,000",N
 Q 0000,PLN,108997,20710,73865,7909,6460,236267,5291248,544224,"13200,000","0,489","41,229",N
II Q 1998,PLN,0,0,0,0,0,0,3090172,460191,"0,000",,,N
IV Q 1998,,0,0,0,0,0,0,3274424,510913,"0,000",,,N
