kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,551862,10364,5008,1105,1998,12362,631063,326312,"19514,647","0,057","16,721",N
I Q 2023,PLN,578653,10934,3030,2479,2148,13082,686061,328795,"19514,647","0,127","16,849",N
II Q 2023,PLN,506886,8822,3664,2589,2157,10979,606352,310622,"19514,647","0,133","15,917",N
III Q 2023,PLN,485686,7913,541,2326,2183,10096,576685,312952,"19514,647","0,119","16,037",N
IV Q 2021,PLN,615349,11223,8383,7214,1689,12912,676396,259677,"19514,647","0,370","13,307",N
I Q 2022,PLN,636794,70994,57890,45347,1746,72740,770776,305027,"19514,647","2,324","15,631",N
II Q 2022,PLN,799464,87826,76072,53492,1771,89597,783405,315572,"19514,647","2,741","16,171",N
III Q 2022,PLN,754463,5492,3434,9627,1737,7229,737641,325203,"19514,647","0,493","16,665",N
IV Q 2020,PLN,331477,13709,14009,12107,1416,15125,419159,114624,"19514,647","0,620","5,874",N
I Q 2021,PLN,404196,48737,40441,31550,1548,50285,480813,145229,"19514,647","1,617","7,442",N
II Q 2021,PLN,584067,101257,97962,77158,1583,102840,638370,219380,"19514,647","3,954","11,242",N
III Q 2021,PLN,676955,66888,49145,34932,1607,68495,738614,253367,"19514,647","1,790","12,983",N
IV Q 2019,PLN,280526,5335,5663,4796,1381,6716,413873,101297,"19514,647","0,246","5,191",N
I Q 2020,PLN,314533,6659,2454,2201,1417,8076,459990,102551,"19514,647","0,113","5,255",N
II Q 2020,PLN,268881,3010,117,436,1420,4430,457763,102039,"19514,647","0,022","5,229",N
III Q 2020,PLN,289505,4891,3760,2333,1401,6292,427094,103424,"19514,647","0,120","5,300",N
