kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,8396,1114,1105,817,713,1827,31823,22030,"9861,865","0,083","2,234",N
I Q 2023,PLN,8001,1355,1409,1110,719,2074,32548,23361,"9861,865","0,113","2,369",N
II Q 2023,PLN,7866,777,807,466,736,1513,32900,18411,"9861,865","0,047","1,867",N
III Q 2023,PLN,7835,809,876,596,748,1557,27670,19331,"9861,865","0,060","1,960",N
IV Q 2021,PLN,10149,1963,2174,1691,313,2276,32897,25101,"9861,865","0,171","2,545",N
I Q 2022,PLN,9001,2174,2251,1774,519,2693,34700,26562,"9861,865","0,180","2,693",N
II Q 2022,PLN,8643,1026,1027,594,686,1712,36614,20144,"9861,865","0,060","2,043",N
III Q 2022,PLN,8478,1108,1334,1053,724,1832,30712,21528,"9861,865","0,107","2,183",N
IV Q 2020,PLN,34278,24827,24845,20089,193,25020,52372,33881,"9861,865","2,037","3,436",N
I Q 2021,PLN,8718,2561,2573,2091,339,2900,43995,36074,"9861,865","0,212","3,658",N
II Q 2021,PLN,8730,2620,2763,2246,378,2998,46110,20973,"9861,865","0,228","2,127",N
III Q 2021,PLN,9524,3089,3105,2492,284,3373,31177,23641,"9861,865","0,253","2,397",N
IV Q 2019,PLN,7534,2743,2779,2183,163,2906,18110,14135,"9861,865","0,221","1,433",N
I Q 2020,PLN,4925,984,1015,818,177,1161,17613,14942,"9861,865","0,083","1,515",N
II Q 2020,PLN,9060,4519,4576,3667,185,4704,18269,15181,"9861,865","0,372","1,539",N
III Q 2020,PLN,6473,1831,1834,1484,195,2026,19519,16743,"9861,865","0,151","1,698",N
IV Q 2018,PLN,4277,513,549,455,0,513,13610,11525,"9861,865","0,046","1,169",N
I Q 2019,PLN,3823,349,367,279,0,349,13830,11827,"9861,865","0,028","1,199",N
II Q 2019,PLN,5047,1118,1173,948,145,1263,14831,11400,"9861,865","0,096","1,156",N
III Q 2019,PLN,4336,636,655,535,160,796,14018,11957,"9861,865","0,054","1,212",N
IV Q 2017,PLN,5169,1609,1644,1351,0,1609,14606,12310,"9861,865","0,137","1,248",N
I Q 2018,PLN,3432,273,300,232,0,273,14365,12620,"9861,865","0,024","1,280",N
II Q 2018,PLN,3650,172,214,147,0,172,14535,10634,"9861,865","0,015","1,078",N
III Q 2018,PLN,3899,508,535,424,0,508,12804,11093,"9861,865","0,043","1,125",N
IV Q 2016,PLN,3037,781,825,699,0,781,12419,10998,"9861,865","0,071","1,115",N
I Q 2017,PLN,2801,475,513,435,0,475,12670,11496,"9861,865","0,044","1,166",N
II Q 2017,PLN,3015,450,496,387,0,450,13091,10578,"9861,865","0,039","1,073",N
III Q 2017,PLN,3099,295,325,251,0,295,12262,10903,"9861,865","0,025","1,106",N
IV Q 2015,PLN,2669,333,375,276,0,333,11630,10326,"9861,865","0,028","1,047",N
I Q 2016,PLN,2340,150,252,200,0,150,11709,10568,"9861,865","0,020","1,072",N
II Q 2016,PLN,2397,135,179,133,0,135,11211,10048,"9861,865","0,013","1,019",N
III Q 2016,PLN,2547,377,411,339,0,377,11487,10390,"9861,865","0,034","1,054",N
IV Q 2014,PLN,2689,295,345,273,0,295,11901,10740,"9861,865","0,028","1,089",N
I Q 2015,PLN,2666,264,306,259,0,264,12120,10973,"9861,865","0,026","1,113",N
II Q 2015,PLN,2560,123,172,133,0,123,11174,9911,"9861,865","0,014","1,005",N
III Q 2015,PLN,2426,150,188,142,0,150,11054,10092,"9861,865","0,014","1,023",N
IV Q 2013,PLN,2542,304,340,328,0,304,11182,10043,"9861,865","0,033","1,018",N
I Q 2014,PLN,2700,340,406,344,0,340,11642,10470,"9861,865","0,035","1,062",N
II Q 2014,PLN,2836,423,474,381,0,423,12010,10022,"9861,865","0,039","1,016",N
III Q 2014,PLN,2827,440,497,426,0,440,11579,10473,"9861,865","0,043","1,062",N
IV Q 2012,PLN,1735,-328,-230,-236,0,-328,10036,8886,"9207,885","-0,026","0,965",N
I Q 2013,PLN,1949,-11,81,85,0,-11,10198,9068,"9207,885","0,009","0,985",N
II Q 2013,PLN,2175,149,224,202,0,149,10172,9155,"9207,885","0,022","0,994",N
III Q 2013,PLN,2118,92,116,93,0,92,10817,9738,"9861,865","0,009","0,987",N
IV Q 2011,PLN,1622,0,-22,-138,0,0,7787,6656,"8839,395","-0,016","0,753",N
I Q 2012,PLN,1526,0,-51,-57,0,0,10218,9427,"9207,885","-0,006","1,024",N
II Q 2012,PLN,1612,0,-160,-209,0,0,10012,9217,"9207,885","-0,023","1,001",N
III Q 2012,PLN,1669,-279,-40,20,0,-279,10139,9167,"9207,885","0,002","0,996",N
