kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,2441700,-50100,-122100,-99800,141700,91600,7064100,416300,"54868,000","-1,819","7,587",N
II Q 2023,PLN,2064100,-67000,-154100,-140300,155500,88500,7344800,486100,"54868,000","-2,557","8,859",N
III Q 2023,PLN,2424500,79300,26000,33700,144500,223800,7260500,797100,"68868,000","0,489","11,574",N
IV Q 2023,PLN,2430400,76200,-28800,5100,153300,229500,7878200,801900,"68868,000","0,074","11,644",N
I Q 2022,PLN,2032800,-46200,-93200,-148900,146900,100700,7500700,985200,"54868,000","-2,714","17,956",N
II Q 2022,PLN,1882000,-56500,-154500,-208600,148000,91500,7299700,786300,"54868,000","-3,802","14,331",N
III Q 2022,PLN,2377400,31300,-57300,-44300,147800,179100,7584500,750700,"54868,000","-0,807","13,682",N
IV Q 2022,PLN,2422100,24000,-65000,-64900,577300,601300,7536400,684000,"54868,000","-1,183","12,466",N
I Q 2021,PLN,0,0,0,0,0,0,6647400,181700,"54868,000","0,000","3,312",N
II Q 2021,PLN,1420100,-101000,-130100,-185900,136500,35500,6689600,40000,"54868,000","-3,388","0,729",N
III Q 2021,PLN,2033400,77800,42400,99200,151300,229100,7046200,630200,"54868,000","1,808","11,486",N
IV Q 2021,PLN,2055400,73500,32600,12200,142600,216100,7333000,1133800,"54868,000","0,222","20,664",N
IV Q 2019,PLN,1596600,114300,113900,120900,189800,304100,7143700,963600,"41168,000","2,937","23,407",N
I Q 2020,PLN,965100,-309800,-386100,-339900,184400,-125400,7214700,633800,"41168,000","-8,256","15,395",N
II Q 2020,PLN,1253100,-232300,-352000,-588100,183200,-49100,6742700,547300,"54868,000","-10,718","9,975",N
III Q 2020,PLN,1455400,1200,-44700,-63800,164800,166000,6798200,486200,"54868,000","-1,163","8,861",N
IV Q 2018,PLN,1603400,148600,110500,21500,168000,316600,6736000,1020900,"41168,000","0,522","24,798",N
I Q 2019,PLN,1038600,-148600,-174800,-152600,167200,18600,6920300,871000,"41168,000","-3,707","21,157",N
II Q 2019,PLN,1520100,158800,121600,37000,182500,341300,7193300,891100,"41168,000","0,899","21,645",N
III Q 2019,PLN,1348500,45900,6300,-32700,176800,222700,7368900,874400,"41168,000","-0,794","21,240",N
IV Q 2017,PLN,1104600,246800,221000,143200,23500,270300,3369900,1100500,"41164,000","3,479","26,735",N
I Q 2018,PLN,658700,-78000,-93600,-145700,136200,58200,5723000,965700,"41164,000","-3,540","23,460",N
II Q 2018,PLN,1270700,271700,243000,228200,143200,414900,6948700,1037600,"41164,000","5,544","25,206",N
III Q 2018,PLN,1192900,30200,-3500,-44700,155000,185200,6777900,999200,"41164,000","-1,086","24,274",N
IV Q 2016,PLN,1132600,218100,208900,186600,22000,240100,2400900,918700,"38400,000","4,859","23,924",N
I Q 2017,PLN,720400,-16100,-34600,-40800,19600,3500,2900100,885700,"39127,900","-1,043","22,636",N
II Q 2017,PLN,1125800,180100,164500,148200,20300,200400,3077400,923400,"39164,000","3,784","23,578",N
III Q 2017,PLN,987200,52300,48200,38600,29300,81600,2854300,963000,"39164,000","0,986","24,589",N
IV Q 2015,PLN,755400,118300,114300,105200,23500,141800,2072000,1123600,"38400,000","2,740","29,260",N
I Q 2016,PLN,534600,-4800,-14700,-19500,16200,11400,2286000,1101900,"38400,000","-0,508","28,695",N
II Q 2016,PLN,864900,138000,142400,131600,13000,151000,2433400,938400,"38400,000","3,427","24,438",N
III Q 2016,PLN,664700,25200,9500,8200,21500,46700,2596900,992100,"38400,000","0,214","25,836",N
IV Q 2014,PLN,679201,98798,95059,309939,23373,122171,1794200,952230,"38400,000","8,071","24,798",N
I Q 2015,PLN,431900,10400,900,6400,14200,24600,1911100,960800,"38400,000","0,167","25,021",N
II Q 2015,PLN,607600,92100,88100,101300,16300,108400,1804506,955901,"38400,000","2,638","24,893",N
III Q 2015,PLN,512400,24300,18800,33800,12900,37200,1847625,1000607,"38400,000","0,880","26,057",N
IV Q 2013,PLN,583404,94972,89195,70419,9677,104649,1119727,591856,"38400,000","1,834","15,413",N
I Q 2014,PLN,359691,5035,2211,416,10805,15840,1362966,592382,"38400,000","0,011","15,427",N
II Q 2014,PLN,496199,87173,82492,69757,10502,97675,1670986,601993,"38400,000","1,817","15,677",N
III Q 2014,PLN,473968,52228,45374,40244,8020,60248,1562502,642122,"38400,000","1,048","16,722",N
IV Q 2012,PLN,435820,58121,54174,43470,14698,72819,978114,528711,"38400,000","1,132","13,769",N
I Q 2013,PLN,221223,-33904,-37376,-39664,8709,-25195,937658,488227,"38400,000","-1,033","12,714",N
II Q 2013,PLN,422337,73070,71057,69167,7948,81018,1005447,497669,"38400,000","1,801","12,960",N
III Q 2013,PLN,416175,33380,28400,25295,9569,42949,1122165,523294,"38400,000","0,659","13,627",N
IV Q 2011,PLN,364415,80610,78336,63994,6475,87085,965613,495085,"38400,000","1,667","12,893",N
I Q 2012,PLN,256605,8465,4595,2678,6691,15156,1003609,498591,"38400,000","0,070","12,984",N
