kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2009,PLN,17018,-2847,-2306,-1414,387,-2460,73897,49331,"26700,000","-0,053","1,848",N
III Q 2009,PLN,27816,-2588,-1058,-876,1092,-1496,0,0,"26700,000","-0,033","0,000",N
IV Q 2009,PLN,36711,-441,85,-38,-344,-785,0,0,"26700,000","-0,001","0,000",N
I Q 2010,PLN,14122,-3589,-3443,-2867,347,-3242,48878,45552,"26700,000","-0,107","1,706",N
II Q 2008,PLN,25037,1015,925,0,368,1383,99424,61065,"6675,000","0,000","9,148",N
III Q 2008,PLN,20623,-2592,-2139,-2137,403,-2189,0,0,"26700,000","-0,080","0,000",N
IV Q 2008,PLN,34714,-3196,-2878,-2886,326,-2870,0,0,"26700,000","-0,108","0,000",N
I Q 2009,PLN,17792,-2883,-2588,-2650,381,-2502,75403,50745,"26700,000","-0,099","1,901",N
II Q 2007,PLN,29646,64,258,0,235,299,46285,19006,"6675,000","0,000","2,847",N
III Q 2007,PLN,29309,-441,366,364,293,-148,0,0,"6675,000","0,055","0,000",N
IV Q 2007,PLN,44614,1039,654,653,337,1376,60100,19985,"6675,000","0,098","2,994",N
I Q 2008,PLN,24701,323,18,19,365,688,76246,20079,"6675,000","0,003","3,008",N
II Q 2006,PLN,25361,125,-13,-10,190,315,33216,480,"2675,000","-0,004","0,179",N
III Q 2006,PLN,29581,3,-125,-122,0,3,34655,358,"2675,000","-0,046","0,134",N
IV Q 2006,PLN,42494,822,788,-365,0,822,42639,17255,"2675,000","-0,136","6,450",N
I Q 2007,PLN,35764,310,401,401,220,530,53019,18751,"6675,000","0,060","2,809",N
II Q 2005,PLN,20762,-1261,-1556,-1546,0,-1261,35109,1720,"2675,000","-0,578","0,643",N
III Q 2005,PLN,24875,-670,-884,-873,0,-670,33052,926,"2675,000","-0,326","0,346",N
IV Q 2005,PLN,38447,362,125,108,0,362,35509,927,"2675,000","0,040","0,347",N
I Q 2006,PLN,25665,-265,-435,-432,0,-265,32219,539,"2675,000","-0,161","0,201",N
IV Q 2002,PLN,0,0,0,0,0,0,34968,3560,"2675,000","0,000","1,331",N
IV Q 2003,PLN,0,0,0,0,0,0,29094,3359,"2675,000","0,000","1,256",N
IV Q 2004,PLN,0,0,0,0,0,0,31269,4055,"2675,000","0,000","1,516",N
I Q 2005,PLN,23044,-566,-821,-810,0,-566,33538,3238,"2675,000","-0,303","1,210",N
IV Q 1998,PLN,0,0,0,0,0,0,54708,31695,"0,000",,,N
IV Q 1999,PLN,0,0,0,0,0,0,53010,25890,"0,000",,,N
IV Q 2000,PLN,0,0,0,0,0,0,39600,14401,"0,000",,,N
IV Q 2001,PLN,0,0,0,0,0,0,22991,5655,"2675,000","0,000","2,114",N
