kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,329069,143465,128227,135232,22120,165585,2274124,2033404,"100770,800","1,342","20,179",N
I Q 2023,PLN,174757,71539,80364,69670,25031,96570,2307988,2105970,"100770,800","0,691","20,899",N
II Q 2023,PLN,150457,27548,40363,21601,24793,52341,2180597,2033797,"99910,510","0,216","20,356",N
III Q 2023,PLN,442682,186239,233669,202864,97206,283445,2412731,2208144,"99910,510","2,030","22,101",N
IV Q 2021,PLN,273063,94653,86841,87518,22062,116715,2158735,1894356,"100738,800","0,869","18,805",N
I Q 2022,PLN,216146,85321,91893,68918,21914,107235,2252549,1959929,"100738,800","0,684","19,456",N
II Q 2022,PLN,161770,52163,61723,44828,21647,73810,2196666,1903244,"100738,800","0,445","18,893",N
III Q 2022,PLN,245514,97304,112247,98889,51750,149054,2230805,1998523,"100738,800","0,982","19,839",N
IV Q 2020,PLN,1670347,972776,976308,980009,240852,1213628,2890299,2183177,"100654,626","9,736","21,690",N
I Q 2021,PLN,197632,43198,37051,32487,27809,71007,2887057,2227530,"100738,800","0,322","22,112",N
II Q 2021,PLN,272985,79416,78814,72561,27587,107003,2158735,1894356,"100738,800","0,720","18,805",N
III Q 2021,PLN,144463,15632,16400,16342,27272,42904,2148080,1833522,"100738,800","0,162","18,201",N
IV Q 2019,PLN,213314,103589,105762,108880,12248,115837,1404108,1105651,"96120,000","1,133","11,503",N
I Q 2020,PLN,192972,97625,100958,91979,9197,106822,1524712,1202221,"96120,000","0,957","12,508",N
II Q 2020,PLN,171026,58459,59891,54778,9000,67459,1597103,1260719,"96120,000","0,570","13,116",N
III Q 2020,PLN,104518,28517,27755,23382,8710,37227,1604116,1081458,"96120,000","0,243","11,251",N
IV Q 2018,PLN,127300,32810,36290,41417,13171,45981,1126838,1002864,"96120,000","0,431","10,433",N
