kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,59662,-12365,-12333,1173,3865,-8500,1582621,802448,"2750874,900","0,000","0,292",N
I Q 2023,PLN,54406,10052,16373,14532,1114,11166,1594300,816980,"2750874,900","0,005","0,297",N
II Q 2023,PLN,65469,19358,13630,11124,2941,22299,1573180,828101,"2750874,900","0,004","0,301",N
III Q 2023,PLN,77424,24149,13911,8771,942,25091,1583825,836872,"2750874,900","0,003","0,304",N
IV Q 2021,PLN,40142,-19837,-100166,-125364,3265,-16572,1591570,808289,"2750874,900","-0,046","0,294",N
I Q 2022,PLN,42647,4944,-2405,-3373,1081,6025,1604152,804916,"2750874,900","-0,001","0,293",N
II Q 2022,PLN,54492,3342,-10466,-9894,3028,6370,1587092,795259,"2750874,900","-0,004","0,289",N
III Q 2022,PLN,62002,20865,10309,6253,670,21535,1591351,801541,"2750874,900","0,002","0,291",N
IV Q 2020,PLN,30344,-68644,-68294,-66755,8741,-59903,1758000,1053345,"2750874,900","-0,024","0,383",N
I Q 2021,PLN,26768,2261,389,-1929,1124,3385,1780410,1052620,"2750874,900","-0,001","0,383",N
II Q 2021,PLN,32856,-98334,-113316,-115064,2117,-96217,1659225,936353,"2750874,900","-0,042","0,340",N
III Q 2021,PLN,48452,11765,-135,-2699,1044,12809,1656752,933654,"2750874,900","-0,001","0,339",N
IV Q 2019,PLN,50572,41797,35232,21051,4524,46321,1777791,1111425,"2750874,900","0,008","0,404",N
I Q 2020,PLN,39821,3844,1304,1074,1245,5089,1812003,1108229,"2750874,900","0,000","0,403",N
II Q 2020,PLN,24880,22992,4218,382,3572,26564,1801479,1112882,"2750874,900","0,000","0,405",N
III Q 2020,PLN,36939,5556,11103,7257,-3952,1604,1842278,1120149,"2750874,900","0,003","0,407",N
IV Q 2018,PLN,42080,24699,6246,2291,244,24943,1500465,1066127,"2750874,900","0,001","0,388",N
I Q 2019,PLN,32492,7247,9311,7599,1146,8393,1511851,1073726,"2750874,900","0,003","0,390",N
II Q 2019,PLN,38642,27637,18976,15050,1424,29061,1562544,1088200,"2750874,900","0,005","0,396",N
III Q 2019,PLN,56221,18955,1671,930,1945,20900,1654253,1089532,"2750874,900","0,000","0,396",N
IV Q 2017,PLN,31168,18127,16335,12713,1141,19268,1429308,206303,"187846,774","0,068","1,098",N
I Q 2018,PLN,29558,8049,6140,6222,1281,9330,1432851,212527,"187846,774","0,033","1,131",N
II Q 2018,PLN,39602,37985,36752,30292,1171,39156,1491514,1062429,"187846,774","0,161","5,656",N
III Q 2018,PLN,31973,7074,4765,2394,1372,8446,1492823,1063487,"2750874,900","0,001","0,387",N
IV Q 2016,PLN,22171,17187,9670,6226,302,17489,1328775,119401,"86632,258","0,072","1,378",N
I Q 2017,PLN,31283,23950,20797,17552,1166,25116,1343146,136953,"86632,258","0,203","1,581",N
II Q 2017,PLN,40119,23962,24203,18911,1032,24994,1392877,155864,"86632,258","0,218","1,799",N
III Q 2017,PLN,32395,7165,6122,6347,1219,8384,1397710,193588,"91071,290","0,070","2,126",N
IV Q 2015,PLN,28851,48447,20971,13329,1675,50122,1207001,53156,"86632,258","0,154","0,614",N
I Q 2016,PLN,28343,26654,25645,22452,1022,27676,1254945,75611,"86632,258","0,259","0,873",N
II Q 2016,PLN,32685,29879,29148,21879,1068,30947,1321252,97489,"86632,258","0,253","1,125",N
III Q 2016,PLN,30212,22254,19165,15686,1203,23457,1332331,113174,"86632,258","0,181","1,306",N
IV Q 2014,PLN,-917,4941,4267,4366,696,5637,1122686,26688,"86632,258","0,050","0,308",N
I Q 2015,PLN,21081,3973,3240,3061,996,4969,1130531,29749,"86632,258","0,035","0,343",N
II Q 2015,PLN,20354,7024,5358,6466,1179,8203,1144393,36215,"86632,258","0,075","0,418",N
III Q 2015,PLN,26790,6363,3463,3613,639,7002,1180300,44392,"86632,258","0,042","0,512",N
IV Q 2013,PLN,2813,-8428,-4949,-4909,521,-7907,114947,12496,"52004,180","-0,094","0,240",N
I Q 2014,PLN,3033,6175,5694,4935,481,6656,129406,27517,"84702,567","0,058","0,325",N
II Q 2014,PLN,8042,-4664,-5923,-4508,445,-4219,129149,22817,"84702,567","-0,053","0,269",N
III Q 2014,PLN,1819,164,-470,-496,318,482,127528,22323,"86632,258","-0,006","0,258",N
IV Q 2012,PLN,-677,-6120,-7878,-7521,508,-5612,121612,5192,"18145,161","-0,414","0,286",N
I Q 2013,PLN,2859,282,-444,-420,413,695,121652,4648,"18145,161","-0,023","0,256",N
II Q 2013,PLN,3664,-140,767,866,565,425,118247,5638,"18145,161","0,048","0,311",N
III Q 2013,PLN,2785,613,-6687,-6362,456,1069,118573,16371,"18585,484","-0,342","0,881",N
IV Q 2011,PLN,11383,-18453,-18976,-18361,1107,-17346,148156,22260,"18145,161","-1,012","1,227",N
I Q 2012,PLN,13980,370,-482,-1017,559,929,150034,21243,"18145,161","-0,056","1,171",N
II Q 2012,PLN,7643,-3703,-8547,-7690,592,-3111,132126,13554,"18145,161","-0,424","0,747",N
III Q 2012,PLN,5769,-1024,-839,-840,504,-520,132207,12713,"18145,161","-0,046","0,701",N
