kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,1529939,259258,334896,332482,118023,377281,8092527,2710221,"52699,909","6,309","51,427",N
I Q 2023,PLN,1730224,97171,53464,57394,120198,217369,8126418,2769198,"52699,909","1,089","52,547",N
II Q 2023,PLN,1187016,33383,-85057,-73878,116967,150350,7673764,2531867,"52699,909","-1,402","48,043",N
III Q 2023,PLN,1161124,59349,50327,51530,124900,184249,7493910,2541945,"52699,909","0,978","48,234",N
IV Q 2021,PLN,1015863,45163,22390,47831,117323,162486,7135218,2390105,"52699,909","0,908","45,353",N
I Q 2022,PLN,1242564,131368,116411,104307,97804,229172,7390858,2497577,"52699,909","1,979","47,392",N
II Q 2022,PLN,1236289,85682,61079,44859,103082,188764,7345461,2518752,"52699,909","0,851","47,794",N
III Q 2022,PLN,1406667,113869,79406,85289,112366,226235,7707606,2539842,"52699,909","1,618","48,194",N
IV Q 2020,PLN,804165,70295,57879,52000,95854,166149,5915543,2120615,"52699,909","0,987","40,239",N
I Q 2021,PLN,861072,137248,138274,184429,83818,221066,6053837,2307898,"52699,909","3,500","43,793",N
II Q 2021,PLN,834713,100599,39747,7979,86010,186609,5969918,2180298,"52699,909","0,151","41,372",N
III Q 2021,PLN,772065,57494,56472,41627,87489,144983,6200698,2299883,"52699,909","0,790","43,641",N
IV Q 2019,PLN,734056,87481,44054,29435,78981,166462,5046545,1977796,"52699,909","0,559","37,529",N
I Q 2020,PLN,790479,63074,68116,39675,81578,144652,5759394,2003578,"52699,909","0,753","38,019",N
II Q 2020,PLN,690123,56285,10327,-4977,81810,138095,5435831,1990116,"52699,909","-0,094","37,763",N
III Q 2020,PLN,690966,60314,51811,42579,79367,139681,5311028,2043519,"52699,909","0,808","38,777",N
IV Q 2018,PLN,970752,92592,42288,-87291,77201,169793,4822132,1898839,"52699,909","-1,656","36,031",N
I Q 2019,PLN,952705,83375,72493,61775,76929,160304,4956764,1935810,"52699,909","1,172","36,733",N
II Q 2019,PLN,860507,60983,42786,18216,76903,137886,4855534,1971816,"52699,909","0,346","37,416",N
III Q 2019,PLN,773996,20762,9917,933,77685,98447,4894788,1956587,"52699,909","0,018","37,127",N
IV Q 2017,PLN,961743,207365,183077,137466,62611,269976,4643511,2187596,"52699,909","2,608","41,510",N
I Q 2018,PLN,885670,102083,95789,73897,63336,165419,4665833,2260334,"52699,909","1,402","42,891",N
II Q 2018,PLN,933505,124194,127292,98595,64032,188226,4747448,1948370,"52699,909","1,871","36,971",N
III Q 2018,PLN,882731,60331,39655,26843,70634,130965,4672271,2004009,"52699,909","0,509","38,027",N
IV Q 2016,PLN,907802,162114,156441,174015,59547,221661,4501892,1766827,"52699,909","3,302","33,526",N
I Q 2017,PLN,898378,126832,95697,78003,59565,186397,4452611,1864422,"52699,909","1,480","35,378",N
II Q 2017,PLN,882982,131745,122314,92941,59589,191334,4500066,1952189,"52699,909","1,764","37,043",N
III Q 2017,PLN,836290,122866,114657,85003,62623,185489,4604676,2036651,"52699,909","1,613","38,646",N
IV Q 2015,PLN,814171,109449,-13481,87729,55506,164955,3951251,1345576,"52699,909","1,665","25,533",N
I Q 2016,PLN,826469,150453,132142,102068,53128,203581,4029008,1449090,"52699,909","1,937","27,497",N
II Q 2016,PLN,867127,193958,202214,161925,56216,250174,4212797,1429804,"52699,909","3,073","27,131",N
III Q 2016,PLN,853937,153795,134153,155504,54583,208378,4110996,1595693,"52699,909","2,951","30,279",N
IV Q 2014,PLN,786161,91194,62778,111004,54133,145327,3205697,994774,"52699,909","2,106","18,876",N
I Q 2015,PLN,817359,117132,69805,52209,55959,173091,3215281,1076212,"52699,909","0,991","20,422",N
II Q 2015,PLN,840765,123652,108941,86248,54498,178150,3322529,1143557,"52699,909","1,637","21,699",N
III Q 2015,PLN,800719,139583,112117,116801,51759,191342,3479630,1256025,"52699,909","2,216","23,834",N
IV Q 2013,PLN,776376,25875,-1342,-18706,58076,83951,3210728,911488,"52699,909","-0,355","17,296",N
I Q 2014,PLN,844955,68939,34028,6437,50139,119078,3227492,917302,"52699,909","0,122","17,406",N
II Q 2014,PLN,814075,83166,39038,20588,50579,133745,3010648,876441,"52699,909","0,391","16,631",N
III Q 2014,PLN,798709,78516,43229,29087,49636,128152,3090207,900695,"52699,909","0,552","17,091",N
IV Q 2012,PLN,803578,2825,-89848,-88760,57275,60100,3728035,886000,"52699,909","-1,684","16,812",N
I Q 2013,PLN,851359,61319,23926,46703,52404,113723,3783378,932935,"52699,911","0,886","17,703",N
II Q 2013,PLN,815660,32462,11702,15166,52468,84930,3635258,916713,"52699,909","0,288","17,395",N
III Q 2013,PLN,786305,61625,12565,6283,53677,115302,3554172,937132,"52699,909","0,119","17,782",N
IV Q 2011,PLN,754236,16245,13490,-8788,57175,73420,4075196,1317151,"52699,909","-0,167","24,993",N
I Q 2012,PLN,922480,72518,5611,10717,62572,135090,4197058,1321694,"52699,909","0,203","25,080",N
II Q 2012,PLN,838703,-53827,-89824,-348095,61066,7239,3862870,968740,"52699,909","-6,605","18,382",N
III Q 2012,PLN,825011,32212,-6366,-23325,55764,87976,3721298,941870,"52699,909","-0,443","17,872",N
IV Q 2010,PLN,936827,44828,103438,83113,58882,103710,3929016,817851,"28000,284","2,968","29,209",N
I Q 2011,PLN,1060802,34786,10768,1964,54550,89336,4181205,1259962,"51000,000","0,039","24,705",N
II Q 2011,PLN,961425,24069,-7058,-129,54538,78607,3986546,1245758,"51000,000","-0,003","24,427",N
