kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,134434,-23806,-46548,-34567,6195,-17611,781242,25617,"68773,650","-0,503","0,372",N
I Q 2023,PLN,123529,11842,1149,-838,3624,15466,765057,24697,"68773,650","-0,012","0,359",N
II Q 2023,PLN,122639,-33091,-40703,-36604,3076,-30015,725861,-11624,"68773,650","-0,532","-0,169",N
III Q 2023,PLN,118744,-4833,-18403,-16078,3730,-1103,655467,-32100,"68773,650","-0,234","-0,467",N
IV Q 2021,PLN,210992,-29831,-35270,-31113,4958,-24873,815193,131036,"68773,650","-0,452","1,905",N
I Q 2022,PLN,223700,-7973,-14425,-14169,3958,-4015,942310,116868,"68773,650","-0,206","1,699",N
II Q 2022,PLN,90335,-36620,-43436,-41650,5063,-31557,917133,75216,"68773,650","-0,606","1,094",N
III Q 2022,PLN,144905,-7147,-19878,-22393,6323,-824,958185,52791,"68773,650","-0,326","0,768",N
IV Q 2020,PLN,190050,20792,18529,17338,1517,22309,629087,93680,"40479,877","0,428","2,314",N
I Q 2021,PLN,153620,15370,10848,8592,2755,18125,646896,167838,"59273,650","0,145","2,832",N
II Q 2021,PLN,174428,6686,5686,4880,2928,9614,677332,159989,"59273,650","0,082","2,699",N
III Q 2021,PLN,171301,9395,3289,-4347,3384,12779,716640,158299,"68773,650","-0,063","2,302",N
IV Q 2019,PLN,95977,9473,5649,4424,794,10267,142125,32561,"40479,877","0,109","0,804",N
I Q 2020,PLN,125497,19302,18015,13507,747,20049,204707,47704,"40479,877","0,334","1,178",N
II Q 2020,PLN,126547,17225,13315,10015,857,18082,239051,58604,"40479,877","0,247","1,448",N
III Q 2020,PLN,211384,29522,30101,24429,1709,31231,338176,83888,"40479,877","0,603","2,072",N
IV Q 2018,PLN,26048,809,91,146,-6,803,46587,16250,"40479,877","0,004","0,401",N
I Q 2019,PLN,21740,2930,2202,1614,236,3166,53376,17837,"40479,877","0,040","0,441",N
II Q 2019,PLN,34169,3265,3036,2501,255,3520,66368,20338,"40479,877","0,062","0,502",N
III Q 2019,PLN,52362,4592,4003,3143,654,5246,89277,23481,"40479,877","0,078","0,580",N
IV Q 2017,PLN,7758,-1714,-2052,-1731,24,-1690,33355,14406,"40479,877","-0,043","0,356",N
I Q 2018,PLN,9116,704,388,257,20,724,98174,75320,"40479,877","0,006","1,861",N
II Q 2018,PLN,11676,1959,1579,1256,20,1979,99603,76575,"40479,877","0,031","1,892",N
III Q 2018,PLN,14879,919,646,331,20,939,102985,76907,"40479,877","0,008","1,900",N
IV Q 2016,PLN,3610,102,116,87,2,104,75943,73853,"38552,264","0,002","1,916",N
I Q 2017,PLN,6370,1267,1250,997,2,1269,83425,75093,"40479,877","0,025","1,855",N
II Q 2017,PLN,9011,2312,2218,1771,2,2314,89845,76864,"40479,877","0,044","1,899",N
III Q 2017,PLN,7026,526,385,255,2,528,92589,77119,"40479,877","0,006","1,905",N
IV Q 2015,PLN,0,-100,870,805,6,-94,2083,2029,"8837,249","0,091","0,230",N
I Q 2016,PLN,374,-64,-66,-66,0,-64,72960,70317,"38552,264","-0,002","1,824",N
II Q 2016,PLN,2120,185,121,121,6,191,71821,70328,"38552,264","0,003","1,824",N
III Q 2016,PLN,2427,76,48,26,2,78,71715,70354,"38552,264","0,001","1,825",N
IV Q 2014,PLN,-11,21,-75,-118,18,39,863,754,"8837,249","-0,013","0,085",N
I Q 2015,PLN,22,-42,-231,-224,6,-36,615,644,"8837,249","-0,025","0,073",N
II Q 2015,PLN,32,-49,-40,-53,6,-43,692,654,"8837,249","-0,006","0,074",N
III Q 2015,PLN,46,-126,518,526,6,-120,1211,1180,"8837,249","0,060","0,133",N
IV Q 2013,PLN,66,-8563,-8594,-8612,55,-8508,166,-1384,"8466,878","-1,017","-0,163",N
I Q 2014,PLN,1,1189,1431,1366,13,1202,154,2,"8466,878","0,161","0,000",N
II Q 2014,PLN,35,-7,-7,-56,8,1,356,183,"8466,878","-0,007","0,022",N
III Q 2014,PLN,30,-222,-220,-158,11,-211,1035,881,"8466,878","-0,019","0,104",N
III Q 2013,PLN,19,-61,-93,-93,56,-5,8750,7228,"8466,878","-0,011","0,854",N
