kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,427605,19276,30065,23056,22895,42171,2286091,1296564,"8133,349","2,835","159,413",N
II Q 2023,PLN,394925,4532,34585,26740,22722,27254,2194601,1275816,"8133,349","3,288","156,862",N
III Q 2023,PLN,453449,56466,41148,32424,25330,81796,2230370,1321351,"8133,349","3,987","162,461",N
IV Q 2023,PLN,540502,22229,45727,22558,23811,46040,2262081,1328874,"8133,349","2,774","163,386",N
I Q 2022,PLN,416344,42816,43356,32439,22876,65692,2161075,1221973,"8133,349","3,988","150,242",N
II Q 2022,PLN,426323,28330,14465,12351,23627,51957,2124343,1213286,"8133,349","1,519","149,174",N
III Q 2022,PLN,471129,60311,41730,27894,23581,83892,2168818,1261998,"8133,349","3,430","155,163",N
IV Q 2022,PLN,544919,16149,53816,35164,23712,39861,2271982,1277519,"8133,349","4,323","157,072",N
I Q 2021,PLN,383979,46228,39468,26078,21126,67354,2087457,1109693,"8133,349","3,206","136,437",N
II Q 2021,PLN,337367,18619,36554,28505,24728,43347,2024218,1106214,"8133,349","3,505","136,010",N
III Q 2021,PLN,385901,58915,43804,30299,19122,78037,1997894,1144601,"8133,349","3,725","140,729",N
IV Q 2021,PLN,519902,63465,54464,38156,27123,90588,2110248,1185912,"8133,349","4,691","145,809",N
I Q 2020,PLN,377818,44864,20929,14175,21892,66756,1922419,982303,"8133,349","1,743","120,775",N
II Q 2020,PLN,330966,26919,35968,20344,24565,51484,1925011,987378,"8133,349","2,501","121,399",N
III Q 2020,PLN,353675,46112,43058,32456,18424,64536,1909019,1021597,"8133,349","3,990","125,606",N
IV Q 2020,PLN,474294,73666,64299,53656,21410,95076,2003558,1080039,"8133,349","6,597","132,791",N
I Q 2019,PLN,338688,20944,19354,6955,20298,41242,1762376,866224,"8133,349","0,855","106,503",N
II Q 2019,PLN,327800,25213,26749,20224,19857,45070,1729072,871941,"8133,349","2,487","107,206",N
III Q 2019,PLN,354478,66209,53936,42500,23563,89772,1722155,921206,"8133,349","5,225","113,263",N
IV Q 2019,PLN,416457,31017,42330,35167,21211,52228,1842711,952123,"8133,349","4,324","117,064",N
I Q 2018,PLN,271989,568,-3240,-6742,16175,16743,1665945,858146,"8133,349","-0,829","105,510",N
II Q 2018,PLN,332019,34431,14664,10540,20236,54667,1579760,834395,"8133,349","1,296","102,589",N
III Q 2018,PLN,345311,27058,38589,18162,11149,38207,1533492,850534,"8133,349","2,233","104,574",N
IV Q 2018,PLN,420300,25486,12467,8154,17645,43131,1665945,858146,"8133,349","1,003","105,510",N
I Q 2017,PLN,255621,2100,21804,18204,15189,17289,1443120,842777,"8133,349","2,238","103,620",N
II Q 2017,PLN,251536,9690,12944,8667,16556,26246,1433915,835938,"8133,349","1,066","102,779",N
III Q 2017,PLN,263947,10598,5450,-107,14738,25336,1410708,834357,"8133,349","-0,013","102,585",N
IV Q 2017,PLN,354006,35600,46481,39845,17826,53426,1508452,835062,"8133,349","4,899","102,671",N
I Q 2016,PLN,243156,12266,10732,7177,16016,28282,1272096,775259,"8133,349","0,882","95,319",N
II Q 2016,PLN,273269,22943,15867,5579,16561,39504,1267164,789677,"8133,349","0,686","97,091",N
III Q 2016,PLN,223965,10486,17750,8281,14875,25361,1256508,791512,"8133,349","1,018","97,317",N
IV Q 2016,PLN,372423,71198,60428,51997,15556,86754,1444875,847423,"8133,349","6,393","104,191",N
I Q 2015,PLN,246333,18929,22416,18771,14054,32983,1210955,705722,"8125,590","2,310","86,852",N
II Q 2015,PLN,259108,25411,21571,17011,11103,36514,1177068,723576,"8133,349","2,092","88,964",N
III Q 2015,PLN,223415,4465,2894,402,14591,19056,1172182,723222,"8133,349","0,049","88,921",N
IV Q 2015,PLN,402724,64223,61248,43467,13735,77958,1304828,767559,"8133,349","5,344","94,372",N
I Q 2014,PLN,208714,7762,7249,5430,13279,21041,1120343,632923,"8125,590","0,668","77,893",N
II Q 2014,PLN,220963,13061,12851,7923,13233,26294,1099922,628674,"8125,590","0,975","77,370",N
III Q 2014,PLN,244758,33031,30336,21427,13270,46301,1140334,650668,"8125,590","2,637","80,076",N
IV Q 2014,PLN,363916,44675,42141,33114,14598,59273,1216555,688308,"8125,590","4,075","84,709",N
I Q 2013,PLN,188145,1445,695,1399,16455,17900,1114315,624624,"8051,637","0,174","77,577",N
