kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,261647,14252,7007,1224,11947,26199,1042748,513946,"5610,548","0,218","91,604",N
I Q 2023,PLN,215145,13482,7624,6245,11575,25057,985460,520532,"5610,548","1,113","92,777",N
II Q 2023,PLN,232071,19875,13093,9180,11516,31391,988452,508881,"5610,548","1,636","90,701",N
III Q 2023,PLN,169984,12013,6829,1962,11787,23800,966553,510923,"5345,301","0,367","95,584",N
IV Q 2021,PLN,237873,6317,-2149,-1231,10530,16847,953541,534552,"5918,188","-0,208","90,324",N
I Q 2022,PLN,126100,1683,-1109,-2059,11300,12983,905876,533097,"5918,188","-0,348","90,078",N
II Q 2022,PLN,165286,1667,-4593,-4937,11813,13480,934864,511588,"5918,188","-0,834","86,443",N
III Q 2022,PLN,197522,9645,7458,5411,11770,21415,1011823,515893,"5610,548","0,964","91,951",N
IV Q 2020,PLN,311268,17844,15671,9329,11251,29095,996024,511796,"5918,188","1,576","86,478",N
I Q 2021,PLN,171433,16053,14145,10646,11598,27651,967593,523184,"5918,188","1,799","88,403",N
II Q 2021,PLN,239505,36001,33727,23294,11420,47421,1007072,531232,"5918,188","3,936","89,763",N
III Q 2021,PLN,160162,10718,9197,3269,11579,22297,908343,535374,"5918,188","0,552","90,462",N
IV Q 2019,PLN,279522,15864,10640,7897,10661,26525,1043006,496549,"5918,188","1,334","83,902",N
I Q 2020,PLN,141275,13413,11363,4257,10419,23832,956446,502921,"5918,188","0,719","84,979",N
II Q 2020,PLN,111611,-6205,-8855,-3699,10383,4178,937140,497576,"5918,188","-0,625","84,076",N
III Q 2020,PLN,156509,10005,9603,5329,11044,21049,954472,502268,"5918,188","0,900","84,869",N
IV Q 2018,PLN,246649,5271,-2612,-717,7022,12293,934943,477682,"5918,188","-0,121","80,714",N
I Q 2019,PLN,120326,5995,2546,485,8459,14454,863777,478548,"5918,188","0,082","80,861",N
II Q 2019,PLN,147133,15852,12299,2086,9532,25384,906779,480383,"5918,188","0,352","81,171",N
III Q 2019,PLN,183567,16441,13525,8117,9914,26355,960744,488332,"5918,188","1,372","82,514",N
IV Q 2017,PLN,183822,5008,-573,-1942,7325,12333,846653,420743,"5918,188","-0,328","71,093",N
I Q 2018,PLN,119846,5486,2445,1193,7561,13047,830334,421017,"5918,188","0,202","71,140",N
II Q 2018,PLN,158411,21374,18984,52863,8025,29399,847895,475002,"5918,188","8,932","80,261",N
III Q 2018,PLN,153013,10237,5864,3489,6832,17069,879810,477949,"5918,188","0,590","80,759",N
IV Q 2016,PLN,223001,16746,8167,-1009,6101,22847,820267,422909,"5918,188","-0,170","71,459",N
I Q 2017,PLN,136013,6168,2201,134,6236,12404,811172,422200,"5918,188","0,023","71,339",N
II Q 2017,PLN,115346,10731,5876,2368,6434,17165,784192,424152,"5918,188","0,400","71,669",N
III Q 2017,PLN,105872,943,59,-388,7113,8056,782380,423682,"5918,188","-0,066","71,590",N
IV Q 2015,PLN,262789,11055,8792,9276,5317,16372,845484,428469,"5918,188","1,567","72,399",N
I Q 2016,PLN,92118,806,-1377,-3407,5595,6401,748228,424779,"5918,188","-0,576","71,775",N
II Q 2016,PLN,126809,7570,4801,1886,5551,13121,773509,427311,"5918,188","0,319","72,203",N
