kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,747622,215227,224071,182284,537,215764,2948932,1434570,"447558,311","0,407","3,205",N
I Q 2023,PLN,257224,70296,72512,58398,551,70847,3151165,1494619,"447558,311","0,130","3,339",N
II Q 2023,PLN,161973,13167,20737,21157,609,13776,3061972,1328346,"447558,311","0,047","2,968",N
III Q 2023,PLN,366963,55849,55471,45318,1318,57167,3866828,1382844,"447558,311","0,101","3,090",N
IV Q 2021,PLN,315602,102075,97781,69174,400,102475,3249840,1400409,"447558,311","0,155","3,129",N
I Q 2022,PLN,97559,31038,15731,13057,466,31504,3324678,1416797,"447558,311","0,029","3,166",N
II Q 2022,PLN,22264,-7471,-9159,2057,497,-6974,3104738,1219796,"447558,311","0,005","2,725",N
III Q 2022,PLN,200474,50682,42993,34754,526,51208,3218761,1256929,"447558,311","0,078","2,808",N
IV Q 2020,PLN,198653,-155602,-166984,-161837,373,-155229,2816241,1317788,"447558,311","-0,362","2,944",N
I Q 2021,PLN,176490,48034,40748,34630,347,48381,2882449,1352535,"447558,311","0,077","3,022",N
II Q 2021,PLN,200254,20017,27431,21021,412,20429,3019274,1297648,"447558,311","0,047","2,899",N
III Q 2021,PLN,219588,49683,35737,29121,395,50078,3035358,1326861,"447558,311","0,065","2,965",N
IV Q 2019,PLN,105082,-55480,-48017,-41184,361,-55119,3243925,1492111,"447558,311","-0,092","3,334",N
I Q 2020,PLN,180119,127372,82013,65403,365,127737,3046893,1566847,"447558,311","0,146","3,501",N
II Q 2020,PLN,39960,-70582,-66654,-56586,613,-69969,3009153,1510123,"447558,311","-0,126","3,374",N
III Q 2020,PLN,98382,26390,17152,14220,517,26907,3003755,1479567,"447558,311","0,032","3,306",N
IV Q 2018,PLN,159284,40064,25870,15948,298,40362,3574668,1497799,"447558,311","0,036","3,347",N
I Q 2019,PLN,420705,143576,134640,108932,897,144473,3529227,1603596,"447558,311","0,243","3,583",N
II Q 2019,PLN,211028,24176,23503,16495,-186,23990,3505742,1496143,"447558,311","0,037","3,343",N
III Q 2019,PLN,82449,60410,40920,33139,362,60772,3287123,1528847,"447558,311","0,074","3,416",N
IV Q 2017,PLN,124637,-35624,-22151,-20371,241,-35383,3299649,1448376,"447558,311","-0,046","3,236",N
I Q 2018,PLN,258051,109084,96197,78333,282,109366,3472332,1526937,"447558,311","0,175","3,412",N
II Q 2018,PLN,229656,113579,82062,68759,282,113861,3511655,1488070,"447558,311","0,154","3,325",N
III Q 2018,PLN,149743,-8380,-2396,-2660,295,-8085,3492117,1484413,"447558,311","-0,006","3,317",N
IV Q 2016,PLN,183281,63691,43083,28503,219,63910,3197105,1396152,"447558,311","0,064","3,119",N
I Q 2017,PLN,192184,-12229,12200,11048,234,-11995,3149766,1408899,"447558,311","0,025","3,148",N
II Q 2017,PLN,162273,47619,40400,31694,293,47912,3227985,1410124,"447558,311","0,071","3,151",N
III Q 2017,PLN,227093,89502,71368,57869,266,89768,3277887,1467725,"447558,311","0,129","3,279",N
IV Q 2015,PLN,186010,51445,41571,43055,177,51622,2890885,1364610,"447558,311","0,096","3,049",N
I Q 2016,PLN,86270,31989,23321,18275,242,32231,2955981,1381501,"447558,311","0,041","3,087",N
II Q 2016,PLN,209654,128490,95477,75244,224,128714,3046826,1374760,"447558,311","0,168","3,072",N
III Q 2016,PLN,67831,-20406,-9872,-8898,230,-20176,3174410,1365871,"447558,311","-0,020","3,052",N
IV Q 2014,PLN,162738,70884,50786,34060,164,71048,2640752,1255153,"447558,311","0,076","2,804",N
I Q 2015,PLN,117858,-3963,16493,20945,178,-3785,2691566,1276060,"447558,311","0,047","2,851",N
II Q 2015,PLN,92057,59562,35616,19532,177,59739,2717510,1297611,"447558,311","0,044","2,899",N
III Q 2015,PLN,53936,47460,32372,25400,173,47633,2878947,1321776,"447558,311","0,057","2,953",N
IV Q 2013,PLN,79991,9464,13932,13403,149,9613,2413948,1184776,"447558,311","0,030","2,647",N
I Q 2014,PLN,64087,29088,19499,16738,161,29249,2462312,1200465,"447558,311","0,037","2,682",N
II Q 2014,PLN,71381,19593,15231,13923,162,19755,2480135,1213348,"447558,311","0,031","2,711",N
III Q 2014,PLN,60637,22584,14598,11599,160,22744,2621043,1223330,"447558,311","0,026","2,733",N
IV Q 2012,PLN,87003,71289,76392,50516,165,71454,1670397,1079084,"447558,311","0,113","2,411",N
I Q 2013,PLN,49572,26615,21233,17337,163,26778,1709719,1096421,"447558,311","0,039","2,450",N
II Q 2013,PLN,47206,41445,29947,27120,131,41576,1794542,1123541,"447558,311","0,061","2,510",N
III Q 2013,PLN,32452,10026,19455,15742,134,10160,1857115,1139016,"447558,311","0,035","2,545",N
IV Q 2011,PLN,26750,21500,20224,12184,172,21672,1467371,1005288,"447558,311","0,027","2,246",N
I Q 2012,PLN,25652,-19474,-7282,6842,150,-19324,1492989,1012130,"447558,311","0,015","2,261",N
II Q 2012,PLN,34711,13384,8528,6350,147,13531,1567260,1018480,"447558,311","0,014","2,276",N
III Q 2012,PLN,29035,-11335,-1627,5570,152,-11183,0,0,"447558,311","0,012","0,000",N
