kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2013,PLN,1076,110,449,396,38,148,61410,54873,"132502,755","0,003","0,414",N
II Q 2013,PLN,1024,239,612,630,41,280,61751,55485,"132502,755","0,005","0,419",N
III Q 2013,PLN,1334,-267,-172,37,142,-125,61553,55522,"132502,755","0,000","0,419",N
IV Q 2013,PLN,1689,3047,3836,3173,-79,2968,62633,56154,"132502,755","0,024","0,424",N
I Q 2012,PLN,1853,349,810,168,137,486,44387,22827,"124792,585","0,001","0,183",N
II Q 2012,PLN,1211,19748,18973,15192,81,19829,67719,57682,"132502,755","0,115","0,435",N
III Q 2012,PLN,1878,682,175,483,80,762,66702,57292,"132502,755","0,004","0,432",N
IV Q 2012,PLN,1807,-946,-1101,-2834,37,-909,61211,54458,"132502,755","-0,021","0,411",N
I Q 2011,PLN,705,-137,-580,-371,78,-59,26264,9475,"44167,585","-0,008","0,215",N
II Q 2011,PLN,2058,217,-3387,-3425,253,470,0,0,"85667,585","-0,040","0,000",N
III Q 2011,PLN,2341,25,394,120,59,84,0,0,"85667,585","0,001","0,000",N
IV Q 2011,PLN,-1372,-1189,-958,-410,150,-1039,27891,22362,"85667,585","-0,005","0,261",N
I Q 2010,PLN,1873,-746,-843,-843,102,-644,14348,11129,"44167,585","-0,019","0,252",N
II Q 2010,PLN,76,-520,-543,-546,73,-447,13476,11243,"44167,585","-0,012","0,255",N
III Q 2010,PLN,436,771,767,715,92,863,0,0,"44167,585","0,016","0,000",N
IV Q 2010,PLN,1497,-1394,-1536,-1481,77,-1317,13358,9816,"44167,585","-0,034","0,222",N
I Q 2009,PLN,1103,-863,-1021,-1021,96,-767,15409,13719,"44167,587","-0,023","0,311",N
II Q 2009,PLN,980,-687,-1141,-1141,102,-585,14745,12578,"44167,587","-0,026","0,285",N
III Q 2009,PLN,1461,-409,-803,-803,98,-311,14140,11743,"44167,587","-0,018","0,266",N
IV Q 2009,PLN,2751,138,178,178,100,238,16100,11972,"44167,587","0,004","0,271",N
I Q 2008,PLN,806,-492,-537,-534,73,-419,8239,-875,"0,000",,,N
II Q 2008,PLN,1496,251,-417,-950,77,328,18285,15276,"0,000",,,N
III Q 2008,PLN,2355,-217,-96,-93,79,-138,0,0,"44167,587","-0,002","0,000",N
IV Q 2008,PLN,1749,-575,-460,-448,83,-492,17411,14740,"44167,587","-0,010","0,334",N
I Q 2007,PLN,1993,380,1255,89,72,452,8499,-1374,"0,000",,,N
II Q 2007,PLN,1271,176,163,-22,73,249,8189,-1396,"0,000",,,N
III Q 2007,PLN,911,333,315,-1,73,406,0,0,"4024,475","0,000","0,000",N
IV Q 2007,PLN,2978,958,-579,-1018,71,1029,9793,-493,"8048,950","-0,126","-0,061",N
I Q 2006,PLN,639,26,74,-458,85,111,8132,-876,"4024,475","-0,114","-0,218",N
II Q 2006,PLN,1148,271,275,-395,77,348,7755,-1272,"4024,475","-0,098","-0,316",N
III Q 2006,PLN,908,233,-288,-435,83,316,0,0,"4024,475","-0,108","0,000",N
IV Q 2006,PLN,1572,440,1481,244,51,491,8314,-1463,"4024,475","0,061","-0,364",N
IV Q 2004,PLN,0,0,0,0,0,0,12340,1314,"4024,475","0,000","0,327",N
III Q 2005,PLN,1616,225,228,-345,93,318,9815,23,"4024,475","-0,086","0,006",N
IV Q 2005,PLN,1828,328,248,-441,75,403,8851,-419,"4024,475","-0,110","-0,104",N
