kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,19786,-1571,-5177,-13291,1505,-66,115706,47772,"16281,590","-0,816","2,934",N
I Q 2023,PLN,25268,-1707,-3849,-4540,1630,-77,111724,44811,"16281,590","-0,279","2,752",N
II Q 2023,PLN,24750,-222,-3944,-4025,1594,1372,107940,42821,"16281,590","-0,247","2,630",N
III Q 2023,PLN,18787,-917,-2223,-5922,1643,726,97412,37701,"16281,590","-0,364","2,316",N
IV Q 2021,PLN,24929,1902,-2949,-5291,-155,1747,153436,77542,"16281,590","-0,325","4,763",N
I Q 2022,PLN,21977,3313,133,-4257,1476,4789,154012,72612,"16281,590","-0,261","4,460",N
II Q 2022,PLN,19764,-190,-1913,-6361,1592,1402,145651,65896,"16281,590","-0,391","4,047",N
III Q 2022,PLN,17588,-201,-1282,-3335,1555,1354,139478,60798,"16281,590","-0,205","3,734",N
IV Q 2020,PLN,39930,4242,571,418,1673,5915,183019,83264,"16281,590","0,026","5,114",N
I Q 2021,PLN,41858,4342,1841,934,1643,5985,182695,84142,"16281,590","0,057","5,168",N
II Q 2021,PLN,61544,16469,11873,6226,1590,18059,205630,90535,"16281,590","0,382","5,561",N
III Q 2021,PLN,23625,4114,2532,-1392,1606,5720,165883,89003,"16281,590","-0,085","5,466",N
IV Q 2019,PLN,47284,7730,2175,783,1775,9505,195622,84345,"16281,590","0,048","5,180",N
I Q 2020,PLN,34468,2308,2421,1925,1729,4037,194151,85936,"16281,590","0,118","5,278",N
II Q 2020,PLN,19286,-146,-3195,-3205,1732,1586,180772,82832,"16281,590","-0,197","5,087",N
III Q 2020,PLN,25969,876,348,184,1696,2572,187846,82950,"16281,590","0,011","5,095",N
IV Q 2018,PLN,29479,-575,-6033,-5929,1334,759,200973,84516,"16281,590","-0,364","5,191",N
I Q 2019,PLN,21870,-2385,-3896,-3967,1451,-934,201997,80548,"16281,590","-0,244","4,947",N
II Q 2019,PLN,27206,2244,2741,2614,1516,3760,204054,83211,"16281,590","0,161","5,111",N
III Q 2019,PLN,28823,1383,90,352,1586,2969,208938,83439,"16281,590","0,022","5,125",N
IV Q 2017,PLN,29700,8354,4331,2413,1172,9526,181690,87542,"16281,590","0,148","5,377",N
I Q 2018,PLN,21053,275,-767,-797,1188,1463,183289,86724,"16281,590","-0,049","5,327",N
II Q 2018,PLN,26320,143,5383,5550,1213,1356,184164,92177,"16281,590","0,341","5,661",N
III Q 2018,PLN,27169,823,-1917,-1770,1270,2093,189977,90469,"16281,590","-0,109","5,557",N
IV Q 2016,PLN,34231,7984,8860,7378,1061,9045,167002,80143,"16281,590","0,453","4,922",N
I Q 2017,PLN,20036,71,-1965,-1992,1074,1145,164657,78176,"16281,590","-0,122","4,801",N
II Q 2017,PLN,25415,2539,2305,1896,1076,3615,170672,80068,"16281,590","0,116","4,918",N
III Q 2017,PLN,20667,21,-463,-348,1166,1187,166675,79693,"16281,590","-0,021","4,895",N
IV Q 2015,PLN,25601,2328,2053,1779,1180,3508,158269,79312,"16281,590","0,109","4,871",N
I Q 2016,PLN,21538,2626,1157,634,1211,3837,156632,79946,"16281,590","0,039","4,910",N
II Q 2016,PLN,24335,1822,1322,1037,1142,2964,151857,73202,"16281,590","0,064","4,496",N
III Q 2016,PLN,20221,609,-328,-434,1016,1625,156021,72768,"16281,590","-0,027","4,469",N
IV Q 2014,PLN,34984,6158,6241,5738,915,7073,159489,81728,"16281,590","0,352","5,020",N
I Q 2015,PLN,39205,7926,6389,4793,963,8889,137819,86553,"16281,590","0,294","5,316",N
II Q 2015,PLN,27521,3071,2855,2461,1007,4078,156002,75569,"16281,590","0,151","4,641",N
III Q 2015,PLN,24142,2475,2242,1931,1150,3625,154383,77569,"16281,590","0,119","4,764",N
IV Q 2013,PLN,30409,2571,2778,2253,1122,3693,97690,57696,"16281,590","0,138","3,544",N
I Q 2014,PLN,49075,9005,8926,7265,1102,10107,127802,64946,"16281,590","0,446","3,989",N
II Q 2014,PLN,55156,7266,7341,6042,1134,8400,141866,70940,"16281,590","0,371","4,357",N
III Q 2014,PLN,47743,5459,5730,5072,905,6364,123570,76035,"16281,590","0,312","4,670",N
IV Q 2012,PLN,20342,2458,2459,2058,810,3268,65408,47437,"16281,590","0,126","2,914",N
I Q 2013,PLN,35823,8606,8730,7117,838,9444,76695,54548,"16281,590","0,437","3,350",N
II Q 2013,PLN,20794,1855,2102,1664,865,2720,77476,56260,"16281,590","0,102","3,455",N
III Q 2013,PLN,24063,2391,2486,1890,821,3212,80780,55449,"16281,590","0,116","3,406",N
IV Q 2011,PLN,18516,-216,-704,-824,768,552,65026,44451,"16281,590","-0,051","2,730",N
I Q 2012,PLN,17286,242,291,187,781,1023,65570,44642,"16281,590","0,011","2,742",N
II Q 2012,PLN,17596,828,909,708,844,1672,64486,45390,"16281,590","0,043","2,788",N
