kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,431928,-9691,83956,67948,53895,44204,1849802,161319,"17543,750","3,873","9,195",N
I Q 2023,PLN,313785,-13215,-17047,-16470,53722,40507,1716559,144849,"17543,750","-0,939","8,256",N
II Q 2023,PLN,697658,75607,109626,89975,58979,134586,2396381,234824,"17543,750","5,129","13,385",N
III Q 2023,PLN,1070565,128630,68088,56913,64183,192813,2536880,291737,"17543,750","3,244","16,629",N
IV Q 2021,PLN,275740,-84690,-116894,-95981,60171,-24519,1746999,89048,"17543,750","-5,471","5,076",N
I Q 2022,PLN,215142,-36156,-82176,-68662,54285,18129,1798977,20386,"17543,750","-3,914","1,162",N
II Q 2022,PLN,602620,58574,-38538,-31049,53927,112501,2079280,-10663,"17543,750","-1,770","-0,608",N
III Q 2022,PLN,1006108,211657,113896,104034,54956,266613,2179158,93371,"17543,750","5,930","5,322",N
IV Q 2020,PLN,53554,-73938,-59678,-55431,47355,-26583,1710895,206165,"17543,750","-3,160","11,751",N
I Q 2021,PLN,84994,-67464,-142107,-116252,49789,-17675,1879837,89913,"17543,750","-6,626","5,125",N
II Q 2021,PLN,222680,-8422,25409,19489,53353,44931,1873362,109402,"17543,750","1,111","6,236",N
III Q 2021,PLN,536882,146513,92520,75627,59572,206085,1956409,185030,"17543,750","4,311","10,547",N
IV Q 2019,PLN,271093,-62369,-18632,-19715,26959,-35410,1729421,360282,"17543,750","-1,124","20,536",N
I Q 2020,PLN,207149,2067,-94673,-77041,43346,45413,1666822,284571,"17543,750","-4,391","16,221",N
II Q 2020,PLN,20562,-89985,-66012,-56016,45416,-44569,1686833,228519,"17543,750","-3,193","13,026",N
III Q 2020,PLN,189255,11331,32379,34372,38319,49650,1761624,264614,"17543,750","1,959","15,083",N
IV Q 2018,PLN,232984,-7452,-18584,-14180,5297,-2155,1153914,302531,"17543,750","-0,808","17,244",N
I Q 2019,PLN,185214,20205,-10951,-9043,46281,66486,1781015,306493,"17543,750","-0,515","17,470",N
II Q 2019,PLN,447814,61673,66793,53974,37589,99262,1854945,325406,"17543,750","3,077","18,548",N
III Q 2019,PLN,710536,149031,70393,59539,62364,211395,1954482,386026,"17543,750","3,394","22,004",N
IV Q 2017,PLN,180623,-15687,-10651,-8943,7148,-8539,857481,261925,"17543,750","-0,510","14,930",N
I Q 2018,PLN,126493,-1853,-5131,-4040,8330,6477,859922,257887,"17543,750","-0,230","14,700",N
II Q 2018,PLN,363499,46315,22905,19482,8237,54552,958079,267594,"17543,750","1,110","15,253",N
III Q 2018,PLN,573166,78386,81550,63157,10400,88786,994155,330696,"17543,750","3,600","18,850",N
IV Q 2016,PLN,158977,189,2823,1887,9111,9300,712032,213185,"17543,750","0,108","12,152",N
I Q 2017,PLN,102675,12433,19559,17225,5457,17890,718495,226030,"17543,750","0,982","12,884",N
II Q 2017,PLN,262328,12553,12070,8030,6773,19326,798694,218243,"17543,750","0,458","12,440",N
III Q 2017,PLN,409302,54313,52014,42078,7106,61419,823579,255024,"17543,750","2,398","14,536",N
IV Q 2015,PLN,108476,-565,-7029,-6196,5510,4945,443511,170482,"17543,750","-0,353","9,718",N
I Q 2016,PLN,68475,11953,13729,10036,6337,18290,545717,180519,"17543,750","0,572","10,290",N
II Q 2016,PLN,217378,6528,1037,1453,10053,16581,668135,178503,"17543,750","0,083","10,175",N
III Q 2016,PLN,365526,42793,40618,32795,10095,52888,619838,211297,"17543,750","1,869","12,044",N
IV Q 2014,PLN,0,0,0,0,0,0,223030,43045,"10543,750","0,000","4,083",N
I Q 2015,PLN,98903,11619,4154,3318,4505,16124,0,0,"10543,750","0,315","0,000",N
II Q 2015,PLN,211564,4247,9965,7111,4608,8855,0,0,"10543,750","0,674","0,000",N
III Q 2015,PLN,338040,41090,35565,29549,5457,46547,0,0,"10543,750","2,803","0,000",N
IV Q 2012,PLN,0,0,0,0,0,0,116156,14942,"10543,750","0,000","1,417",N
IV Q 2013,PLN,0,0,0,0,0,0,164038,25614,"10543,750","0,000","2,429",N
