kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,-24714,-107094,-107093,-103562,364,-106730,32131,-80096,"5600,000","-18,493","-14,303",N
I Q 2023,PLN,4160,-66,3,198,239,173,31872,-82567,"5600,000","0,035","-14,744",N
II Q 2023,PLN,6065,-46,296,178,222,176,25656,-87104,"5600,000","0,032","-15,554",N
III Q 2023,PLN,5403,257,246,171,184,441,26428,-86977,"5600,000","0,031","-15,532",N
IV Q 2021,PLN,-360,-24990,-25657,-24586,294,-24696,161558,35107,"5600,000","-4,390","6,269",N
I Q 2022,PLN,8833,1477,809,509,354,1831,163641,35397,"5600,000","0,091","6,321",N
II Q 2022,PLN,8693,1745,756,379,257,2002,163966,34766,"5600,000","0,068","6,208",N
III Q 2022,PLN,8549,-750,-1558,-1887,339,-411,160580,33107,"5600,000","-0,337","5,912",N
IV Q 2020,PLN,18412,4233,3218,2691,528,4761,196764,54584,"5600,000","0,481","9,747",N
I Q 2021,PLN,12662,2150,1597,1323,573,2723,198127,55866,"5600,000","0,236","9,976",N
II Q 2021,PLN,12915,2776,2211,1891,461,3237,193620,57088,"5600,000","0,338","10,194",N
III Q 2021,PLN,11594,2115,1419,1236,413,2528,192808,58883,"5600,000","0,221","10,515",N
IV Q 2019,PLN,15072,2940,2068,1591,425,3365,185001,44623,"5600,000","0,284","7,968",N
I Q 2020,PLN,14971,2605,1741,1034,457,3062,188008,45929,"5600,000","0,185","8,202",N
II Q 2020,PLN,14661,3499,2804,2500,523,4022,191419,47861,"5600,000","0,446","8,547",N
III Q 2020,PLN,13973,1544,1026,644,498,2042,191875,48574,"5600,000","0,115","8,674",N
IV Q 2018,PLN,13744,1354,425,-190,954,2308,181975,37984,"5600,000","-0,034","6,783",N
I Q 2019,PLN,18658,2599,1733,1468,780,3379,188749,42996,"5600,000","0,262","7,678",N
II Q 2019,PLN,18801,3312,2440,1677,587,3899,190254,44641,"5600,000","0,299","7,972",N
III Q 2019,PLN,22105,3714,2833,2544,474,4188,190820,47194,"5600,000","0,454","8,428",N
IV Q 2017,PLN,30532,5925,4920,14219,1105,7030,180590,45985,"5600,000","2,539","8,212",N
I Q 2018,PLN,22860,3475,2514,1954,1124,4599,177239,47336,"5600,000","0,349","8,453",N
II Q 2018,PLN,23622,5738,4800,2972,942,6680,194178,51003,"5600,000","0,531","9,108",N
III Q 2018,PLN,19676,3858,2934,1886,859,4717,192159,53224,"5600,000","0,337","9,504",N
IV Q 2016,PLN,22408,6895,6712,6167,338,7233,122044,54583,"5600,000","1,101","9,747",N
I Q 2017,PLN,23421,7155,6970,4489,358,7513,126120,53396,"5600,000","0,802","9,535",N
II Q 2017,PLN,19123,1808,1002,700,369,2177,160293,46768,"5600,000","0,125","8,351",N
III Q 2017,PLN,25217,6041,5123,9,726,6767,175953,42643,"5600,000","0,002","7,615",N
IV Q 2015,PLN,24975,7286,7218,6154,312,7598,119288,48114,"5600,000","1,099","8,592",N
I Q 2016,PLN,23181,7171,7085,6061,323,7494,122873,52990,"5600,000","1,082","9,463",N
II Q 2016,PLN,23619,5895,5825,10367,319,6214,142842,44704,"5600,000","1,851","7,983",N
III Q 2016,PLN,19375,5664,5480,5062,338,6002,119634,49652,"5600,000","0,904","8,866",N
IV Q 2014,PLN,21121,8149,7852,7094,210,8359,110615,38993,"5600,000","1,267","6,963",N
I Q 2015,PLN,20601,6127,6063,5201,213,6340,101111,45911,"5600,000","0,929","8,198",N
II Q 2015,PLN,24134,7131,7069,6488,214,7345,108065,37397,"5600,000","1,159","6,678",N
III Q 2015,PLN,21577,5830,5780,4774,233,6063,101333,42222,"5600,000","0,853","7,540",N
IV Q 2013,PLN,14845,5187,5136,4711,192,5379,75704,31467,"5600,000","0,841","5,619",N
I Q 2014,PLN,12114,2521,2429,2320,177,2698,76783,33446,"5600,000","0,414","5,973",N
II Q 2014,PLN,14075,2856,2819,2570,221,3077,80425,29864,"5600,000","0,459","5,333",N
III Q 2014,PLN,14509,3753,3672,3252,211,3964,78715,32885,"5600,000","0,581","5,872",N
