kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,150843,9140,10631,8680,3317,12457,211220,103676,"3748,255","2,316","27,660",N
I Q 2023,PLN,112275,6836,7297,5684,3469,10305,207038,109360,"3748,255","1,516","29,176",N
II Q 2023,PLN,81994,2368,3067,2454,3548,5916,143419,70770,"3748,255","0,655","18,881",N
III Q 2023,PLN,97512,3398,2683,2189,3307,6705,174438,72959,"3748,255","0,584","19,465",N
IV Q 2021,PLN,156423,13865,13805,11173,3210,17075,184634,83725,"3748,255","2,981","22,337",N
I Q 2022,PLN,140944,10604,10477,8529,3325,13929,216705,92254,"3748,255","2,275","24,613",N
II Q 2022,PLN,144011,8440,18278,14908,3252,11692,202008,86601,"3748,255","3,977","23,104",N
III Q 2022,PLN,184909,11125,10775,8395,3265,14390,222601,94996,"3748,255","2,240","25,344",N
IV Q 2020,PLN,129360,8802,7979,6347,3209,12011,173166,82706,"3748,255","1,693","22,065",N
I Q 2021,PLN,98375,5815,5275,4242,3178,8993,188557,86948,"3748,255","1,132","23,197",N
II Q 2021,PLN,112564,4779,5364,4239,3188,7967,171978,67947,"3748,255","1,131","18,128",N
III Q 2021,PLN,122882,5400,5530,4605,3226,8626,182380,72552,"3748,255","1,229","19,356",N
IV Q 2019,PLN,134532,6948,7183,5057,3179,10127,180609,63120,"3748,255","1,349","16,840",N
I Q 2020,PLN,97256,3161,1074,897,3219,6380,181092,64017,"3748,255","0,239","17,079",N
II Q 2020,PLN,91387,7220,10357,8810,3277,10497,193980,72827,"3748,255","2,350","19,430",N
III Q 2020,PLN,109382,5433,4537,3532,3238,8671,182496,76360,"3748,255","0,942","20,372",N
IV Q 2018,PLN,129270,3369,3309,2139,572,3941,117051,55506,"3748,255","0,571","14,808",N
I Q 2019,PLN,94792,4531,4130,3294,2589,7120,148754,58800,"3748,255","0,879","15,687",N
II Q 2019,PLN,113647,2900,3509,2924,2936,5836,161612,53478,"3748,255","0,780","14,267",N
III Q 2019,PLN,93140,6710,6336,5281,2784,9494,154905,58063,"3748,255","1,409","15,491",N
IV Q 2017,PLN,109542,2727,3484,2888,567,3294,114035,52751,"3748,255","0,770","14,073",N
I Q 2018,PLN,91586,3670,3630,2875,534,4204,110717,55626,"3748,255","0,767","14,841",N
II Q 2018,PLN,79780,2655,2628,2011,646,3301,98156,49391,"3748,255","0,537","13,177",N
III Q 2018,PLN,86285,4245,4788,3976,582,4827,107214,53367,"3748,255","1,061","14,238",N
IV Q 2016,PLN,96774,3782,3836,2974,539,4321,90857,48377,"3748,255","0,793","12,907",N
I Q 2017,PLN,84764,3363,3382,2709,530,3893,82269,51086,"3748,255","0,723","13,629",N
II Q 2017,PLN,67739,2495,2540,1906,498,2993,91750,45871,"3748,255","0,509","12,238",N
III Q 2017,PLN,79563,4852,5074,4269,530,5382,90526,49864,"3748,255","1,139","13,303",N
IV Q 2015,PLN,83271,2775,2763,2196,571,3346,86585,44298,"3748,255","0,586","11,818",N
I Q 2016,PLN,92419,3214,3183,2455,550,3764,81655,46753,"3748,255","0,655","12,473",N
II Q 2016,PLN,64861,1240,1288,1034,498,1738,83660,42539,"3748,255","0,276","11,349",N
III Q 2016,PLN,84259,3659,3617,2864,547,4206,83582,45403,"3748,255","0,764","12,113",N
IV Q 2014,PLN,54182,1548,2047,1475,259,1807,80723,40016,"3748,255","0,394","10,676",N
I Q 2015,PLN,68988,3630,3503,2622,473,4103,84479,42638,"3748,255","0,700","11,375",N
II Q 2015,PLN,75618,1529,1642,1604,484,2013,76903,40494,"3748,255","0,428","10,803",N
III Q 2015,PLN,53815,2118,2087,1608,488,2606,69964,42102,"3748,255","0,429","11,232",N
IV Q 2013,PLN,38115,1429,1447,1318,375,1804,75983,38360,"3748,255","0,352","10,234",N
I Q 2014,PLN,30312,452,426,450,473,925,67940,38809,"3748,255","0,120","10,354",N
II Q 2014,PLN,34769,1210,1237,987,534,1744,71283,39796,"3748,255","0,263","10,617",N
III Q 2014,PLN,45316,3525,3521,2822,539,4064,81421,42619,"3748,255","0,753","11,370",N
IV Q 2012,PLN,36578,2769,2902,2092,247,3016,70643,39248,"3748,255","0,558","10,471",N
I Q 2013,PLN,28828,1915,1930,1237,273,2188,69438,40420,"3748,255","0,330","10,784",N
II Q 2013,PLN,36310,2394,2465,1689,273,2667,70370,36113,"3748,255","0,451","9,635",N
III Q 2013,PLN,33966,1132,1084,929,343,1475,66668,37042,"3748,255","0,248","9,882",N
IV Q 2011,PLN,29752,2764,2842,2102,218,2982,65834,37132,"3748,255","0,561","9,906",N
I Q 2012,PLN,28406,2017,2041,1485,188,2205,72662,38616,"3748,255","0,396","10,302",N
II Q 2012,PLN,29036,2337,2407,1834,205,2542,69997,34828,"3748,255","0,489","9,292",N
III Q 2012,PLN,33334,3265,3309,2328,169,3434,72451,37156,"3748,255","0,621","9,913",N
IV Q 2010,PLN,33449,3032,3088,2385,88,3120,54788,35179,"3748,255","0,636","9,385",N
I Q 2011,PLN,26891,2280,2288,1791,193,2473,60006,36970,"3748,255","0,478","9,863",N
II Q 2011,PLN,25805,1665,1718,1278,205,1870,54224,33000,"3748,255","0,341","8,804",N
III Q 2011,PLN,31028,2729,2780,2030,209,2938,0,0,"3748,255","0,542","0,000",N
