kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,71191,906,-7547,-6269,2603,3509,323930,144569,"3107,249","-2,017","46,526",N
I Q 2023,PLN,73557,3882,972,301,1384,5266,327023,145276,"3107,249","0,097","46,754",N
II Q 2023,PLN,75210,14540,5840,4392,1637,16177,320753,147684,"3107,249","1,414","47,529",N
III Q 2023,PLN,65025,11125,10399,7673,1697,12822,311150,155964,"3107,249","2,469","50,193",N
IV Q 2021,PLN,63134,3322,3661,-109,3032,6354,315079,145237,"3107,249","-0,035","46,741",N
I Q 2022,PLN,49286,1468,1105,539,2826,4294,339698,154360,"3107,249","0,173","49,677",N
II Q 2022,PLN,55438,5890,5917,4219,2695,8585,338714,158736,"3107,249","1,358","51,086",N
III Q 2022,PLN,73490,4777,4125,3507,2684,7461,337468,161224,"3107,249","1,129","51,887",N
IV Q 2020,PLN,40478,6596,4382,4054,2356,8952,302639,148651,"3107,249","1,305","47,840",N
I Q 2021,PLN,47861,3119,3289,2126,2281,5400,301862,151169,"3107,249","0,684","48,651",N
II Q 2021,PLN,43421,2880,-843,-331,2282,5162,309028,150513,"3107,249","-0,107","48,439",N
III Q 2021,PLN,49253,3426,4368,4322,2542,5968,322632,155564,"3107,249","1,391","50,065",N
IV Q 2019,PLN,38410,8173,3963,-3317,2983,11156,325558,135285,"3107,249","-1,068","43,539",N
I Q 2020,PLN,43587,7151,6181,3166,3081,10232,331070,139311,"3107,249","1,019","44,834",N
II Q 2020,PLN,36182,1642,3150,2417,3292,4934,299384,141130,"3107,249","0,778","45,420",N
III Q 2020,PLN,32908,390,-277,-1097,3108,3498,298396,139825,"3107,249","-0,353","45,000",N
IV Q 2018,PLN,45652,1828,448,-1267,1934,3762,327835,125354,"3107,249","-0,408","40,342",N
I Q 2019,PLN,63338,11510,11557,9862,3257,14767,333385,135956,"3107,249","3,174","43,754",N
II Q 2019,PLN,51851,9421,6619,4153,2810,12231,338096,134877,"3107,249","1,337","43,407",N
III Q 2019,PLN,46938,5117,5159,3744,2962,8079,333746,139405,"3107,249","1,205","44,864",N
IV Q 2017,PLN,49062,2888,-751,-1839,2992,5880,276115,106438,"3107,249","-0,592","34,255",N
I Q 2018,PLN,52851,11387,10765,8893,2647,14034,302127,115625,"3107,249","2,862","37,211",N
II Q 2018,PLN,54546,9172,9469,7414,2526,11698,311101,121079,"3107,249","2,386","38,967",N
III Q 2018,PLN,60228,9503,6803,6247,2749,12252,308892,126492,"3107,249","2,010","40,709",N
IV Q 2016,PLN,46163,2865,2487,1235,2631,5496,264108,111138,"3107,249","0,397","35,767",N
I Q 2017,PLN,46636,3950,1400,420,2629,6579,258054,110099,"3107,249","0,135","35,433",N
II Q 2017,PLN,43379,2778,2118,2036,2384,5162,259040,108908,"3107,249","0,655","35,050",N
III Q 2017,PLN,44210,2301,1400,535,2829,5130,260204,109694,"3107,249","0,172","35,303",N
IV Q 2015,PLN,51184,-1714,-3713,-3193,3344,1630,286202,108806,"3107,249","-1,028","35,017",N
I Q 2016,PLN,46911,2872,1596,915,3062,5934,274205,109304,"3107,249","0,294","35,177",N
II Q 2016,PLN,45629,2942,2741,1928,2973,5915,268510,109761,"3107,249","0,620","35,324",N
III Q 2016,PLN,38762,3471,2306,1416,2457,5928,264148,110907,"3107,249","0,456","35,693",N
IV Q 2014,PLN,54368,4207,1277,-162,2723,6930,259125,102350,"3107,249","-0,052","32,939",N
I Q 2015,PLN,70694,6872,4838,3399,2676,9548,276142,106129,"3107,249","1,094","34,155",N
II Q 2015,PLN,76160,5304,5139,3831,2921,8225,292980,107696,"3107,249","1,233","34,660",N
III Q 2015,PLN,58363,5407,4302,3841,2780,8187,285054,111758,"3107,249","1,236","35,967",N
IV Q 2013,PLN,52428,5333,3017,2176,2283,7616,239627,96077,"3107,249","0,700","30,920",N
I Q 2014,PLN,56203,8494,5660,3580,2917,11411,237061,98715,"3107,249","1,152","31,769",N
II Q 2014,PLN,44249,-158,993,967,2910,2752,241941,96197,"3107,249","0,311","30,959",N
III Q 2014,PLN,51850,6306,5319,3861,2839,9145,260069,101765,"3107,249","1,243","32,751",N
IV Q 2012,PLN,48023,1018,706,633,2376,3394,218656,89396,"3107,249","0,204","28,770",N
I Q 2013,PLN,40079,2242,1687,1525,2352,4594,226616,94108,"3107,249","0,491","30,287",N
II Q 2013,PLN,47288,5736,5628,4550,2491,8227,238006,95198,"3107,249","1,464","30,637",N
III Q 2013,PLN,45413,1903,889,1124,2201,4104,231311,94958,"3107,249","0,362","30,560",N
IV Q 2011,PLN,57181,2803,2362,1987,2795,5598,215421,80748,"3107,249","0,639","25,987",N
I Q 2012,PLN,55747,7838,5958,4598,2075,9913,217763,83359,"3107,249","1,480","26,827",N
II Q 2012,PLN,57141,6476,6470,4804,2187,8663,225901,87726,"3107,249","1,546","28,233",N
III Q 2012,PLN,48635,3897,3306,2337,3136,7033,225928,88815,"3107,249","0,752","28,583",N
IV Q 2010,PLN,44567,-496,-1113,-1072,1888,1392,192923,67144,"3107,249","-0,345","21,609",N
I Q 2011,PLN,40487,6188,5426,3899,1541,7729,196294,70712,"3107,249","1,255","22,757",N
II Q 2011,PLN,42365,4182,4008,2517,1429,5611,200564,71937,"3107,249","0,810","23,151",N
III Q 2011,PLN,50112,4555,5033,3103,1829,6384,0,0,"3107,249","0,999","0,000",N
IV Q 2009,PLN,37125,5511,4779,3091,3606,9117,175764,66704,"3107,249","0,995","21,467",N
I Q 2010,PLN,33745,755,215,443,1926,2681,175662,66725,"3107,249","0,143","21,474",N
II Q 2010,PLN,35399,4063,3896,2807,1867,5930,187025,69553,"3107,249","0,903","22,384",N
III Q 2010,PLN,37441,1276,41,7,1995,3271,0,0,"3107,249","0,002","0,000",N
IV Q 2008,PLN,24636,-413,1249,234,2876,2463,182061,63162,"3107,249","0,075","20,327",N
I Q 2009,PLN,43820,3802,3799,2948,1998,5800,183074,66761,"3107,249","0,949","21,486",N
II Q 2009,PLN,39690,-429,-2165,-1390,1888,1459,171058,65169,"3107,249","-0,447","20,973",N
III Q 2009,PLN,34731,1040,182,-31,1842,2882,0,0,"3107,249","-0,010","0,000",N
IV Q 2007,PLN,23734,-641,-1079,-1280,1524,883,119610,57816,"3107,249","-0,412","18,607",N
I Q 2008,PLN,21310,2126,1838,698,1166,3292,114318,55696,"3107,249","0,225","17,925",N
II Q 2008,PLN,21412,1623,135,-40,1087,2710,114464,54540,"3107,249","-0,013","17,553",N
III Q 2008,PLN,22999,3817,3471,2850,1167,4984,119776,61844,"3107,249","0,917","19,903",N
IV Q 2006,PLN,19892,707,73,-558,780,1487,85556,46190,"3107,249","-0,180","14,865",N
I Q 2007,PLN,24632,4206,3769,2839,898,5104,89611,48421,"3107,249","0,914","15,583",N
II Q 2007,PLN,19768,1719,322,894,1003,2722,92172,50635,"3107,249","0,288","16,296",N
III Q 2007,PLN,23908,3085,9359,9328,898,3983,121492,59298,"3107,249","3,002","19,084",N
IV Q 2005,PLN,24125,1938,551,872,805,2743,83539,44288,"3107,249","0,281","14,253",N
I Q 2006,PLN,24693,375,-127,-254,906,1281,89266,44037,"3107,249","-0,082","14,172",N
II Q 2006,PLN,22000,1069,826,604,823,1892,84247,44489,"3107,249","0,194","14,318",N
III Q 2006,PLN,21715,2999,2265,1726,823,3822,85559,46215,"3107,249","0,555","14,873",N
IV Q 2004,PLN,17790,2101,-117,-148,1026,3127,85533,46051,"3107,249","-0,048","14,821",N
I Q 2005,PLN,21158,125,689,466,612,737,86234,46065,"3107,249","0,150","14,825",N
II Q 2005,PLN,19960,363,479,210,776,1139,84947,45789,"3107,249","0,068","14,736",N
III Q 2005,PLN,21508,494,334,-79,634,1128,83964,43350,"3107,249","-0,025","13,951",N
IV Q 2003,PLN,18409,299,-620,-582,582,881,73838,40402,"3107,249","-0,187","13,002",N
I Q 2004,PLN,18298,970,779,662,556,1526,75457,41071,"3107,249","0,213","13,218",N
II Q 2004,PLN,19527,2137,834,770,566,2703,81789,45599,"3107,249","0,248","14,675",N
III Q 2004,PLN,19795,978,214,108,845,1823,85495,45707,"3107,249","0,035","14,710",N
IV Q 2002,PLN,16865,213,210,153,885,1098,62724,39233,"3107,249","0,049","12,626",N
I Q 2003,PLN,15638,976,561,440,671,1647,66758,39877,"3107,249","0,142","12,834",N
