kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
III Q 2022,PLN,459,-336,-336,-336,0,-336,3094,-23765,"25000,000","-0,013","-0,951",N
IV Q 2022,PLN,92,7998,7998,7998,0,7998,2868,-15772,"25000,000","0,320","-0,631",N
I Q 2023,PLN,316,-318,-318,-318,0,-318,2819,-16090,"25000,000","-0,013","-0,644",N
II Q 2023,PLN,460,-199,-199,-199,0,-199,1746,-16213,"25000,000","-0,008","-0,649",N
III Q 2021,PLN,1820,-118,1006,1007,0,-118,4114,-38331,"25000,000","0,040","-1,533",N
IV Q 2021,PLN,1762,-1169,-1965,-2376,0,-1169,2831,-36945,"25000,000","-0,095","-1,478",N
I Q 2022,PLN,1282,-25,-74,-74,0,-25,2552,-42064,"25000,000","-0,003","-1,683",N
II Q 2022,PLN,194,18696,18745,18632,0,18696,4156,-23434,"25000,000","0,745","-0,937",N
III Q 2020,PLN,1538,43,5,5,0,43,8447,-42899,"25000,000","0,000","-1,716",N
IV Q 2020,PLN,2176,753,613,613,0,753,8383,-42201,"25000,000","0,025","-1,688",N
I Q 2021,PLN,1492,71,18,18,0,71,7816,-42183,"25000,000","0,001","-1,687",N
II Q 2021,PLN,1261,1334,1387,844,0,1334,8067,-41420,"25000,000","0,034","-1,657",N
III Q 2019,PLN,2146,579,393,399,9,588,48676,3061,"25000,000","0,016","0,122",N
IV Q 2019,PLN,305,-17818,-17810,-18170,11,-17807,9682,-43024,"25000,000","-0,727","-1,721",N
I Q 2020,PLN,1467,279,166,135,6,285,9283,-42889,"25000,000","0,005","-1,716",N
II Q 2020,PLN,1398,-79,-41,-10,-4,-83,9042,-42904,"25000,000","0,000","-1,716",N
III Q 2018,PLN,3862,1044,-72686,-72925,53,1097,162348,3546,"25000,000","-2,917","0,142",N
IV Q 2018,PLN,322,-112344,-38054,-37894,51,-112293,32374,-25220,"25000,000","-1,516","-1,009",N
I Q 2019,PLN,2091,261,-114,-158,21,282,65517,2417,"25000,000","-0,006","0,097",N
II Q 2019,PLN,2235,441,228,128,9,450,35753,-40842,"25000,000","0,005","-1,634",N
III Q 2017,PLN,5163,1853,2172,1768,122,1975,205520,76016,"25000,000","0,071","3,041",N
IV Q 2017,PLN,4669,1442,1744,1444,121,1563,192960,77460,"25000,000","0,058","3,098",N
I Q 2018,PLN,7235,1818,1671,1328,120,1938,188152,78788,"25000,000","0,053","3,152",N
II Q 2018,PLN,3592,144,-771,-661,109,253,173012,76471,"25000,000","-0,026","3,059",N
III Q 2016,PLN,6931,3079,2629,2075,123,3202,221397,68431,"25000,000","0,083","2,737",N
IV Q 2016,PLN,12667,2926,3290,1890,123,3049,227646,70076,"25000,000","0,076","2,803",N
I Q 2017,PLN,6476,3003,2686,2020,123,3126,223297,72097,"25000,000","0,081","2,884",N
II Q 2017,PLN,11318,2559,2654,2152,123,2682,200636,74248,"25000,000","0,086","2,970",N
IV Q 2010,PLN,5146,2965,2097,1662,0,2965,0,0,"25000,000","0,066","0,000",N
IV Q 2015,PLN,0,0,0,0,0,0,237816,62230,"25000,000","0,000","2,489",N
I Q 2016,PLN,13435,3189,2599,2097,117,3306,238340,64327,"25000,000","0,084","2,573",N
II Q 2016,PLN,6763,3503,2510,2029,115,3618,230953,66356,"25000,000","0,081","2,654",N
III Q 2009,PLN,4564,2086,1178,954,0,2086,99027,12897,"25000,000","0,038","0,516",N
IV Q 2009,PLN,3178,2484,1295,923,0,2484,0,0,"25000,000","0,037","0,000",N
III Q 2010,PLN,6070,3497,2259,1842,0,3497,155165,19710,"25000,000","0,074","0,788",N
