kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,217827,19273,13766,11744,3508,22781,755440,438944,"21242,655","0,553","20,663",N
I Q 2023,PLN,201141,24921,21996,17480,3973,28894,814024,462141,"21242,655","0,823","21,755",N
II Q 2023,PLN,183244,20066,15350,12622,4279,24345,796494,428555,"21242,655","0,594","20,174",N
III Q 2023,PLN,206466,30554,26839,21118,4513,35067,843359,452994,"21242,655","0,994","21,325",N
IV Q 2021,PLN,221643,21811,16055,10572,3449,25260,711445,386358,"21242,655","0,498","18,188",N
I Q 2022,PLN,258890,32154,26420,21351,3919,36073,817624,414594,"21242,655","1,005","19,517",N
II Q 2022,PLN,231157,26554,20796,18601,3862,30416,809118,399652,"21242,655","0,876","18,814",N
III Q 2022,PLN,227620,27636,17801,13727,3818,31454,860851,424654,"21242,655","0,646","19,991",N
IV Q 2020,PLN,134574,12668,12686,9613,2050,14718,511090,313206,"21242,655","0,453","14,744",N
I Q 2021,PLN,163218,23752,21904,17746,2380,26132,632533,334649,"21242,655","0,835","15,754",N
II Q 2021,PLN,222735,31104,45345,57819,3473,34577,734698,344141,"21242,655","2,722","16,200",N
III Q 2021,PLN,223452,29941,26735,21684,3567,33508,745481,371561,"21242,655","1,021","17,491",N
IV Q 2019,PLN,113913,10621,8463,2936,1665,12286,411649,250312,"21242,655","0,138","11,783",N
I Q 2020,PLN,124319,20030,20208,16523,1772,21802,477657,265479,"21242,655","0,778","12,497",N
II Q 2020,PLN,113078,15428,14460,12347,1858,17286,497311,277974,"21242,655","0,581","13,086",N
III Q 2020,PLN,147966,27648,29131,23594,1785,29433,538148,293695,"21242,655","1,111","13,826",N
IV Q 2018,PLN,103523,8947,6870,5374,1112,10059,390875,233197,"21242,655","0,253","10,978",N
I Q 2019,PLN,109439,17498,16094,13004,1172,18670,418383,246348,"21242,655","0,612","11,597",N
II Q 2019,PLN,105820,12667,11724,9521,1759,14426,421804,232713,"21242,655","0,448","10,955",N
III Q 2019,PLN,122085,19816,17736,14539,1660,21476,456277,249637,"21242,655","0,684","11,752",N
IV Q 2017,PLN,85571,8124,-1484,-22151,932,9056,365181,198312,"21242,655","-1,043","9,336",N
I Q 2018,PLN,99278,15529,16496,13372,815,16344,406769,214562,"21242,655","0,629","10,101",N
II Q 2018,PLN,95285,12801,8883,7106,928,13729,416922,217130,"21242,655","0,335","10,221",N
III Q 2018,PLN,107485,16281,14573,11858,872,17153,427514,226698,"21242,655","0,558","10,672",N
IV Q 2016,PLN,82851,8158,5210,4334,1581,9739,341581,213669,"21242,655","0,204","10,058",N
I Q 2017,PLN,92254,14304,15270,12453,1143,15447,364173,217644,"21242,655","0,586","10,246",N
II Q 2017,PLN,85818,9678,10891,8912,966,10644,379615,206820,"21242,655","0,420","9,736",N
III Q 2017,PLN,101037,15641,15855,11849,840,16481,374303,223405,"21242,655","0,558","10,517",N
IV Q 2015,PLN,70915,5320,3406,2872,570,5890,321024,194043,"21242,655","0,135","9,135",N
I Q 2016,PLN,80885,10515,9643,8111,637,11152,344471,202206,"21242,655","0,382","9,519",N
II Q 2016,PLN,81576,9275,8982,6795,1514,10789,353378,199442,"21242,655","0,320","9,389",N
III Q 2016,PLN,87177,13174,12635,9847,1081,14255,355465,205221,"21242,655","0,464","9,661",N
IV Q 2014,PLN,62692,6007,2867,2217,548,6555,320716,189069,"21242,655","0,104","8,900",N
I Q 2015,PLN,70286,9976,7122,5960,510,10486,313641,190019,"21242,655","0,281","8,945",N
II Q 2015,PLN,70981,8043,7105,5964,570,8613,339443,179953,"21242,655","0,281","8,471",N
III Q 2015,PLN,79918,9678,8749,7504,541,10219,351754,189346,"21242,655","0,353","8,913",N
IV Q 2013,PLN,62035,5497,5412,4371,561,6058,324724,185014,"21183,332","0,206","8,734",N
I Q 2014,PLN,65384,10461,7439,5552,496,10957,326254,190819,"21183,332","0,262","9,008",N
II Q 2014,PLN,65055,8184,7639,8437,543,8727,342200,176737,"21339,587","0,395","8,282",N
III Q 2014,PLN,77614,11746,9368,7792,516,12262,343543,184699,"21339,587","0,365","8,655",N
IV Q 2012,PLN,62169,5825,4143,3994,632,6457,344122,180019,"21183,332","0,189","8,498",N
I Q 2013,PLN,61456,8805,6658,5245,480,9285,333174,185295,"21183,332","0,248","8,747",N
II Q 2013,PLN,67510,8183,6421,5119,562,8745,336797,189750,"21183,332","0,242","8,958",N
III Q 2013,PLN,79195,10399,8798,7070,502,10901,337014,192774,"21183,332","0,334","9,100",N
IV Q 2011,PLN,69612,6570,4535,5218,496,7066,348229,177502,"21183,332","0,246","8,379",N
I Q 2012,PLN,67287,8375,7072,5015,447,8822,350407,178116,"21183,332","0,237","8,408",N
II Q 2012,PLN,72999,5847,2670,2234,509,6356,362394,174730,"21183,332","0,105","8,248",N
III Q 2012,PLN,73630,8076,7503,6163,506,8582,0,0,"21183,332","0,291","0,000",N
IV Q 2010,PLN,38241,221,79,200,247,468,127553,66188,"10479,166","0,019","6,316",N
I Q 2011,PLN,38154,4784,4890,2763,261,5045,127007,68333,"10479,166","0,264","6,521",N
II Q 2011,PLN,72690,9072,3220,3283,495,9567,348666,155745,"21183,332","0,155","7,352",N
III Q 2011,PLN,79336,13147,8785,6849,548,13695,0,0,"21183,332","0,323","0,000",N
IV Q 2009,PLN,30664,1587,-200,-220,221,1808,103070,45474,"0,000",,,N
I Q 2010,PLN,33674,4869,4340,2519,239,5108,102491,48086,"0,000",,,N
II Q 2010,PLN,37630,2653,1319,1979,243,2896,121946,62034,"10479,166","0,189","5,920",N
III Q 2010,PLN,56031,5292,5703,5509,245,5537,0,0,"10479,166","0,526","0,000",N
IV Q 2007,PLN,0,0,0,0,0,0,86149,36029,"9479,166","0,000","3,801",N
IV Q 2008,PLN,35827,2143,-256,-897,219,2362,115333,40812,"9479,166","-0,095","4,305",N
I Q 2009,PLN,34444,4129,3166,923,220,4349,112091,43795,"9479,166","0,097","4,620",N
III Q 2009,PLN,45608,4885,5853,6501,272,5157,0,0,"9479,166","0,686","0,000",N
IV Q 2006,PLN,0,0,0,0,0,0,85258,30518,"9479,166","0,000","3,219",N
