kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2021,PLN,7504,-1239,-1517,-1402,260,-979,94766,5520,"163,814","-8,558","33,697",N
II Q 2021,PLN,7870,-1048,-1311,-1297,256,-792,86508,14641,"196,292","-6,608","74,588",N
III Q 2021,PLN,7720,-17570,-17661,-17643,-103,-17673,65551,-3002,"196,292","-89,881","-15,294",N
III Q 2022,PLN,0,0,0,0,0,0,68000,27136,"196,292","0,000","138,243",N
I Q 2020,PLN,5391,3266,3237,3237,253,3519,119962,14016,"163,814","19,760","85,560",N
II Q 2020,PLN,7565,3940,3864,3866,266,4206,110180,17882,"163,814","23,600","109,160",N
III Q 2020,PLN,3424,-3674,-3681,-3672,268,-3406,102973,14210,"163,814","-22,416","86,745",N
IV Q 2020,PLN,4592,-8263,-9574,-9764,465,-7798,94504,5767,"163,814","-59,604","35,205",N
I Q 2019,PLN,9210,1657,1648,1856,25,1682,0,0,"163,814","11,330","0,000",N
II Q 2019,PLN,9197,-2936,-3215,-3215,113,-2823,0,0,"163,814","-19,626","0,000",N
III Q 2019,PLN,9339,1711,1760,1760,223,1934,0,0,"163,814","10,744","0,000",N
IV Q 2019,PLN,-25920,5019,325,-2582,145,5164,108000,10779,"163,814","-15,762","65,800",N
II Q 2016,PLN,385,-425,-9540,-9062,-1050,-1475,45843,37099,"163,814","-55,319","226,470",N
III Q 2016,PLN,1112,579,-4243,-4243,52,631,40654,31193,"163,814","-25,901","190,417",N
IV Q 2016,PLN,-11,-1754,14125,11878,47,-1707,31854,23216,"163,814","72,509","141,722",N
IV Q 2018,PLN,0,0,0,0,0,0,51239,13606,"163,814","0,000","83,058",N
II Q 2015,PLN,180,-539,-497,465,1044,505,138418,67230,"163,814","2,839","410,404",N
III Q 2015,PLN,191,-509,-341,864,1142,633,147308,68094,"163,814","5,274","415,679",N
IV Q 2015,PLN,24979,643,1206,941,1148,1791,101031,40275,"163,814","5,744","245,858",N
I Q 2016,PLN,17024,5163,-15442,-15563,1142,6305,99105,43733,"163,814","-95,004","266,967",N
II Q 2014,PLN,62965,3436,3463,2262,2165,5601,153935,61310,"152,332","14,849","402,476",N
III Q 2014,PLN,58965,1418,1079,550,2522,3940,138906,61255,"163,814","3,357","373,930",N
IV Q 2014,PLN,58457,1355,2255,3070,1577,2932,154769,64325,"163,814","18,741","392,671",N
I Q 2015,PLN,53807,2085,3072,2440,959,3044,138635,66765,"163,814","14,895","407,566",N
II Q 2013,PLN,51698,5740,5595,4073,918,6658,117541,49225,"152,332","26,738","323,143",N
III Q 2013,PLN,58571,2029,1757,1289,1192,3221,122213,50514,"152,332","8,462","331,605",N
IV Q 2013,PLN,47062,-2639,-2099,-974,3268,629,134802,50066,"152,332","-6,394","328,664",N
I Q 2014,PLN,70003,5562,5411,4216,2787,8349,159248,54281,"152,332","27,676","356,334",N
II Q 2012,PLN,56026,0,1203,844,2444,2444,94135,40568,"152,332","5,541","266,313",N
III Q 2012,PLN,54754,3503,3192,3196,1523,5026,97780,43658,"152,332","20,980","286,598",N
IV Q 2012,PLN,51887,-1615,-1718,-1413,7133,5518,102004,41892,"152,332","-9,276","275,005",N
I Q 2013,PLN,51877,3678,3761,3259,890,4568,105158,45151,"152,332","21,394","296,399",N
II Q 2011,PLN,36080,0,-619,-619,842,842,64589,35562,"152,332","-4,063","233,451",N
III Q 2011,PLN,38106,0,853,853,846,846,67284,36415,"152,332","5,600","239,050",N
IV Q 2011,PLN,42515,0,1320,634,3464,3464,73460,37055,"152,332","4,162","243,252",N
I Q 2012,PLN,48105,0,2968,2611,1071,1071,78130,39725,"152,332","17,140","260,779",N
II Q 2010,PLN,35807,0,946,946,569,569,65318,32881,"152,332","6,210","215,851",N
III Q 2010,PLN,36084,0,34,34,760,760,59500,32915,"152,332","0,223","216,074",N
IV Q 2010,PLN,44309,0,2028,1342,2822,2822,64142,34250,"152,332","8,810","224,838",N
I Q 2011,PLN,39506,0,1933,1933,843,843,61500,36181,"152,332","12,689","237,514",N
II Q 2009,PLN,0,0,0,0,0,0,52622,27893,"0,000",,,N
III Q 2009,PLN,30540,0,524,544,0,0,59478,32677,"0,000",,,N
IV Q 2009,PLN,41157,0,-2278,-2299,2500,2500,78771,30739,"152,332","-15,092","201,790",N
I Q 2010,PLN,35714,0,1190,1190,601,601,78679,32626,"152,332","7,812","214,177",N
IV Q 2007,PLN,0,0,0,0,0,0,38278,14732,"0,000",,,N
IV Q 2008,PLN,0,0,0,0,0,0,39784,14236,"0,000",,,N
