kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,324478,10247,5813,-1396,13314,23561,1496103,879877,"23930,769","-0,058","36,768",N
II Q 2023,PLN,263671,2551,5605,1303,13796,16347,1530037,927945,"23930,769","0,054","38,776",N
III Q 2023,PLN,211995,-14443,-27466,-71431,13606,-837,1418657,836092,"23930,769","-2,985","34,938",N
IV Q 2023,PLN,281967,7950,10562,808,13812,21762,1422035,892190,"23930,769","0,034","37,282",N
I Q 2022,PLN,355566,32166,29150,68413,13813,45979,1540627,837391,"23930,769","2,859","34,992",N
II Q 2022,PLN,333132,22567,12175,8548,13876,36443,1541495,788930,"23930,769","0,357","32,967",N
III Q 2022,PLN,250597,-1058,-17390,-17240,13867,12809,1493897,746900,"23930,769","-0,720","31,211",N
IV Q 2022,PLN,334649,34505,38316,29824,13839,48344,1481118,855752,"23930,769","1,246","35,759",N
I Q 2021,PLN,298629,45136,39742,26849,13769,58905,1528389,813294,"23930,769","1,122","33,985",N
II Q 2021,PLN,309969,40605,43712,35294,13650,54255,1439243,772089,"23930,769","1,475","32,263",N
III Q 2021,PLN,339772,41412,34486,25189,13610,55022,1473809,786181,"23930,769","1,053","32,852",N
IV Q 2021,PLN,378539,51439,33857,23497,13656,65095,1437464,792215,"23930,769","0,982","33,104",N
I Q 2020,PLN,276394,26811,2485,-4400,14082,40893,1545459,742047,"23930,769","-0,184","31,008",N
II Q 2020,PLN,154396,-2532,-24741,-21068,13936,11404,1455028,739064,"23930,769","-0,880","30,883",N
III Q 2020,PLN,347001,50312,42405,31822,13950,64262,1507781,760311,"23930,769","1,330","31,771",N
IV Q 2020,PLN,382216,67736,63213,43197,13829,81565,1471965,793647,"23930,769","1,805","33,164",N
I Q 2019,PLN,319511,24416,17906,12520,13997,38413,1694719,744859,"23930,769","0,523","31,126",N
II Q 2019,PLN,255774,7778,5628,8,14483,22261,1659648,640599,"23930,769","0,000","26,769",N
III Q 2019,PLN,263927,18973,4731,-3062,14290,33263,1594628,619066,"23930,769","-0,128","25,869",N
IV Q 2019,PLN,337406,33070,47276,35656,14304,47374,1571021,781185,"23930,769","1,490","32,644",N
I Q 2018,PLN,295513,15903,10840,7274,7467,23370,1513735,633619,"23930,769","0,304","26,477",N
II Q 2018,PLN,258029,23243,4714,347,11388,34631,1544723,597692,"23930,769","0,015","24,976",N
III Q 2018,PLN,256296,14399,15488,14874,12939,27338,1617555,633440,"23930,769","0,622","26,470",N
IV Q 2018,PLN,297460,18958,14488,123337,13195,32153,1649344,732629,"23930,769","5,154","30,615",N
I Q 2017,PLN,293659,40366,41158,33353,6129,46495,1200794,611509,"23901,084","1,395","25,585",N
II Q 2017,PLN,242919,17615,15444,12278,6368,23983,1307689,622843,"23901,084","0,514","26,059",N
III Q 2017,PLN,267750,22973,15644,11259,7098,30071,1427742,622275,"23901,084","0,471","26,035",N
IV Q 2017,PLN,292226,18061,22212,20451,7351,25412,1493000,632650,"23930,769","0,855","26,437",N
I Q 2016,PLN,300145,43258,42509,34165,5562,48820,795760,512055,"23901,084","1,429","21,424",N
II Q 2016,PLN,240338,27664,26238,19824,5647,33311,823484,485661,"23901,084","0,829","20,320",N
III Q 2016,PLN,244991,32648,34655,28325,5624,38272,924182,539210,"23901,084","1,185","22,560",N
IV Q 2016,PLN,304933,40913,28631,22261,5866,46779,1173986,543404,"23901,084","0,931","22,736",N
I Q 2015,PLN,255770,32462,31595,25092,4650,37112,685329,456142,"23751,084","1,056","19,205",N
II Q 2015,PLN,190922,13598,15295,11998,4695,18293,636960,412530,"23751,084","0,505","17,369",N
III Q 2015,PLN,224158,21874,22166,23389,4890,26764,678999,448024,"23751,084","0,985","18,863",N
IV Q 2015,PLN,283425,30225,29786,23926,5453,35678,738350,474796,"23901,084","1,001","19,865",N
I Q 2014,PLN,212043,27877,29366,23234,4125,32002,605546,403652,"23751,084","0,978","16,995",N
II Q 2014,PLN,190749,21437,21779,17168,4169,25606,609950,386649,"23751,084","0,723","16,279",N
III Q 2014,PLN,189172,19183,18989,15284,4123,23306,595110,402062,"23751,084","0,644","16,928",N
IV Q 2014,PLN,230450,25107,24789,19482,4420,29527,638730,417590,"23751,084","0,820","17,582",N
I Q 2013,PLN,156537,17960,17479,13793,4079,22039,505409,357578,"23751,084","0,581","15,055",N
II Q 2013,PLN,146810,13344,13233,10356,4158,17502,517927,342403,"23751,084","0,436","14,416",N
III Q 2013,PLN,166540,17783,18824,14938,4221,22004,531957,361257,"23751,084","0,629","15,210",N
IV Q 2013,PLN,196478,23334,23611,18769,4210,27544,554854,380896,"23751,084","0,790","16,037",N
I Q 2012,PLN,147025,11449,11433,9101,3833,15282,485081,332071,"23751,084","0,383","13,981",N
II Q 2012,PLN,116321,4673,4531,4938,3690,8363,471213,317546,"23751,084","0,208","13,370",N
III Q 2012,PLN,137324,11617,12089,9580,3946,15563,484080,336113,"23751,084","0,403","14,151",N
IV Q 2012,PLN,159861,13961,13616,10854,4040,18001,484127,345234,"23751,084","0,457","14,536",N
I Q 2011,PLN,130667,25229,25044,23740,3490,28719,461608,326754,"23751,084","1,000","13,757",N
II Q 2011,PLN,98281,722,422,423,3316,4038,464557,309670,"23751,084","0,018","13,038",N
III Q 2011,PLN,143295,11757,8377,6521,3690,15447,0,0,"23751,084","0,275","0,000",N
IV Q 2011,PLN,155608,10754,10294,8055,3569,14323,473797,311161,"23751,084","0,339","13,101",N
I Q 2010,PLN,108856,11775,12987,10267,3916,15691,448533,317095,"23751,084","0,432","13,351",N
II Q 2010,PLN,106371,11010,8946,6869,3901,14911,449795,293711,"23751,084","0,289","12,366",N
III Q 2010,PLN,117348,6500,9294,7023,3758,10258,0,0,"23751,084","0,296","0,000",N
IV Q 2010,PLN,136313,5649,6860,4943,3931,9580,467372,304769,"23751,084","0,208","12,832",N
I Q 2009,PLN,140520,9561,8964,7184,4140,13701,429537,267612,"23751,084","0,302","11,267",N
